leksem	vrsta.riječi	broj.slova	frek	k.N	k.M	k.C	k.STD	k.MIN	k.MAX	č.N	č.M	č.C	č.STD	č.MIN	č.MAX	p.N	p.M	p.C	p.STD	p.MIN	p.MAX	d.N	d.M	d.C	d.STD	d.MIN	d.MAX
hlađenje	Nc	8	16289	30	3.83333333333	4.0	1.00277393043	1	5	30	3.73333333333	4.0	0.813770374382	2	5	30	4.3	5.0	0.971253485622	1	5	30	5.7	5.5	2.46508958593	0	12
braniteljski	Ag	12	14984	30	2.9	3.0	1.07548438699	1	5	30	2.3	2.0	0.9	1	4	30	3.3	3.0	1.1	1	5	30	9.36666666667	10.0	3.79897647034	0	16
remen	Nc	5	12698	30	4.83333333333	5.0	0.636832439151	2	5	30	3.96666666667	4.0	0.835995746932	2	5	30	4.63333333333	5.0	0.948097510222	1	5	30	5.8	6.0	2.90287214094	1	16
magistarski	Ag	11	3278	30	2.46666666667	2.0	1.14697670227	1	5	30	2.53333333333	2.0	1.08730042869	1	5	30	2.43333333333	2.5	1.35851225815	1	5	30	13.1333333333	13.0	4.23267711449	0	20
poludjeti	Vm	9	14230	30	3.33333333333	3.0	1.0434983895	1	5	30	3.9	4.0	1.04403065089	2	5	30	4.0	4.0	1.12546286774	1	5	30	5.56666666667	5.0	2.04423308086	0	9
usamljen	Ag	8	13217	30	2.93333333333	3.0	1.12348663642	1	5	30	3.26666666667	3.0	1.09341463112	1	5	30	3.56666666667	4.0	1.22972444971	1	5	30	6.4	6.0	2.8	2	14
predložiti	Vm	10	65959	30	2.46666666667	2.0	1.08730042869	1	4	30	3.83333333333	4.0	0.96896279025	1	5	30	3.16666666667	3.0	1.26710518725	1	5	30	8.03333333333	7.5	2.52300526269	3	14
fantomski	Ag	9	3079	30	1.83333333333	2.0	0.859586463882	1	4	30	1.7	2.0	0.781024967591	1	4	30	2.7	2.5	1.1	1	5	30	10.6666666667	10.0	4.18197189002	0	18
kilogram	Nc	8	60221	30	3.9	4.0	1.04403065089	1	5	30	4.23333333333	4.0	0.715697018453	3	5	30	4.13333333333	5.0	1.17567947257	1	5	30	7.03333333333	7.0	2.13671606807	3	12
moderan	Ag	7	128390	30	3.13333333333	3.0	1.30979218029	1	5	30	3.76666666667	4.0	0.989388138644	1	5	30	3.63333333333	4.0	1.1685698762	1	5	30	7.73333333333	8.0	2.75600354781	3	13
oporaviti	Vm	9	19186	30	3.06666666667	3.0	0.928559218479	1	4	30	3.46666666667	3.0	0.80553639824	2	5	30	3.43333333333	4.0	1.256538455	1	5	30	7.0	7.0	2.79284800875	2	12
natječaj	Nc	8	135725	30	4.06666666667	4.0	0.891939210684	2	5	30	3.16666666667	3.0	0.81989159175	2	5	30	3.93333333333	4.0	0.891939210684	2	5	30	10.0333333333	10.0	3.49745939536	3	15
prosjak	Nc	7	4328	30	4.7	5.0	0.525991127935	3	5	30	3.16666666667	3.0	0.897527467856	1	5	30	4.73333333333	5.0	0.813770374382	1	5	30	6.8	6.0	2.52190404258	3	15
student	Nc	7	210874	30	4.63333333333	5.0	0.752034278179	2	5	30	4.96666666667	5.0	0.179505493571	4	5	30	4.76666666667	5.0	0.615539510421	2	5	30	8.33333333333	8.0	3.15524255099	3	16
sjedenje	Nc	8	10366	30	4.8	5.0	0.47609522857	3	5	30	4.66666666667	5.0	0.537483849887	3	5	30	4.46666666667	5.0	0.884433277428	2	5	30	4.3	5.0	1.91746360244	0	8
valjati	Vm	7	114840	30	4.1	5.0	1.19303534454	1	5	30	3.13333333333	3.0	1.23107902084	1	5	30	3.66666666667	3.5	1.1352924244	1	5	30	5.53333333333	5.5	1.87498148139	2	10
zaljubljenik	Nc	12	13804	30	3.2	3.0	0.979795897113	2	5	30	2.7	3.0	1.21518174224	0	5	30	3.8	4.0	1.27540843131	1	5	30	7.73333333333	8.0	2.71947707392	2	16
rasprodati	Vm	10	6694	30	3.73333333333	4.0	1.15277443105	0	5	30	3.2	3.0	1.04562580942	1	5	30	3.76666666667	4.0	1.28279209366	1	5	30	7.73333333333	7.5	2.63227826965	2	14
ruralan	Ag	7	21757	30	2.93333333333	3.0	0.853749898324	1	5	30	2.33333333333	2.0	1.0434983895	1	5	30	3.3	3.0	1.29486163997	1	5	30	10.5666666667	10.5	3.1164438423	2	16
kontroverzan	Ag	12	18733	30	2.13333333333	2.0	0.991071249821	1	4	30	2.66666666667	3.0	1.10554159679	1	5	30	3.16666666667	3.0	1.26710518725	1	5	30	11.0666666667	12.0	3.3954217542	3	18
povreda	Nc	7	22667	30	4.03333333333	4.0	0.982626864866	2	5	30	3.33333333333	3.0	0.788810637747	1	5	30	3.96666666667	4.5	1.25122162527	1	5	30	6.36666666667	6.0	2.27278585783	3	12
sveprisutan	Ag	11	7834	30	2.3	2.0	1.21518174224	1	5	30	2.5	2.0	1.05672449894	1	5	30	3.03333333333	3.0	1.27758452645	1	5	30	9.63333333333	10.0	3.31142802361	2	16
egzotičan	Ag	9	12415	30	2.8	3.0	1.13724814062	1	5	30	3.0	3.0	1.06458129484	1	5	30	3.56666666667	4.0	1.08576649833	1	5	30	9.46666666667	10.0	3.18049611783	3	16
sutkinja	Nc	8	16072	30	4.86666666667	5.0	0.33993463424	4	5	30	2.9	3.0	0.943398113206	1	5	30	4.53333333333	5.0	0.80553639824	2	5	30	8.03333333333	8.0	2.83411753853	3	16
naprezanje	Nc	10	4870	30	3.06666666667	3.0	0.891939210684	1	5	30	3.1	3.0	1.07548438699	1	5	30	3.5	4.0	1.28452325787	1	5	30	7.93333333333	8.0	2.90898989724	3	15
tadašnji	Ag	8	68285	30	2.43333333333	2.0	1.14552268516	1	5	30	2.93333333333	3.0	1.06249183003	1	5	30	2.86666666667	3.0	1.38403596614	1	5	30	8.43333333333	9.0	2.9289740335	2	15
uzdržavati	Vm	10	4581	30	2.5	2.0	1.05672449894	1	5	30	3.13333333333	3.0	1.02415276638	1	5	30	3.06666666667	3.0	1.20922380981	1	5	30	8.76666666667	9.0	3.30336528743	2	15
redovnica	Nc	9	6802	30	4.5	5.0	0.991631652043	1	5	30	2.63333333333	3.0	0.982626864866	1	5	30	4.33333333333	5.0	0.942809041582	2	5	30	7.56666666667	7.0	3.08418907044	3	16
obiteljski	Ag	10	109906	30	3.56666666667	3.5	1.22972444971	1	5	30	4.13333333333	4.0	0.718021974285	3	5	30	4.06666666667	4.0	1.12348663642	1	5	30	5.73333333333	6.0	2.04830553276	2	11
primjenjiv	Ag	10	7450	30	2.16666666667	2.0	1.18556128292	1	5	30	3.23333333333	3.0	1.11604460285	1	5	30	2.86666666667	3.0	1.25786415094	1	5	30	8.6	9.0	3.07245829915	3	14
bob	Nc	3	4198	30	4.2	5.0	1.24899959968	1	5	30	1.9	2.0	0.978093383408	1	4	30	4.03333333333	4.5	1.25122162527	1	5	30	7.4	7.0	3.77359245282	0	17
rukovati	Vm	8	5856	30	3.7	4.0	1.15902257671	1	5	30	3.5	3.0	1.0246950766	2	5	30	4.03333333333	4.0	1.13968806649	1	5	30	7.43333333333	8.0	2.51241362483	2	15
tolerantan	Ag	10	9337	30	2.33333333333	2.0	1.2736648783	1	5	30	3.6	4.0	1.01980390272	1	5	30	3.2	3.0	1.27540843131	1	5	30	8.56666666667	8.0	2.94033255867	3	15
spomenički	Ag	10	5488	30	3.06666666667	3.0	1.26315302143	1	5	30	1.86666666667	2.0	0.845905169363	1	4	30	3.16666666667	3.0	1.31866936299	1	5	30	9.23333333333	10.0	3.10572947237	3	15
ručni	Ag	5	33410	30	4.2	4.0	0.791622805803	3	5	30	3.56666666667	4.0	0.760847480701	2	5	30	3.96666666667	4.0	1.22429117815	1	5	30	6.86666666667	7.0	2.45944889943	2	12
auspuh	Nc	6	3331	30	4.83333333333	5.0	0.453382350291	3	5	30	3.03333333333	3.0	0.982626864866	1	5	30	4.46666666667	5.0	1.02415276638	1	5	30	6.76666666667	7.0	2.62911053823	3	13
precizirati	Vm	11	6415	30	2.63333333333	2.0	1.27758452645	0	5	30	2.96666666667	3.0	1.27758452645	0	5	30	2.9	3.0	1.16476034731	1	5	30	10.2333333333	11.0	3.01864575964	3	16
resetirati	Vm	10	3295	30	3.63333333333	4.0	1.0482790129	2	5	30	3.56666666667	3.0	0.843932593411	2	5	30	3.63333333333	4.0	1.3287420952	1	5	30	8.83333333333	8.5	3.49364502426	2	16
namijeniti	Vm	10	5679	30	2.56666666667	2.0	1.28279209366	1	5	30	3.16666666667	3.0	1.12792828771	1	5	30	2.76666666667	3.0	1.14552268516	1	5	30	8.16666666667	8.0	2.92213772586	2	15
zrcalo	Nc	6	8944	30	4.83333333333	5.0	0.37267799625	4	5	30	4.23333333333	4.5	0.989388138644	1	5	30	4.66666666667	5.0	0.649786289654	3	5	30	5.9	5.5	2.63754936763	1	14
znalački	Ag	8	3109	30	2.06666666667	2.0	1.28927197372	1	5	30	1.96666666667	2.0	0.982626864866	0	4	30	2.56666666667	3.0	1.20231258646	1	5	30	10.3333333333	11.0	4.10149024407	0	16
migracija	Nc	9	7956	30	3.73333333333	4.0	0.963788819653	1	5	30	2.93333333333	3.0	1.03064165558	1	5	30	3.6	4.0	1.1430952133	1	5	30	10.5666666667	11.5	3.4706707645	3	16
sugrađanin	Nc	10	19222	30	4.06666666667	4.0	0.963788819653	1	5	30	3.0	3.0	1.06458129484	1	5	30	3.86666666667	4.0	1.20369800568	1	5	30	9.1	10.0	2.91376045687	3	15
suosjećati	Vm	10	4605	30	2.53333333333	2.0	1.28409068562	1	5	30	4.06666666667	4.0	0.679869268479	3	5	30	3.6	4.0	1.17189305542	1	5	30	8.1	8.0	2.84429253067	3	14
golem	Ag	5	50848	30	4.03333333333	5.0	1.30341431973	1	5	30	3.76666666667	4.0	0.955103252126	2	5	30	4.36666666667	5.0	0.948097510222	1	5	30	6.23333333333	6.0	2.5778975068	2	14
podrumski	Ag	9	3085	30	3.83333333333	4.0	1.09797793947	1	5	30	2.63333333333	2.0	0.982626864866	1	5	30	4.4	5.0	0.916515138991	1	5	30	6.53333333333	7.0	1.99555060628	3	10
srdačan	Ag	7	9361	30	2.53333333333	2.0	1.25786415094	1	5	30	3.3	3.0	1.1	2	5	30	3.4	3.5	1.1430952133	1	5	30	8.8	9.5	2.66333124739	3	15
individualan	Ag	12	40991	30	3.23333333333	3.0	1.28279209366	1	5	30	4.1	4.0	0.789514618822	2	5	30	3.4	3.0	1.2274635093	1	5	30	10.1333333333	10.5	3.23247411264	3	16
majčin	Ag	6	16261	30	3.86666666667	4.0	1.05619863452	2	5	30	3.86666666667	4.0	0.991071249821	2	5	30	4.26666666667	5.0	1.12348663642	1	5	30	5.03333333333	5.0	1.68292074152	2	10
komunicirati	Vm	12	30263	30	3.76666666667	4.0	1.28279209366	0	5	30	4.3	5.0	1.03762549442	0	5	30	4.06666666667	4.0	1.03064165558	2	5	30	7.7	7.5	3.20572404718	2	15
jutro	Nc	5	77655	30	4.2	5.0	1.19443152448	1	5	30	4.83333333333	5.0	0.453382350291	3	5	30	4.53333333333	5.0	0.718021974285	3	5	30	4.7	5.0	1.73493515729	1	9
nagađanje	Nc	9	12065	30	2.8	3.0	1.22202018532	1	5	30	3.53333333333	4.0	0.95684667296	2	5	30	3.06666666667	3.0	1.26315302143	1	5	30	8.33333333333	8.0	2.39907389539	2	15
modificirati	Vm	12	3734	30	2.46666666667	2.0	1.23107902084	1	5	30	2.6	3.0	1.08320512062	1	5	30	2.6	3.0	1.25432584815	1	5	30	11.3	12.0	3.17437657921	3	15
prijevoz	Nc	8	80032	30	4.06666666667	4.0	1.12348663642	1	5	30	4.76666666667	5.0	0.495535624911	3	5	30	4.6	5.0	0.663324958071	3	5	30	7.0	7.0	2.62043253427	3	13
olovka	Nc	6	15580	30	5.0	5.0	0.0	5	5	30	4.76666666667	5.0	0.422952584682	4	5	30	4.83333333333	5.0	0.582141639886	2	5	30	4.4	5.0	1.08320512062	2	6
autorski	Ag	8	36621	30	2.46666666667	2.0	1.17567947257	1	5	30	3.23333333333	3.0	0.882546819658	2	5	30	3.16666666667	3.0	1.18556128292	1	5	30	9.0	9.0	2.43584345419	3	14
govedina	Nc	8	3527	30	4.8	5.0	0.47609522857	3	5	30	3.5	3.0	0.763762615826	2	5	30	4.7	5.0	0.525991127935	3	5	30	6.33333333333	6.5	2.11869981094	3	13
pornografski	Ag	12	4506	30	3.16666666667	3.5	1.26710518725	1	5	30	2.53333333333	3.0	0.80553639824	1	4	30	4.13333333333	4.0	0.845905169363	3	5	30	11.0	11.5	2.70801280155	3	16
kanalizacijski	Ag	14	8376	30	3.73333333333	4.0	1.03064165558	1	5	30	2.36666666667	2.0	0.87496031656	1	4	30	3.66666666667	4.0	0.942809041582	2	5	30	8.63333333333	8.5	2.91528538721	3	20
štur	Ag	4	3616	30	2.2	2.0	1.19443152448	1	5	30	2.23333333333	2.0	0.989388138644	1	4	30	2.53333333333	2.0	1.4079141388	1	5	30	11.8	12.5	3.93615717843	3	19
sveučilišni	Ag	11	30578	30	3.0	3.0	1.03279555899	1	5	30	3.9	4.0	1.0115993937	2	5	30	3.6	3.5	1.11355287257	2	5	30	12.5	12.0	3.5095108871	3	20
inicijator	Nc	10	6657	30	2.46666666667	2.0	1.17567947257	1	5	30	2.5	2.5	1.05672449894	1	5	30	3.13333333333	3.0	1.33499895963	1	5	30	11.8666666667	12.0	2.98589275687	4	19
ugoditi	Vm	7	3464	30	2.5	2.0	0.80622577483	1	4	30	3.73333333333	4.0	0.891939210684	2	5	30	3.33333333333	3.0	1.0434983895	2	5	30	8.16666666667	8.0	2.42326684916	4	12
gristi	Vm	6	12592	30	4.6	5.0	0.663324958071	3	5	30	4.16666666667	4.0	0.734090518185	2	5	30	4.3	4.5	0.9	1	5	30	5.5	5.0	2.29128784748	2	10
presing	Nc	7	3340	30	2.36666666667	2.0	1.30341431973	1	5	30	2.9	3.0	1.19303534454	1	5	30	3.13333333333	3.0	1.20369800568	1	5	30	11.6333333333	12.0	4.0945763585	4	23
zaboljeti	Vm	9	9961	30	3.7	4.0	1.1874342087	1	5	30	4.1	4.0	0.789514618822	2	5	30	4.1	4.0	1.0115993937	1	5	30	5.3	5.0	1.9	3	9
otkupljivati	Vm	12	4311	30	2.56666666667	2.0	1.17426099692	1	5	30	2.86666666667	3.0	0.884433277428	1	4	30	3.06666666667	3.0	1.20922380981	1	5	30	9.83333333333	10.0	2.76987765474	4	17
uvući	Vm	5	14689	30	3.3	3.5	1.32035348802	1	5	30	3.23333333333	3.0	0.955103252126	2	5	30	3.26666666667	3.0	1.26315302143	1	5	30	7.13333333333	7.0	2.31996168551	3	13
pravedan	Ag	8	27738	30	1.76666666667	2.0	0.843932593411	1	4	30	3.83333333333	4.0	0.96896279025	2	5	30	3.3	3.0	1.21518174224	1	5	30	7.2	7.0	1.83303027798	4	10
pojašnjavati	Vm	12	15672	30	2.9	3.0	1.37477270849	1	5	30	3.83333333333	4.0	0.859586463882	2	5	30	3.1	3.0	1.24766448481	1	5	30	7.96666666667	8.0	2.33071281419	4	12
podbaciti	Vm	9	6034	30	2.16666666667	2.0	0.933928381741	1	5	30	2.73333333333	3.0	0.99777530314	1	5	30	2.86666666667	3.0	1.11753697428	1	5	30	9.3	10.0	3.20572404718	2	16
ulaziti	Vm	7	122794	30	4.2	4.0	0.871779788708	2	5	30	4.5	5.0	0.67082039325	3	5	30	4.36666666667	5.0	0.87496031656	2	5	30	5.8	5.0	1.85112578359	3	10
sramiti	Vm	7	17158	30	2.43333333333	2.0	1.28279209366	0	5	30	3.56666666667	4.0	0.955103252126	0	5	30	3.63333333333	4.0	1.1967548714	1	5	30	6.16666666667	6.0	2.25215945755	3	11
pobožan	Ag	7	6086	30	2.66666666667	2.0	1.490711985	1	5	30	3.13333333333	3.0	0.845905169363	2	5	30	3.73333333333	4.0	1.03064165558	1	5	30	7.46666666667	7.0	2.57854394744	3	15
uklapati	Vm	8	18270	30	2.3	2.0	1.03762549442	1	5	30	3.1	3.0	0.943398113206	2	5	30	3.0	3.0	1.3416407865	1	5	30	8.16666666667	8.0	2.86453409049	3	15
pozitiv	Nc	7	3131	30	2.63333333333	2.5	1.40198272299	1	5	30	2.2	2.0	1.01324561024	1	4	30	3.23333333333	3.0	1.35851225815	1	5	30	10.0333333333	10.0	3.21955828578	3	18
častan	Ag	6	26517	30	1.7	1.5	0.862167810425	1	4	30	2.3	2.0	0.971253485622	1	4	30	3.33333333333	3.0	1.2736648783	1	5	30	9.06666666667	9.0	2.75600354781	3	15
osvjetljenje	Nc	12	11347	30	4.06666666667	4.0	0.813770374382	2	5	30	3.93333333333	4.0	0.963788819653	1	5	30	4.1	4.0	0.869865890047	2	5	30	7.56666666667	8.0	2.07658908362	3	14
otežati	Vm	7	6463	30	2.6	3.0	1.01980390272	1	4	30	3.23333333333	3.0	0.919540948276	1	5	30	3.16666666667	3.0	1.09797793947	1	5	30	7.83333333333	8.0	1.91630431357	3	10
informirati	Vm	11	26599	30	2.9	3.0	1.24766448481	1	5	30	3.93333333333	4.0	1.06249183003	0	5	30	3.43333333333	3.0	1.05461946797	1	5	30	8.7	9.0	2.26789182576	3	12
instinkt	Nc	8	7412	30	2.16666666667	2.0	1.2405196044	1	5	30	3.53333333333	4.0	1.14697670227	1	5	30	3.23333333333	3.0	1.30851909509	1	5	30	9.4	9.0	2.62805377926	4	14
razočarati	Vm	10	21998	30	2.06666666667	2.0	0.99777530314	1	4	30	3.9	4.0	0.943398113206	1	5	30	3.26666666667	3.0	1.18133634311	1	5	30	7.73333333333	7.0	2.48908729368	4	15
bodovati	Vm	8	4479	30	3.8	4.0	1.07703296143	1	5	30	3.9	4.0	0.789514618822	2	5	30	3.83333333333	4.0	1.0354816378	2	5	30	7.7	8.0	2.17791949652	3	15
