leksem	vr	frek	13a.01.k	13a.01.č	13a.02.k	13a.02.č	13a.03.k	13a.03.č	13a.04.k	13a.04.č	13a.05.k	13a.05.č	13a.06.k	13a.06.č	13a.07.k	13a.07.č	13a.08.k	13a.08.č	13a.09.k	13a.09.č	13a.10.k	13a.10.č	13a.11.k	13a.11.č	13a.12.k	13a.12.č	13a.13.k	13a.13.č	13a.14.k	13a.14.č	13a.15.k	13a.15.č	13b.01.k	13b.01.č	13b.02.k	13b.02.č	13b.03.k	13b.03.č	13b.04.k	13b.04.č	13b.05.k	13b.05.č	13b.06.k	13b.06.č	13b.07.k	13b.07.č	13b.08.k	13b.08.č	13b.09.k	13b.09.č	13b.10.k	13b.10.č	13b.11.k	13b.11.č	13b.12.k	13b.12.č	13b.13.k	13b.13.č	13b.14.k	13b.14.č	13b.15.k	13b.15.č
naručivati	G	9319	4	4	3	4	3	3	5	4	3	5	3	4	4	4	3	5	4	4	4	4	3	5	1	5	4	5	1	5	2	4	2	2	5	3	4	4	5	3	4	3	5	3	1	3	4	5	5	5	5	5	5	4	2	5	4	4	5	3	2	3
rebro	I	11973	5	3	5	3	5	2	5	3	5	3	5	3	5	3	5	4	5	5	5	2	5	4	5	4	5	3	5	3	4	4	5	2	5	3	5	4	5	2	5	3	5	3	5	2	5	3	5	4	5	4	5	4	5	2	5	4	5	2	5	3
ljuska	I	5972	5	3	5	2	5	4	4	3	5	3	5	3	5	3	5	2	5	4	5	2	5	4	4	3	5	4	4	3	5	3	5	3	5	3	5	3	5	2	4	3	5	3	5	3	5	3	5	2	5	4	5	3	5	3	5	4	5	2	5	3
predvođen	P	4787	3	3	3	3	1	2	2	2	1	2	2	2	3	2	1	1	4	3	2	2	2	3	1	2	2	3	1	3	1	2	2	1	3	2	2	4	3	3	3	3	2	3	1	2	3	3	3	2	1	3	4	3	2	2	4	3	5	1	2	1
neshvatljiv	P	7172	2	3	3	5	1	0	2	4	1	5	1	3	4	2	1	3	1	5	3	2	4	3	1	3	1	3	1	4	1	3	1	1	2	3	2	3	2	4	2	4	2	3	1	3	2	4	2	3	1	4	1	3	1	4	4	4	5	3	1	4
divan	P	46559	4	4	3	5	4	0	1	4	1	5	2	4	4	5	2	1	2	5	1	3	3	4	1	3	1	3	1	5	2	4	2	3	3	4	1	4	2	3	2	4	1	3	1	4	1	5	2	3	1	5	2	4	3	5	1	4	4	3	1	4
inventar	I	5706	4	3	4	3	1	2	4	2	5	4	4	3	5	2	1	1	5	5	4	2	2	4	3	4	2	4	1	4	3	3	4	1	4	2	2	4	4	1	4	3	5	2	1	1	4	3	3	4	1	4	4	3	1	2	4	3	3	2	3	3
provjera	I	43710	4	4	4	4	2	2	3	4	2	5	2	4	4	3	3	4	1	4	2	3	2	5	2	4	3	4	1	3	2	4	2	2	5	3	4	3	4	4	4	3	3	3	1	4	3	4	5	4	1	4	3	3	2	5	3	4	4	3	1	4
mahati	G	13371	5	4	5	4	5	4	5	4	5	4	5	4	5	4	5	4	5	4	5	2	5	4	5	4	5	5	4	4	5	4	4	3	5	3	5	4	5	2	5	3	5	3	5	2	5	4	4	2	5	5	5	5	5	3	4	3	5	2	4	3
opteretiti	G	4803	4	4	3	4	1	2	3	3	1	5	3	2	4	4	1	3	3	5	4	2	2	4	2	3	5	3	1	3	3	3	2	2	3	2	3	3	4	3	2	2	1	2	2	2	3	5	3	3	1	4	4	4	3	4	2	3	4	3	1	2
pjevački	P	15474	2	2	4	4	2	3	1	2	2	5	2	3	3	4	1	2	4	4	2	1	2	3	3	3	3	3	1	3	3	3	4	2	4	2	5	2	5	2	3	4	5	3	4	4	4	3	4	2	4	4	5	4	4	4	3	3	5	2	1	2
krenuti	G	323902	4	5	3	5	4	5	2	5	5	5	4	5	4	5	1	5	2	4	3	3	4	5	4	5	5	5	2	4	4	5	3	4	5	5	5	5	5	5	3	3	5	4	3	5	5	5	5	5	5	5	4	5	5	5	4	5	5	5	2	4
popričati	G	10697	4	5	5	5	4	5	4	5	4	5	3	5	5	5	3	5	4	5	4	4	2	4	4	5	4	4	2	4	4	5	3	4	5	4	4	4	3	4	4	4	5	4	5	5	5	5	5	5	3	4	4	5	5	5	4	4	5	5	3	5
bazni	P	8088	2	2	2	2	1	1	3	2	1	3	2	1	2	1	1	1	1	3	2	1	1	1	1	3	1	1	1	2	2	1	2	1	2	2	2	2	3	1	2	1	1	3	2	2	3	3	2	3	1	3	4	3	1	3	2	3	4	1	2	1
ležaljka	I	3157	5	3	5	3	5	2	5	2	5	3	5	3	5	2	5	3	5	3	5	2	5	3	5	3	5	3	4	3	5	3	5	3	5	3	5	3	5	2	5	3	5	2	5	2	5	3	5	2	5	4	5	3	5	4	5	4	5	2	5	3
pravomoćan	P	9327	2	2	1	3	1	1	3	2	1	2	1	2	1	1	1	1	1	2	1	3	1	1	1	3	0	3	1	3	1	2	2	2	3	2	1	2	2	1	2	2	1	2	1	1	3	4	3	1	1	4	5	2	1	2	3	4	3	2	1	1
spreman	P	190742	4	5	3	5	2	4	3	4	1	5	2	5	2	4	1	5	1	5	2	4	3	5	2	4	3	4	1	5	1	5	2	4	4	4	3	5	3	4	4	3	1	3	1	4	2	5	4	4	1	5	1	5	3	5	2	5	3	4	2	4
kućanski	P	8716	3	2	2	3	4	3	5	4	2	5	2	5	4	4	3	4	3	5	2	4	4	5	2	2	5	4	1	4	2	4	3	2	4	3	4	5	5	3	4	4	5	0	3	3	3	4	5	5	4	5	5	4	4	5	4	5	5	0	3	4
debitant	I	4157	4	2	1	2	3	1	4	2	2	1	2	1	5	1	1	1	2	2	2	2	1	2	3	1	2	2	1	3	2	1	3	1	4	2	3	1	4	1	4	2	5	2	1	1	3	2	0	1	1	2	5	2	5	1	5	4	4	1	1	2
zastrašujući	P	10199	3	4	4	3	4	3	4	4	1	5	3	3	4	3	1	3	1	5	3	3	2	3	1	3	1	3	3	3	2	3	2	2	3	2	3	3	4	3	3	3	2	3	2	2	3	3	4	3	1	5	2	4	3	3	4	4	5	3	3	2
migrena	I	4743	5	2	5	3	4	2	5	2	3	4	4	3	5	2	3	2	3	3	2	3	5	4	5	3	4	3	4	3	1	3	3	3	4	2	4	2	5	3	5	4	5	2	2	1	3	3	4	3	1	4	5	4	5	2	5	3	5	3	1	2
obnoviti	G	29044	3	3	3	3	2	2	3	3	2	4	2	3	3	2	1	5	2	3	3	2	2	3	3	3	5	4	2	4	2	3	4	2	4	3	4	3	5	3	4	3	4	2	2	3	5	4	5	4	1	5	3	3	2	4	3	3	5	2	2	2
plućni	P	4637	2	2	4	2	4	1	5	2	5	1	4	2	4	2	3	2	5	5	2	1	4	3	3	2	5	3	2	3	2	2	4	1	3	2	5	2	5	2	5	2	5	2	4	2	4	3	5	2	4	4	5	3	4	2	4	2	5	1	3	2
trećeplasiran	P	4704	4	2	5	3	5	1	5	2	1	2	4	2	3	1	1	1	1	3	2	2	3	2	5	1	5	4	5	2	3	3	4	1	5	2	2	2	5	1	2	1	5	2	2	1	4	3	4	1	4	3	5	2	5	1	5	3	5	1	4	1
