leksem	vr	frek	25a.01.k	25a.01.č	25a.02.k	25a.02.č	25a.03.k	25a.03.č	25a.04.k	25a.04.č	25a.05.k	25a.05.č	25a.06.k	25a.06.č	25a.07.k	25a.07.č	25a.08.k	25a.08.č	25a.09.k	25a.09.č	25a.10.k	25a.10.č	25a.11.k	25a.11.č	25a.12.k	25a.12.č	25a.13.k	25a.13.č	25a.14.k	25a.14.č	25a.15.k	25a.15.č	25b.01.k	25b.01.č	25b.02.k	25b.02.č	25b.03.k	25b.03.č	25b.04.k	25b.04.č	25b.05.k	25b.05.č	25b.06.k	25b.06.č	25b.07.k	25b.07.č	25b.08.k	25b.08.č	25b.09.k	25b.09.č	25b.10.k	25b.10.č	25b.11.k	25b.11.č	25b.12.k	25b.12.č	25b.13.k	25b.13.č	25b.14.k	25b.14.č	25b.15.k	25b.15.č
nepobitan	P	3763	1	5	4	4	3	3	1	1	5	3	4	3	1	1	2	2	1	2	2	1	3	2	2	3	2	2	1	1	1	3	1	4	1	2	1	1	2	2	2	2	4	2	3	2	1	2	4	3	2	1	5	2	2	1	4	3	1	1	1	1
napajati	G	4214	2	2	4	3	4	3	3	3	5	3	4	4	1	1	3	2	2	1	2	1	4	3	4	3	4	3	3	3	3	2	2	2	4	1	3	3	4	5	4	3	4	3	3	3	5	3	4	3	5	2	5	2	4	3	4	4	2	2	4	4
konkurencija	I	103908	2	2	3	5	5	4	3	4	5	4	2	3	4	4	3	4	1	3	3	2	2	4	3	4	3	4	4	4	1	2	1	5	0	0	2	3	2	4	2	4	5	3	3	4	2	4	4	5	5	3	5	4	2	3	2	3	2	3	1	3
pregovarački	P	9917	2	4	4	2	1	2	3	1	4	3	4	4	1	3	2	2	1	2	2	1	2	2	3	4	2	4	2	1	2	2	1	4	3	3	2	2	3	4	2	4	5	3	3	4	2	2	3	4	4	2	3	1	2	2	2	2	1	2	3	2
prijetnja	I	62690	2	2	4	3	3	2	5	3	5	4	4	3	4	4	3	3	2	3	2	3	3	3	4	4	2	4	4	3	2	3	1	5	4	2	3	2	2	3	2	4	5	4	4	4	3	3	4	5	5	2	5	5	2	4	3	3	4	3	1	2
puč	I	3738	3	2	3	1	2	3	1	1	4	3	3	2	3	3	1	1	3	1	3	1	3	1	4	3	4	1	1	1	1	2	1	1	2	1	4	1	4	2	2	2	5	2	1	2	2	2	3	2	2	1	5	1	2	1	3	1	4	3	2	1
željezo	I	20264	5	3	5	4	5	2	5	1	5	2	3	3	5	3	5	3	5	3	5	4	5	4	5	4	5	4	5	4	3	3	5	5	5	3	5	3	5	4	5	4	5	3	5	4	5	3	5	5	5	2	5	4	5	3	5	3	4	5	5	4
morski	P	59527	4	3	5	4	4	5	3	2	5	3	5	4	5	3	4	3	5	3	4	4	5	4	5	5	5	3	5	4	4	3	3	4	4	4	5	3	5	4	4	4	5	4	4	3	4	3	5	5	5	4	5	4	4	1	4	4	4	5	5	3
homoseksualnost	I	9338	3	4	5	5	3	4	3	1	5	4	5	3	5	4	3	3	2	2	3	3	4	4	3	4	4	4	5	4	1	3	2	4	4	4	4	2	5	4	4	5	5	5	4	4	2	3	5	5	5	3	5	3	4	1	4	4	5	3	1	3
neljudski	P	3226	2	2	2	4	3	4	1	1	3	4	4	4	1	4	2	3	1	2	2	3	2	2	2	3	1	5	2	3	1	2	1	3	4	3	1	3	5	3	1	3	4	4	1	3	2	3	4	4	3	2	4	3	2	4	2	4	2	2	1	1
