leksem	vr	frek	23a.01.k	23a.01.č	23a.02.k	23a.02.č	23a.03.k	23a.03.č	23a.04.k	23a.04.č	23a.05.k	23a.05.č	23a.06.k	23a.06.č	23a.07.k	23a.07.č	23a.08.k	23a.08.č	23a.09.k	23a.09.č	23a.10.k	23a.10.č	23a.11.k	23a.11.č	23a.12.k	23a.12.č	23a.13.k	23a.13.č	23a.14.k	23a.14.č	23a.15.k	23a.15.č	23b.01.k	23b.01.č	23b.02.k	23b.02.č	23b.03.k	23b.03.č	23b.04.k	23b.04.č	23b.05.k	23b.05.č	23b.06.k	23b.06.č	23b.07.k	23b.07.č	23b.08.k	23b.08.č	23b.09.k	23b.09.č	23b.10.k	23b.10.č	23b.11.k	23b.11.č	23b.12.k	23b.12.č	23b.13.k	23b.13.č	23b.14.k	23b.14.č	23b.15.k	23b.15.č
dodatan	P	208533	3	4	3	4	3	5	3	4	5	5	1	4	3	5	2	5	3	4	3	5	0	0	3	4	1	5	3	4	2	5	3	5	5	5	3	3	3	3	2	4	3	3	3	3	0	0	0	0	4	2	3	5	3	4	3	4	5	3	5	5
poziv	I	154184	2	4	3	3	4	5	3	5	5	4	5	5	5	5	5	5	5	5	5	5	0	0	2	4	5	5	3	4	4	5	4	5	5	5	3	3	4	5	3	3	4	5	3	5	0	0	0	0	2	4	3	5	5	4	5	4	5	5	3	4
rezultatski	P	5959	2	3	4	2	2	1	2	3	5	5	1	2	3	4	3	3	4	3	3	3	0	0	4	3	1	2	2	1	1	2	2	1	5	3	2	2	3	3	1	1	1	2	2	2	0	0	0	0	3	3	3	3	3	3	3	4	5	3	4	1
prenosiv	P	6547	2	2	2	4	3	3	4	3	5	4	5	4	5	5	3	4	5	5	2	4	0	0	3	3	3	3	4	3	4	3	3	3	3	2	3	3	4	4	1	3	2	4	4	3	0	0	0	0	4	5	3	4	5	4	4	3	5	5	3	2
planinarski	P	24170	3	2	5	3	5	4	5	2	5	4	5	4	4	4	4	2	4	5	5	3	0	0	1	3	4	5	3	3	4	1	3	3	1	5	4	3	3	3	2	3	3	3	4	3	0	0	0	0	5	3	1	4	4	3	3	2	5	2	3	3
kupati	G	15453	4	3	4	4	5	5	4	4	5	5	5	5	5	5	5	5	5	5	5	5	0	0	4	5	5	5	5	5	5	4	4	5	2	3	4	4	5	5	4	5	4	4	4	4	0	0	3	0	4	4	3	5	5	4	5	3	5	5	5	5
civil	I	40675	2	3	2	5	4	4	2	5	5	4	4	4	1	2	5	5	5	4	4	4	0	0	5	4	5	5	5	3	3	4	4	3	5	0	5	3	5	4	2	3	5	2	1	2	0	0	3	3	5	5	4	5	3	4	5	5	5	2	5	4
nestvaran	P	3365	1	3	1	2	1	4	1	5	5	5	1	5	2	4	1	5	1	5	1	4	0	0	3	4	2	4	1	4	1	2	1	3	1	0	1	4	3	4	2	4	2	5	4	3	0	0	5	1	3	4	3	4	3	4	5	4	5	3	5	4
turist	I	76606	2	2	5	4	5	5	2	5	5	4	5	5	3	4	5	4	5	5	4	4	0	0	1	3	5	2	5	4	4	4	5	3	0	5	4	4	5	4	3	4	5	4	5	4	0	0	4	1	5	5	4	5	5	4	2	4	5	4	1	4
uticati	G	4387	1	2	2	1	3	4	3	2	5	5	1	3	4	3	1	1	2	2	2	3	0	0	3	4	3	5	1	5	4	3	2	2	5	1	3	4	2	2	3	3	2	4	3	2	0	0	3	2	2	3	2	3	5	4	5	1	5	1	5	4
birati	G	98310	2	3	1	4	3	5	3	5	5	5	1	5	2	4	1	4	5	4	3	5	0	0	1	4	2	5	3	5	2	3	3	4	2	4	3	4	3	5	4	4	3	4	4	4	0	0	2	3	3	5	4	5	5	4	1	3	5	5	4	5
dvosatni	P	4029	2	3	4	2	4	3	4	5	5	5	5	3	5	5	5	2	5	4	5	3	0	0	2	3	3	4	3	3	1	1	4	4	4	4	2	3	3	4	2	3	3	4	4	2	0	0	2	3	5	4	1	4	5	4	4	1	5	4	5	5
brijati	G	16932	2	3	5	5	4	5	5	5	5	4	5	5	5	4	5	5	5	5	4	5	0	0	4	4	5	4	4	4	5	2	4	4	5	3	4	3	4	4	5	4	4	3	3	3	0	0	4	5	5	5	2	5	3	4	4	3	5	3	5	5
utješiti	G	6169	1	3	3	3	3	4	4	4	5	4	5	5	3	5	2	4	4	5	4	4	0	0	5	4	2	5	3	4	1	1	2	4	4	0	2	3	3	3	4	4	4	3	2	3	0	0	3	4	3	3	1	4	5	4	5	3	5	5	4	5
proliti	G	4459	2	4	5	4	5	5	5	5	5	4	5	5	5	5	4	4	5	5	5	5	0	0	3	4	5	3	5	4	5	5	3	5	5	4	4	4	4	4	4	4	4	4	4	4	0	0	4	2	2	3	3	5	5	5	3	4	5	5	5	5
senzacionalan	P	5232	1	3	1	1	3	4	2	3	4	4	1	4	1	3	3	5	2	4	4	3	0	0	4	4	1	4	1	3	1	1	2	2	1	3	3	3	2	3	2	3	2	3	1	2	0	0	3	2	3	4	2	3	4	3	4	3	5	4	3	5
nadopuniti	G	5341	2	3	3	4	3	5	4	5	4	4	5	5	2	4	2	2	3	4	4	4	0	0	2	4	2	2	3	4	4	5	3	4	4	4	3	3	4	4	2	4	4	4	4	4	0	0	4	3	2	3	1	5	5	5	1	4	5	5	4	5
glumište	I	3369	1	2	5	5	4	3	3	2	4	5	4	2	2	2	5	1	4	2	4	3	0	0	2	2	4	1	5	1	5	2	2	1	2	1	3	2	4	4	1	2	4	2	3	1	0	0	4	4	3	4	1	2	3	1	2	2	3	1	5	1
bilateralan	P	9643	1	2	2	1	3	4	2	3	4	5	1	2	2	2	2	1	2	2	3	3	0	0	3	3	4	3	2	2	1	1	1	2	1	1	2	2	1	2	1	3	1	4	2	2	0	0	3	4	2	1	1	3	2	2	5	2	4	1	1	1
mrežni	P	22125	1	3	3	2	3	4	2	4	4	5	3	5	2	3	3	4	2	3	3	4	0	0	3	4	4	5	3	2	2	4	3	2	3	3	3	2	3	4	2	4	3	2	3	2	0	0	4	2	3	3	2	5	3	3	1	4	4	2	3	1
množina	I	3387	2	3	1	4	4	5	2	3	4	5	3	5	4	4	1	3	4	3	5	5	0	0	3	3	5	5	3	3	5	5	2	4	4	4	3	1	3	4	2	4	2	3	2	3	0	0	3	3	4	4	3	5	4	4	2	4	5	5	5	2
pružiti	G	84865	2	3	3	5	3	5	2	4	5	5	5	4	5	5	4	4	4	4	4	5	0	0	3	4	4	5	3	5	5	5	4	5	5	5	3	4	4	5	4	4	3	4	4	4	0	0	4	4	3	5	3	5	5	4	2	0	5	5	3	5
podići	G	79231	2	4	5	3	4	5	4	5	5	5	5	5	5	5	3	4	5	4	5	5	0	0	2	5	5	5	4	5	5	5	4	5	5	5	5	4	4	5	4	5	4	4	4	4	0	0	4	5	4	4	3	5	5	5	4	3	5	5	5	5
odvoziti	G	9688	2	3	5	4	3	5	4	3	5	5	4	5	3	4	4	3	5	4	5	4	0	0	5	5	5	4	4	3	5	5	3	5	4	2	5	4	4	4	3	4	4	3	4	3	0	0	5	5	2	4	2	3	5	5	4	3	5	3	5	3
ugovoran	P	15161	1	2	2	3	3	4	2	4	5	5	1	2	1	2	2	4	2	3	2	3	0	0	5	3	3	3	2	1	2	2	2	2	2	3	3	3	2	3	1	2	2	2	3	2	0	0	4	2	3	2	1	3	3	4	2	1	2	1	3	1
prostirati	G	8597	3	3	3	5	4	4	2	3	4	4	5	3	2	3	5	1	3	4	3	3	0	0	3	4	4	4	4	3	5	2	3	3	4	3	4	3	4	4	3	4	3	3	4	3	0	0	4	1	2	1	3	5	4	4	4	3	4	1	5	3
vršiti	G	55171	2	3	2	4	3	4	2	4	4	5	2	5	1	4	2	3	1	4	3	4	0	0	1	4	3	3	3	4	2	1	1	3	2	1	3	2	3	3	2	3	2	3	2	3	0	0	2	2	3	2	2	4	4	4	3	3	5	3	2	5
programski	P	37938	2	3	4	3	4	4	2	4	4	4	2	5	2	2	4	4	5	3	2	3	0	0	2	5	3	2	3	4	2	3	2	4	3	3	3	3	2	3	2	4	3	4	3	2	0	0	3	4	1	5	1	4	3	3	2	5	4	1	3	5
iskupiti	G	3402	1	4	2	2	3	4	2	5	4	5	4	5	1	2	4	3	5	4	4	5	0	0	4	5	2	5	3	4	1	3	1	3	2	2	2	3	2	4	2	4	2	3	2	3	0	0	2	3	3	3	1	4	3	4	2	3	5	2	2	5
povezivanje	I	33059	2	4	3	5	5	5	2	5	5	5	1	4	3	3	3	3	4	5	4	3	0	0	1	4	3	2	3	4	2	4	3	5	4	4	3	4	3	4	3	4	4	4	3	4	0	0	3	5	2	4	1	5	5	4	3	4	5	5	3	5
disko	I	3179	4	3	5	3	2	2	5	2	5	5	5	4	4	2	5	2	5	5	5	4	0	0	2	5	5	4	5	4	5	1	5	3	5	3	3	4	5	4	3	3	5	2	5	4	0	0	5	4	5	4	5	5	5	3	5	2	5	2	5	1
namjestiti	G	12793	2	4	1	2	3	5	4	4	5	5	5	5	2	5	3	5	3	5	4	5	0	0	5	2	4	3	3	5	3	3	4	4	4	5	4	4	3	4	4	5	3	4	4	4	0	0	4	5	4	5	2	5	3	4	4	4	5	3	5	5
željezara	I	6713	3	3	5	4	5	2	5	2	5	5	5	4	5	3	5	4	5	5	5	4	0	0	3	3	5	2	4	2	5	3	5	2	4	2	5	1	5	4	3	2	5	2	5	2	0	0	5	2	3	5	5	3	5	3	5	2	5	1	5	1
pragmatičan	P	3254	1	4	3	5	2	4	2	3	5	5	1	2	1	4	5	5	5	3	3	4	0	0	5	3	3	4	1	3	2	3	1	2	1	1	1	2	1	2	1	2	2	3	1	1	0	0	1	3	4	2	1	3	1	2	1	3	3	1	3	2
brončan	P	18677	2	3	5	4	5	4	5	3	4	4	5	5	5	3	5	5	5	4	4	3	0	0	1	3	4	5	5	4	5	2	4	3	5	2	5	1	4	3	2	3	4	2	4	3	0	0	5	3	3	3	5	5	5	3	5	3	5	2	5	3
lijen	P	12348	1	4	1	5	3	5	2	5	4	5	5	5	2	5	3	5	5	4	4	4	0	0	5	4	3	4	1	5	2	2	4	4	4	4	1	5	4	5	3	4	2	5	2	5	0	0	3	5	3	4	1	5	3	4	5	4	5	5	3	5
koncertni	P	21663	3	3	4	5	4	4	3	3	4	4	2	2	3	4	4	2	4	5	2	4	0	0	4	2	4	5	1	3	4	2	3	3	3	2	4	4	2	4	2	2	3	3	3	2	0	0	4	2	2	3	3	5	4	4	4	4	5	2	3	3
međuljudski	P	6983	1	4	2	4	2	5	1	4	4	5	1	3	4	5	2	3	3	5	3	5	0	0	4	2	3	5	1	4	2	3	2	3	2	3	1	3	1	4	3	4	2	3	3	3	0	0	2	3	3	2	2	5	3	4	3	3	5	5	1	4
indirektan	P	4805	1	3	2	2	2	5	1	5	5	5	1	4	2	3	3	4	3	4	2	3	0	0	3	3	2	5	1	4	1	2	1	2	1	2	2	3	2	3	3	4	1	4	4	3	0	0	1	3	2	3	1	4	2	3	1	2	5	3	1	2
liječnički	P	27962	2	4	4	4	4	4	3	4	5	4	4	4	5	4	4	2	5	5	4	4	0	0	1	3	5	5	3	3	2	2	3	3	3	3	3	2	3	4	3	3	2	2	4	3	0	0	3	2	4	3	2	4	3	3	5	3	5	4	3	2
opsežan	P	18480	2	4	1	5	2	0	4	5	5	4	1	5	2	5	1	4	5	5	3	4	0	0	3	4	3	3	3	4	4	3	2	3	3	3	3	3	2	5	2	4	2	4	2	2	3	0	3	3	3	2	2	3	4	4	2	3	5	2	4	4
aplicirati	G	4564	2	5	2	5	2	5	3	3	5	4	5	2	1	2	1	1	2	3	2	2	0	0	4	3	3	4	3	1	4	4	2	2	1	1	5	1	1	2	2	4	3	3	1	1	1	0	2	1	1	1	1	1	1	1	1	1	5	1	3	3
izostati	G	16782	2	2	2	5	3	4	3	5	4	5	1	4	2	5	2	5	3	5	3	4	0	0	2	5	4	4	3	4	1	2	3	5	3	4	3	3	2	5	2	5	2	4	3	4	3	0	3	4	4	2	1	5	3	4	2	4	5	2	2	5
konstruktor	I	7664	2	3	3	2	5	5	5	4	4	5	1	2	2	5	5	5	4	3	2	3	0	0	1	2	5	3	3	1	4	3	4	1	1	1	4	2	3	2	2	2	4	2	4	2	4	0	4	2	4	3	3	2	4	3	3	3	5	1	5	3
