leksem	vr	frek	14a.01.k	14a.01.č	14a.02.k	14a.02.č	14a.03.k	14a.03.č	14a.04.k	14a.04.č	14a.05.k	14a.05.č	14a.06.k	14a.06.č	14a.07.k	14a.07.č	14a.08.k	14a.08.č	14a.09.k	14a.09.č	14a.10.k	14a.10.č	14a.11.k	14a.11.č	14a.12.k	14a.12.č	14a.13.k	14a.13.č	14a.14.k	14a.14.č	14a.15.k	14a.15.č	14b.01.k	14b.01.č	14b.02.k	14b.02.č	14b.03.k	14b.03.č	14b.04.k	14b.04.č	14b.05.k	14b.05.č	14b.06.k	14b.06.č	14b.07.k	14b.07.č	14b.08.k	14b.08.č	14b.09.k	14b.09.č	14b.10.k	14b.10.č	14b.11.k	14b.11.č	14b.12.k	14b.12.č	14b.13.k	14b.13.č	14b.14.k	14b.14.č	14b.15.k	14b.15.č
rez	I	20884	4	3	5	3	3	4	4	2	4	2	3	2	3	3	3	2	3	4	4	1	5	3	4	1	5	4	3	0	5	3	4	1	5	3	3	1	4	3	3	4	5	5	5	5	5	3	5	2	5	3	5	3	3	3	5	2	5	4	5	4
obraćati	G	27584	4	4	2	3	2	4	2	4	2	4	4	4	3	4	4	2	1	5	3	4	3	4	2	3	4	5	5	0	3	1	3	1	1	4	2	1	4	4	2	4	4	3	3	3	2	3	3	3	3	4	5	5	2	4	3	4	3	4	2	3
dužan	P	76122	5	4	2	4	2	3	2	4	2	4	3	4	2	4	2	2	3	5	2	3	1	4	2	2	3	4	3	0	3	4	5	3	5	3	2	2	4	4	2	5	5	5	3	4	2	3	2	4	3	4	2	3	2	4	2	4	3	4	2	5
kuglana	I	3922	5	2	3	0	4	3	5	4	3	2	3	2	5	2	5	1	4	4	5	1	5	2	5	1	5	3	0	2	0	2	3	2	5	4	5	4	5	2	4	5	5	1	5	5	5	2	5	2	5	3	5	1	4	3	5	2	5	2	5	4
odletjeti	G	7535	3	4	4	3	4	3	5	3	4	5	4	2	4	3	4	2	3	3	5	2	5	3	3	2	5	4	0	2	5	3	3	1	4	4	4	1	5	3	3	1	5	3	4	5	5	3	4	3	4	4	5	4	4	3	5	3	5	5	4	4
iskrcati	G	4744	4	4	5	3	4	3	4	3	3	4	4	2	5	4	3	2	4	3	5	1	5	2	3	3	4	3	0	2	5	4	3	2	5	4	3	3	4	3	3	3	5	3	4	3	4	4	3	2	4	4	4	3	4	4	4	3	4	4	4	3
opskrbljivati	G	7004	4	4	2	2	4	3	2	3	1	3	3	2	1	4	2	2	3	2	3	1	5	2	2	2	4	3	0	5	3	3	3	1	4	3	1	2	3	3	3	2	5	4	2	4	3	4	1	3	4	4	3	4	2	4	4	3	3	4	3	5
koštati	G	93821	5	5	4	5	4	3	5	5	3	5	4	4	3	5	3	4	3	4	2	5	4	5	2	4	3	5	2	0	4	5	5	3	4	5	1	2	5	5	3	3	5	5	4	5	2	3	2	2	5	5	5	5	4	4	2	5	3	5	4	4
tračnica	I	5344	5	4	5	0	4	3	5	4	5	2	5	5	5	3	5	1	4	4	5	3	5	3	5	3	5	4	0	2	5	4	4	4	5	3	5	5	5	2	5	5	5	4	5	5	5	5	5	5	5	3	5	3	4	4	5	4	5	4	5	2
dinastija	I	6917	3	3	3	3	2	3	2	2	3	2	2	1	2	2	1	1	1	1	1	1	2	1	3	1	3	2	0	1	3	3	4	2	2	2	3	3	2	2	1	4	5	2	2	3	2	4	5	1	2	2	5	2	3	0	4	1	4	3	3	2
pripajanje	I	3449	2	3	4	3	2	3	2	3	3	1	4	1	3	3	3	2	4	3	3	1	2	2	2	2	3	3	0	1	4	3	3	1	2	2	3	1	3	3	2	2	5	2	3	3	1	1	2	1	2	2	3	3	3	4	3	2	2	2	2	3
vrištati	G	13003	4	4	5	0	4	3	5	5	4	3	5	4	4	4	5	3	4	3	5	3	5	3	4	3	5	4	5	0	5	4	3	3	5	4	5	2	5	4	5	3	5	4	4	5	5	2	5	4	5	4	5	4	4	4	5	4	5	4	4	4
sažet	P	3494	4	3	2	5	4	3	2	5	2	4	2	2	1	4	3	2	1	2	2	2	2	3	2	3	2	4	0	5	4	3	2	2	5	4	2	3	2	3	1	4	5	5	3	3	1	5	4	4	3	4	5	4	2	4	4	3	3	3	3	3
nedorečen	P	3698	3	3	1	3	2	3	2	2	1	3	1	2	1	4	2	2	1	4	1	1	1	3	1	2	2	3	0	2	3	3	5	3	2	3	1	5	2	3	1	4	1	4	3	3	1	2	1	2	2	2	1	3	2	3	2	2	1	3	2	4
dizajnerski	P	19300	4	3	1	3	2	3	2	3	2	3	2	2	3	3	3	4	4	2	1	2	1	3	3	1	3	4	0	2	2	3	3	2	4	3	3	2	2	2	2	4	5	4	3	3	2	2	2	2	2	3	4	2	0	4	5	2	2	4	2	3
izvoran	P	42506	4	5	2	2	2	3	1	3	2	3	1	2	2	4	3	1	2	3	2	2	1	1	1	2	2	4	0	0	2	3	5	2	2	3	2	4	2	2	2	4	4	3	2	3	5	3	1	2	1	3	3	4	2	4	3	3	2	3	2	5
skuhati	G	15939	5	4	5	4	4	3	4	5	4	5	4	5	5	5	5	5	4	5	5	5	5	5	4	5	5	5	1	0	5	5	5	1	5	5	3	3	5	5	5	4	5	5	4	5	0	5	5	5	4	5	5	5	2	4	5	5	5	5	4	3
građevni	P	8527	2	5	3	2	4	3	2	2	3	4	2	1	3	2	2	1	4	4	3	2	5	3	4	4	3	4	0	3	2	3	5	3	4	3	2	5	3	4	4	5	5	4	3	3	2	0	5	5	3	3	3	3	4	4	3	2	4	3	4	3
ženstvenost	I	4058	4	4	4	3	3	3	4	4	2	3	4	4	2	3	1	3	4	5	4	2	1	2	2	3	1	4	1	0	1	3	2	1	4	3	2	3	3	3	4	5	5	4	2	4	2	2	1	4	2	4	3	4	4	5	3	3	4	4	3	0
odbaciti	G	42797	5	5	0	5	2	3	3	3	4	3	4	4	2	3	3	2	2	3	5	4	1	2	3	4	2	4	1	0	2	4	4	2	3	3	1	4	3	4	3	4	5	5	3	3	3	4	3	3	3	3	3	3	4	3	4	3	4	3	3	4
uredski	P	12621	5	2	2	0	2	3	1	3	2	2	2	1	4	3	4	2	1	3	4	3	5	3	5	4	5	4	0	3	2	3	3	3	4	3	2	4	4	3	4	3	5	5	3	4	4	3	0	0	3	2	5	2	4	3	4	3	4	2	2	3
ispostava	I	9729	4	3	3	3	2	3	1	3	2	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	3	0	3	1	2	3	2	2	3	2	3	4	3	3	3	4	4	2	2	1	3	1	1	3	2	3	2	4	3	3	3	3	4	2	2
prikupljati	G	19334	0	0	4	0	2	3	3	5	4	2	4	3	5	4	4	3	3	3	5	3	5	4	2	1	4	4	5	0	5	4	5	2	4	4	3	2	4	2	4	2	5	5	4	4	5	4	5	3	4	4	5	4	4	4	4	3	5	5	3	3
školjka	I	15457	3	4	5	3	4	3	4	5	5	3	4	3	5	4	5	4	5	4	5	3	5	1	5	1	5	4	5	0	5	5	5	2	4	4	5	3	5	2	5	5	5	4	5	5	5	5	5	5	5	4	5	5	5	3	5	3	5	4	5	4
volan	I	18842	5	4	5	3	4	3	5	5	5	5	4	5	5	4	5	3	5	4	5	2	5	5	5	4	5	5	5	0	5	4	5	4	5	4	5	2	5	2	5	5	5	4	5	5	5	4	5	4	5	4	5	2	5	4	5	4	5	5	5	5
poslati	G	192981	4	5	5	4	3	3	4	5	3	4	4	5	4	4	5	5	3	4	3	5	4	3	3	5	4	5	0	4	4	5	4	4	5	4	5	4	5	5	2	5	5	4	4	5	4	5	5	4	5	5	5	5	4	4	4	5	5	4	3	5
destinacija	I	31883	5	3	5	2	2	3	2	4	2	4	3	1	5	4	5	5	2	3	1	1	5	4	2	3	4	4	4	0	5	3	2	3	5	4	4	5	4	2	2	5	5	4	3	3	4	5	5	4	4	3	5	5	4	4	2	3	5	4	4	4
stizati	G	74596	4	4	3	3	2	3	2	5	3	3	1	1	3	4	2	4	3	4	3	5	1	4	3	2	4	5	0	5	2	3	1	4	4	4	2	2	1	3	2	3	5	5	3	4	2	4	3	3	3	4	3	5	4	5	2	4	4	3	3	4
odbitak	I	3426	4	2	2	1	2	3	1	1	2	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	3	0	1	3	2	2	2	3	3	1	3	1	2	2	5	5	3	3	2	1	1	2	1	2	3	3	2	2	3	2	1	3	4	4	4
viđati	G	20433	4	2	4	4	2	3	5	4	2	4	4	5	4	3	4	5	3	5	3	3	3	3	3	4	5	5	5	0	2	3	5	1	3	3	2	1	4	4	3	4	5	4	4	5	3	3	5	5	4	4	5	5	4	5	4	4	5	3	5	5
individualac	I	3095	5	4	3	4	3	3	4	4	3	3	5	4	5	4	3	4	3	4	3	1	2	4	2	1	2	4	5	0	1	3	3	3	2	4	2	5	1	3	3	0	5	4	3	3	3	3	5	4	4	4	5	4	5	5	4	3	4	4	4	4
večernji	P	66995	4	3	2	3	3	3	4	3	3	4	5	4	2	4	5	5	4	4	1	1	4	3	3	3	4	5	5	0	3	3	3	4	3	3	3	3	4	4	3	0	5	5	3	4	3	4	4	3	4	4	5	5	4	4	3	3	5	2	4	5
saslušanje	I	8186	3	1	2	2	2	3	1	2	2	3	2	1	5	3	2	1	2	2	3	1	2	3	4	1	2	4	5	0	4	2	1	2	4	4	2	3	2	3	2	4	5	4	3	3	2	2	1	3	3	3	4	3	4	3	4	2	3	3	4	4
upuštati	G	10234	4	2	3	3	2	3	1	3	1	2	1	1	1	3	2	3	3	3	2	1	2	3	3	2	3	4	5	0	1	4	1	1	2	4	1	2	1	3	2	3	2	2	2	3	1	2	1	1	2	3	3	4	3	4	1	2	2	4	2	2
status	I	107566	4	4	1	5	2	3	1	5	4	4	1	3	2	3	3	3	2	2	1	5	2	4	2	1	1	4	4	0	2	3	1	1	2	4	1	4	2	3	1	3	5	5	1	3	1	2	2	3	1	3	5	3	2	5	2	2	2	3	2	4
trenutačan	P	17172	4	3	2	4	2	3	1	3	2	3	2	3	2	4	3	3	1	4	1	4	1	4	2	4	2	5	4	0	4	4	5	2	2	3	2	4	3	3	2	3	5	4	2	4	2	4	2	1	1	4	2	5	2	5	1	4	3	4	3	4
prikaz	I	58818	4	2	4	4	2	3	1	3	4	4	3	2	5	4	3	3	3	3	3	3	2	4	4	1	2	4	5	0	4	3	2	2	5	4	2	4	2	3	3	4	5	4	4	4	1	2	5	4	4	4	3	5	4	4	2	3	4	4	3	4
