leksem	vr	frek	01a.01.k	01a.01.č	01a.02.k	01a.02.č	01a.03.k	01a.03.č	01a.04.k	01a.04.č	01a.05.k	01a.05.č	01a.06.k	01a.06.č	01a.07.k	01a.07.č	01a.08.k	01a.08.č	01a.09.k	01a.09.č	01a.10.k	01a.10.č	01a.11.k	01a.11.č	01a.12.k	01a.12.č	01a.13.k	01a.13.č	01a.14.k	01a.14.č	01a.15.k	01a.15.č	01b.01.k	01b.01.č	01b.02.k	01b.02.č	01b.03.k	01b.03.č	01b.04.k	01b.04.č	01b.05.k	01b.05.č	01b.06.k	01b.06.č	01b.07.k	01b.07.č	01b.08.k	01b.08.č	01b.09.k	01b.09.č	01b.10.k	01b.10.č	01b.11.k	01b.11.č	01b.12.k	01b.12.č	01b.13.k	01b.13.č	01b.14.k	01b.14.č	01b.15.k	01b.15.č	01b.16.k	01b.16.č
razmisliti	G	55285	1	5	1	5	1	5	5	5	2	5	4	5	3	5	1	5	2	5	2	4	2	4	4	5	1	5	3	5	3	5	3	4	4	5	1	4	1	4	5	4	2	5	2	5	4	4	5	5	3	4	2	5	1	5	5	5	1	5	4	4	2	5
sezati	G	10655	3	1	5	2	1	2	2	3	1	3	4	2	1	2	4	5	4	3	3	1	1	1	5	3	1	2	2	2	2	3	4	3	4	3	2	2	3	3	3	4	3	5	4	4	4	3	5	2	3	2	5	4	5	3	5	1	3	2	3	3	2	3
ribnjak	I	5755	5	1	5	2	5	3	5	2	4	2	5	3	5	2	5	4	5	3	4	2	5	3	5	2	5	2	5	2	5	3	5	4	5	1	5	3	5	4	4	3	5	1	5	2	5	3	5	2	5	1	5	3	5	3	1	2	5	3	5	4	5	3
dostupnost	I	15564	2	3	3	4	1	4	3	3	3	3	4	4	3	2	5	5	3	3	2	2	2	4	1	4	3	3	1	2	3	5	3	3	4	3	3	4	1	3	4	4	2	3	3	2	3	2	5	5	1	2	1	5	1	3	2	1	2	5	1	4	1	4
stagnirati	G	5157	3	1	2	4	1	3	1	3	3	3	4	3	3	1	2	4	4	3	1	2	1	1	1	5	5	1	1	1	3	2	3	3	4	1	2	2	2	3	2	1	2	2	5	2	4	3	5	3	2	3	3	4	1	1	4	2	2	3	4	4	2	4
terorizirati	G	3086	2	2	5	5	3	3	2	4	2	3	3	3	3	2	5	5	4	5	3	3	2	2	1	3	4	2	3	4	4	3	4	3	1	2	2	3	2	3	4	3	3	3	3	3	5	3	5	2	4	3	1	4	1	2	4	4	3	3	3	4	2	4
uspjeti	G	404910	1	4	2	5	1	5	2	5	2	4	5	4	1	4	1	5	2	5	2	3	2	4	3	4	5	4	4	4	4	4	4	2	1	3	2	4	1	4	4	5	3	5	3	5	5	4	5	5	2	4	2	5	2	4	2	1	2	5	4	5	2	5
deformacija	I	6016	2	1	5	5	4	3	5	2	3	1	3	2	5	1	5	4	4	4	2	2	4	1	4	3	5	2	2	5	5	4	5	3	3	2	4	2	3	2	2	3	5	2	5	5	4	4	5	4	5	2	5	4	5	2	5	4	4	4	3	3	4	4
stisnuti	G	25139	3	4	5	5	4	5	5	5	4	3	2	4	5	4	5	5	5	4	5	3	4	3	5	4	4	5	4	5	5	5	4	4	4	3	5	4	1	4	4	5	4	4	5	4	5	5	5	4	5	3	5	5	5	4	4	2	5	4	4	4	4	4
bosti	G	14856	4	3	5	5	4	4	5	3	3	1	4	3	5	1	5	5	5	3	5	2	4	2	5	3	4	3	3	5	5	4	4	2	4	3	5	3	5	3	4	2	4	3	5	2	5	4	5	5	5	1	5	5	5	2	1	1	5	3	4	4	3	3
