leksem	vr	frek	15a.01.k	15a.01.č	15a.02.k	15a.02.č	15a.03.k	15a.03.č	15a.04.k	15a.04.č	15a.05.k	15a.05.č	15a.06.k	15a.06.č	15a.07.k	15a.07.č	15a.08.k	15a.08.č	15a.09.k	15a.09.č	15a.10.k	15a.10.č	15a.11.k	15a.11.č	15a.12.k	15a.12.č	15a.13.k	15a.13.č	15a.14.k	15a.14.č	15a.15.k	15a.15.č	15b.01.k	15b.01.č	15b.02.k	15b.02.č	15b.03.k	15b.03.č	15b.04.k	15b.04.č	15b.05.k	15b.05.č	15b.06.k	15b.06.č	15b.07.k	15b.07.č	15b.08.k	15b.08.č	15b.09.k	15b.09.č	15b.10.k	15b.10.č	15b.11.k	15b.11.č	15b.12.k	15b.12.č	15b.13.k	15b.13.č	15b.14.k	15b.14.č	15b.15.k	15b.15.č
ciljati	G	11623	4	5	4	3	5	5	4	5	2	4	2	4	4	5	5	4	2	2	4	3	5	1	5	4	4	3	4	3	3	4	5	4	4	5	3	3	4	3	5	5	5	3	4	2	4	0	0	2	5	1	3	3	5	4	5	3	3	3	5	5
mjeriti	G	42343	4	5	5	4	5	4	4	5	4	5	2	4	5	5	4	4	3	3	5	4	5	3	5	4	3	4	5	3	4	4	5	4	4	5	5	4	4	3	5	4	4	4	4	3	4	3	0	3	4	2	3	3	5	3	4	4	3	3	5	5
šutiti	G	30323	5	5	5	4	5	5	5	5	4	4	4	5	5	5	5	5	4	4	5	5	5	5	5	5	2	4	2	4	3	4	5	5	3	5	5	4	5	4	4	5	5	4	4	3	5	4	3	5	5	3	3	4	5	4	2	5	5	3	5	5
vir	I	10344	5	2	5	2	5	2	5	2	5	3	5	3	5	4	5	2	5	1	5	3	5	1	4	3	4	2	5	1	4	2	4	0	5	4	5	3	3	3	5	4	5	1	4	1	5	5	4	1	4	1	5	3	5	1	5	2	1	1	5	1
natječajni	P	4018	2	2	2	3	1	2	3	3	2	2	2	4	3	4	2	3	2	2	4	2	3	1	3	3	2	3	3	2	2	2	3	3	2	2	2	3	4	3	1	2	4	4	3	2	2	1	4	1	1	1	3	3	2	1	1	2	3	1	3	3
dijagnosticirati	G	5760	4	3	2	4	4	4	2	4	3	3	2	4	3	5	2	4	3	2	1	2	5	2	3	4	2	2	3	2	3	3	5	4	3	4	3	3	4	3	2	3	3	3	2	3	2	1	4	4	1	1	3	2	1	3	1	2	2	3	4	2
traženje	I	39175	5	5	3	5	4	5	2	5	2	5	4	4	2	5	4	5	3	4	5	5	5	3	5	4	2	4	3	4	2	4	4	5	3	4	4	4	4	4	3	4	4	4	2	3	3	2	4	5	3	3	3	2	3	4	2	5	3	3	5	4
gips	I	4603	5	2	5	3	5	3	5	2	5	2	5	3	5	4	3	3	5	2	5	3	5	1	4	4	5	1	5	1	5	2	2	4	5	5	5	4	5	3	5	3	5	2	4	2	5	4	1	1	5	1	5	2	5	1	5	2	2	2	5	4
kamenje	I	23817	5	3	5	4	5	3	5	4	5	4	5	0	5	5	5	3	5	2	5	4	5	3	5	5	5	3	5	3	5	3	4	4	5	5	5	4	4	3	5	4	5	4	4	2	5	2	2	3	5	2	5	3	5	2	5	3	5	2	5	5
filter	I	20378	5	2	4	3	5	2	5	5	5	4	4	4	5	5	4	3	4	3	5	4	5	2	3	4	3	3	4	1	4	3	5	4	4	4	4	4	4	3	4	4	3	4	3	2	4	4	2	2	5	3	5	4	3	2	5	3	2	2	5	3
dobrovoljac	I	6903	5	5	1	4	4	4	2	4	4	3	2	4	2	4	4	3	2	2	4	4	3	2	4	3	1	2	3	4	2	3	3	3	5	5	2	3	4	3	2	4	3	4	3	2	4	2	5	3	2	2	3	4	2	3	1	2	3	2	4	4
odvjetnički	P	11984	2	2	2	4	1	1	1	3	3	3	2	3	2	5	2	2	3	1	3	3	5	3	4	3	2	3	3	1	2	3	1	3	4	5	2	3	3	3	2	3	5	1	3	2	4	3	5	1	1	1	3	3	3	1	1	2	1	1	4	2
milost	I	38543	1	2	1	4	1	3	1	3	1	3	1	4	1	4	2	2	1	2	1	2	1	2	1	2	1	2	1	3	1	2	1	3	4	5	1	3	3	3	1	3	1	5	1	3	4	3	2	4	1	2	1	2	1	2	1	2	2	3	2	3
ponositi	G	12885	1	4	1	4	2	3	1	5	2	4	1	4	1	4	3	5	2	2	1	1	1	3	1	3	1	3	1	4	1	3	4	4	3	4	1	4	4	3	1	3	3	2	2	4	3	4	3	5	1	2	2	2	1	3	1	3	3	3	4	4
prehrana	I	87152	2	5	3	5	5	5	4	5	3	5	1	5	3	5	5	5	3	4	5	3	5	5	2	4	5	4	2	4	3	4	2	3	4	5	3	4	4	4	2	4	5	5	4	4	5	4	4	5	2	4	3	4	1	4	1	5	4	4	5	3
kliziti	G	7192	5	3	4	2	4	3	4	3	4	3	4	4	3	3	3	4	3	2	5	3	5	2	3	4	4	2	4	1	4	2	5	3	4	5	5	3	4	3	4	3	5	4	4	2	4	3	1	2	3	2	4	3	5	2	5	2	3	2	5	3
posjedovati	G	73806	4	4	1	4	2	1	4	4	2	5	2	4	2	4	4	5	2	4	2	2	2	3	3	4	2	4	3	2	2	2	0	0	3	4	4	4	4	3	3	3	4	4	4	3	3	3	2	5	1	2	3	3	1	3	2	3	3	3	5	4
novoizabran	P	5522	3	4	1	3	3	1	4	4	1	2	1	4	1	4	4	4	2	3	1	2	3	1	1	2	2	3	3	2	2	1	0	0	3	2	2	2	4	4	1	2	5	3	2	2	2	1	5	2	1	1	3	2	3	2	1	1	3	1	5	2
cirkus	I	17162	5	2	5	3	4	2	5	3	2	4	5	4	5	4	2	2	5	2	5	2	5	3	4	3	4	2	4	1	4	2	4	3	4	4	5	4	3	2	5	4	2	4	4	2	4	3	5	1	5	2	4	2	5	2	5	3	4	3	5	3
nepostojanje	I	9839	1	4	1	2	2	3	1	3	1	4	1	4	1	4	1	5	4	4	1	2	1	1	1	2	1	2	1	2	1	1	0	0	1	5	1	4	3	3	1	3	1	3	1	3	3	2	3	4	1	1	2	2	1	2	1	2	2	4	5	3
znakovit	P	6875	1	4	2	3	1	3	1	3	2	4	1	4	1	5	2	2	2	2	1	1	1	2	2	2	2	2	2	1	2	1	2	3	3	3	1	2	4	3	1	3	2	1	4	2	2	2	3	1	2	1	3	3	1	2	3	2	2	1	5	4
naređivati	G	4752	4	4	3	3	5	5	4	4	2	4	1	3	2	4	5	5	3	3	5	2	5	3	2	2	2	4	3	4	2	3	3	3	3	5	4	4	3	4	2	4	5	4	4	4	4	3	2	4	5	3	3	4	5	3	2	3	4	3	5	4
ran	P	93633	2	2	2	4	2	5	4	5	2	5	1	2	2	4	2	5	1	1	4	3	4	3	2	2	2	4	3	3	2	2	0	0	3	5	1	4	4	4	2	4	4	3	2	1	3	4	4	3	2	2	3	4	1	5	1	5	1	1	4	3
komentirati	G	111425	4	5	3	5	5	5	3	5	1	2	2	4	3	5	3	5	2	5	3	4	5	5	2	4	3	5	3	4	3	4	5	5	3	5	3	4	4	4	2	5	4	3	4	4	3	4	3	5	3	3	3	3	2	4	1	5	3	4	5	5
vaginalan	P	5876	4	2	4	2	3	3	4	2	2	5	4	2	4	3	5	4	4	1	5	2	5	1	3	3	4	3	3	2	4	3	4	3	5	4	4	3	3	3	4	3	5	2	3	2	4	3	4	1	1	2	3	2	2	1	2	1	3	2	5	4
historijski	P	5208	4	4	3	4	1	1	3	4	2	2	4	4	2	3	2	5	3	2	2	3	3	2	3	2	2	2	2	1	1	2	3	3	3	4	2	3	3	3	2	4	4	1	2	2	3	3	3	3	1	2	3	2	2	2	1	2	3	1	2	4
inat	I	6617	2	2	1	4	1	4	4	4	2	4	1	3	1	3	2	5	2	4	1	2	1	2	2	3	1	2	2	2	1	3	3	3	3	4	1	4	2	3	2	5	4	3	2	2	3	3	4	4	2	2	1	4	1	2	1	1	1	4	1	2
stanovit	P	12762	1	1	1	3	1	1	3	3	2	5	1	5	1	3	1	2	2	1	1	1	2	1	1	2	2	2	2	1	1	2	3	3	2	2	1	2	3	2	1	2	1	1	2	1	2	1	2	1	1	1	3	1	1	1	1	1	2	1	2	2
šablona	I	3507	5	2	5	2	5	3	3	2	2	3	2	3	3	3	2	2	4	3	5	3	5	3	3	3	5	1	3	1	2	2	2	2	5	4	3	3	5	2	4	3	4	3	2	2	4	2	1	1	5	2	2	3	1	2	5	2	3	3	4	3
slikarica	I	3809	5	3	5	3	5	3	5	4	4	4	5	3	5	3	4	2	5	3	5	3	5	0	5	3	4	2	3	3	3	2	5	4	5	5	4	3	4	3	4	3	5	1	3	2	4	3	1	3	5	1	3	3	5	1	5	2	4	3	5	4
oprost	I	15623	2	4	1	4	1	4	4	4	4	4	1	4	1	4	2	5	2	3	1	2	1	4	1	3	1	3	1	4	1	3	2	3	4	5	1	4	4	4	3	5	3	5	2	3	4	2	1	5	1	2	1	4	1	2	3	2	2	3	1	3
očaj	I	12039	2	4	1	3	1	4	4	4	5	3	1	4	1	5	2	4	3	2	1	4	1	3	1	3	1	3	1	4	1	3	3	3	4	5	1	4	3	4	2	5	2	2	2	4	4	4	5	4	2	2	1	3	1	3	2	2	3	3	2	3
kronologija	I	3903	3	3	4	3	2	3	4	3	5	4	1	5	2	0	5	4	4	4	2	3	4	3	2	3	2	2	3	3	1	2	5	3	4	5	1	4	3	3	3	4	4	2	3	2	4	2	1	4	1	1	2	3	3	3	3	2	3	1	5	4
snižavati	G	4225	2	4	4	4	5	4	4	4	2	2	1	4	2	3	2	5	4	5	4	3	4	2	2	4	3	2	0	0	3	3	4	4	3	4	4	3	3	3	3	3	5	5	3	2	4	3	1	3	3	1	3	4	3	3	4	4	3	2	5	4
doživjeti	G	116073	2	4	2	4	2	5	4	4	2	4	1	5	1	4	4	5	2	4	3	4	3	3	1	4	4	3	3	4	1	4	3	4	4	4	1	5	4	4	2	4	3	5	5	4	2	4	3	5	2	3	2	4	1	4	1	5	2	3	4	3
replicirati	G	3015	2	4	3	3	3	2	4	3	2	5	1	4	2	4	5	4	2	2	4	3	4	2	1	3	4	2	3	2	3	3	4	2	1	3	3	1	4	3	1	1	5	2	4	1	3	1	4	1	3	1	3	2	1	1	4	2	4	3	5	4
zapovijedati	G	6365	4	4	4	4	5	5	4	4	3	4	1	5	1	3	5	4	3	2	4	3	5	2	2	3	2	4	3	3	2	3	0	0	3	5	4	3	4	4	3	4	4	2	4	2	3	3	1	4	4	2	3	3	5	3	1	3	4	3	4	4
liturgijski	P	10797	4	3	3	4	5	3	4	2	2	4	1	3	3	5	2	3	3	1	2	1	5	3	1	3	3	2	3	1	1	3	3	3	3	4	1	1	3	2	1	3	2	1	4	1	2	1	2	1	2	1	2	1	2	1	1	1	2	1	4	2
podoban	P	8298	2	1	1	4	1	2	3	2	1	3	2	4	1	4	3	4	2	2	2	2	1	1	2	3	1	2	2	1	1	2	4	3	3	3	1	1	3	3	1	2	4	1	3	2	2	2	3	3	2	1	2	2	1	3	1	1	2	1	2	2
zadavati	G	5320	2	4	2	4	3	3	3	5	2	3	2	3	1	4	3	5	3	4	3	3	3	1	2	4	3	4	2	3	1	4	3	3	3	4	2	3	5	2	1	3	4	2	4	4	3	4	1	4	3	2	3	3	1	3	1	2	2	4	5	3
pedagoginja	I	3060	4	2	4	3	5	3	5	4	5	4	2	2	5	4	3	4	3	1	5	2	5	2	5	3	4	5	3	2	3	2	5	5	3	4	2	5	4	2	5	5	5	5	5	2	4	2	2	1	5	1	3	3	5	2	1	1	3	2	5	4
osnivati	G	16802	2	3	2	3	3	3	3	3	3	2	1	2	1	5	2	4	3	2	3	3	4	2	1	3	2	3	3	2	1	3	0	0	4	5	2	3	3	3	2	3	2	4	5	3	3	3	5	3	3	2	3	3	1	3	1	2	2	3	5	4
konverzija	I	5025	4	4	3	3	1	3	3	3	3	3	2	2	2	4	2	3	4	2	2	2	5	2	2	3	1	2	2	1	1	1	2	3	2	2	2	2	5	3	2	2	4	4	3	1	2	1	2	1	1	1	2	2	1	1	1	1	1	1	5	5
škola	I	614830	5	4	5	4	5	5	5	4	5	3	5	5	5	5	3	5	5	4	5	4	5	5	5	5	4	5	3	5	3	4	5	5	5	5	5	5	4	4	5	5	5	5	5	4	5	3	1	4	5	4	5	5	5	5	5	4	5	4	5	5
legnuti	G	6888	4	4	5	5	5	4	5	5	5	5	1	2	4	5	2	5	5	5	5	5	5	3	3	4	4	5	3	4	4	4	3	3	4	5	5	5	3	4	4	5	5	4	5	4	5	4	5	5	5	4	4	5	5	5	5	5	5	5	5	5
pridonositi	G	22784	2	3	2	4	2	5	3	3	3	5	1	2	2	4	3	4	3	4	4	4	3	2	3	3	2	3	2	2	1	3	0	0	3	3	2	4	4	3	2	3	4	4	4	4	2	3	5	4	2	2	3	4	2	3	1	4	3	3	5	4
poraditi	G	19120	2	4	3	3	3	4	3	4	2	4	1	2	1	3	3	4	3	3	3	3	2	2	3	4	3	4	2	3	2	2	0	0	3	3	2	2	4	3	2	4	3	5	5	4	3	4	2	5	3	2	3	4	2	4	1	2	3	3	5	3
sudjelovati	G	281767	2	5	2	4	4	5	4	4	2	5	1	4	2	5	2	5	4	4	4	4	3	4	3	4	3	3	3	4	1	3	4	4	3	5	3	5	4	4	3	5	3	3	4	3	3	5	2	5	5	3	3	4	3	4	2	4	4	3	5	4
bat	I	3766	5	2	5	1	5	1	5	3	4	5	5	2	5	4	4	3	5	1	5	1	5	1	2	2	5	1	4	1	5	1	0	0	5	4	5	2	4	2	5	4	5	1	2	2	3	1	1	1	5	2	5	2	5	1	5	1	5	1	3	1
nepotpun	P	7180	2	4	2	4	4	3	4	3	4	3	1	3	2	5	4	5	4	3	5	4	2	4	1	3	3	3	2	3	2	3	0	0	3	5	4	0	3	3	3	4	2	3	3	0	4	3	2	2	2	1	0	4	4	4	1	2	3	4	0	4
neugodnost	I	7305	3	3	2	4	1	1	3	3	2	4	1	4	1	5	5	4	3	3	3	3	1	3	1	3	1	4	2	4	1	3	0	3	3	5	1	3	4	3	4	5	3	4	3	3	3	4	1	5	2	2	2	4	1	5	2	3	2	3	5	3
