leksem	vr	frek	19a.01.k	19a.01.č	19a.02.k	19a.02.č	19a.03.k	19a.03.č	19a.04.k	19a.04.č	19a.05.k	19a.05.č	19a.06.k	19a.06.č	19a.07.k	19a.07.č	19a.08.k	19a.08.č	19a.09.k	19a.09.č	19a.10.k	19a.10.č	19a.11.k	19a.11.č	19a.12.k	19a.12.č	19a.13.k	19a.13.č	19a.14.k	19a.14.č	19a.15.k	19a.15.č	19a.16.k	19a.16.č	19b.01.k	19b.01.č	19b.02.k	19b.02.č	19b.03.k	19b.03.č	19b.04.k	19b.04.č	19b.05.k	19b.05.č	19b.06.k	19b.06.č	19b.07.k	19b.07.č	19b.08.k	19b.08.č	19b.09.k	19b.09.č	19b.10.k	19b.10.č	19b.11.k	19b.11.č	19b.12.k	19b.12.č	19b.13.k	19b.13.č	19b.14.k	19b.14.č	19b.15.k	19b.15.č	19b.16.k	19b.16.č
gliser	I	5614	4	4	5	2	5	3	5	2	5	1	5	2	4	4	3	2	5	3	5	2	1	2	5	3	5	2	5	2	4	3	5	4	1	2	5	5	5	3	5	2	5	4	4	4	1	5	4	2	5	3	5	4	2	2	5	3	4	2	5	3	5	2	5	2
odgojiti	G	8552	5	3	4	3	3	4	4	1	3	4	2	5	3	2	4	4	3	4	3	4	3	4	2	5	4	2	4	2	5	5	1	5	5	3	1	5	4	3	1	4	2	4	5	5	1	3	2	3	2	4	4	4	3	4	5	4	2	3	5	4	2	4	1	5
jastuk	I	18971	3	5	5	5	5	5	5	2	5	5	5	5	5	5	5	5	5	5	5	5	1	5	5	5	4	4	5	3	5	5	5	5	3	3	5	5	5	4	5	5	5	5	5	5	1	5	3	3	5	5	5	5	4	4	5	5	5	5	3	5	5	5	5	3
pretrpjeti	G	14362	2	4	3	3	1	4	1	1	2	3	5	5	5	4	4	3	3	3	3	5	2	4	2	5	1	3	3	3	5	5	1	4	5	3	1	4	4	3	1	3	3	4	5	5	3	5	5	4	3	3	3	3	3	4	5	4	2	3	5	3	2	5	2	2
duljiti	G	6714	5	3	2	3	1	4	4	1	2	2	5	3	5	4	4	3	4	2	2	5	5	4	2	4	1	2	3	3	5	5	1	3	3	2	1	4	2	1	1	4	2	4	5	5	2	3	2	2	3	4	3	3	2	2	5	3	3	3	3	5	2	4	3	3
poduzetnički	P	20644	3	5	5	1	1	2	2	2	2	2	3	1	4	4	2	1	4	1	2	4	3	3	4	4	5	2	3	2	4	3	1	4	3	3	3	5	5	4	1	3	2	4	5	5	3	2	0	3	2	4	5	4	3	4	4	4	3	2	3	4	3	3	4	3
sramežljiv	P	4385	4	4	2	3	3	4	1	1	3	4	1	5	5	5	3	3	4	3	4	4	3	3	2	5	1	1	2	4	5	5	1	5	5	4	1	5	4	2	4	4	1	4	5	5	1	5	3	3	2	4	4	4	3	4	5	5	2	3	4	0	2	4	4	3
prskati	G	3261	3	3	3	3	2	2	4	1	4	3	5	3	5	5	4	3	5	3	2	2	5	5	3	4	5	3	4	2	3	3	5	4	1	2	3	5	4	2	5	3	5	5	5	5	4	3	3	1	4	3	4	3	2	4	5	5	4	3	0	4	3	2	5	2
mirovanje	I	9949	2	5	2	3	3	3	1	1	4	3	3	4	4	5	3	2	5	5	3	3	5	5	2	5	3	3	5	5	3	3	5	4	5	3	3	5	4	2	5	3	4	5	5	5	4	5	4	4	4	2	5	3	3	4	5	5	3	2	3	3	2	4	4	3
ponuditelj	I	6050	3	4	2	3	2	4	4	1	3	1	4	1	3	3	2	1	5	2	2	1	5	5	2	3	3	3	2	2	4	2	3	4	2	1	2	3	1	1	2	2	4	3	3	3	2	1	5	2	2	1	5	3	2	3	5	2	3	2	5	2	3	3	4	1
dlakav	P	4380	4	3	3	3	5	4	5	1	5	4	1	3	5	5	3	2	5	4	4	3	5	5	5	5	5	2	5	4	5	4	5	5	5	3	3	5	5	3	5	4	5	4	5	5	4	5	5	4	5	4	5	2	3	3	5	5	4	2	4	5	3	4	5	3
pčelarski	P	4679	3	5	4	1	3	2	5	1	2	1	3	3	4	2	2	1	5	3	4	1	2	1	5	4	4	3	3	1	5	3	2	3	5	1	5	5	5	1	2	2	4	4	5	5	5	3	2	3	5	2	5	2	3	4	5	3	4	3	4	2	4	4	3	2
olakšati	G	33935	2	4	4	4	1	5	2	1	2	4	3	5	5	5	3	3	3	5	3	3	5	5	3	5	3	3	4	4	5	5	1	5	5	2	1	5	3	3	1	4	2	4	5	5	5	5	4	2	2	4	4	4	2	3	5	5	2	2	5	0	2	4	3	2
skupni	P	8645	3	3	2	2	1	4	4	1	2	1	5	5	4	1	3	3	3	4	4	2	5	5	2	3	3	3	2	4	4	4	5	4	3	2	3	5	1	1	2	3	2	2	5	5	5	3	4	5	4	4	5	4	3	4	5	4	3	2	0	2	3	2	5	3
fluid	I	3583	4	5	2	1	1	2	3	1	4	2	5	1	2	4	2	1	5	2	5	1	5	5	4	2	5	1	3	1	3	2	5	2	3	2	1	1	4	1	1	1	5	4	3	3	5	4	3	2	5	2	5	3	3	4	2	2	4	1	1	0	4	4	3	2
aktivacija	I	6026	3	4	2	3	1	2	2	1	4	2	1	1	4	4	3	4	5	4	4	1	5	5	3	5	5	2	3	3	3	2	5	4	5	3	4	3	4	1	1	2	2	4	3	3	5	5	3	4	4	3	5	3	2	2	5	3	3	2	4	1	2	2	5	4
izgovoriti	G	15725	0	3	4	5	2	5	5	2	5	4	1	5	4	5	2	2	5	5	5	3	5	4	4	5	4	3	5	4	5	4	5	5	5	5	5	5	4	2	3	5	5	4	5	5	4	5	2	3	5	5	4	5	3	3	5	5	3	3	5	5	3	3	5	4
mlađahan	P	3659	0	5	4	3	3	3	2	1	4	1	5	3	2	2	3	2	4	3	3	2	5	5	3	4	4	3	4	3	3	3	1	3	2	1	3	5	2	2	3	4	3	4	5	5	2	4	2	1	3	3	4	4	2	3	5	4	2	2	4	1	2	4	2	1
počinjati	G	174425	4	4	3	3	3	4	3	2	3	3	3	5	3	5	2	3	4	5	3	4	4	4	3	5	5	5	2	4	4	3	2	5	2	1	1	5	4	3	1	5	2	5	5	5	5	5	5	4	1	5	4	5	3	3	5	5	2	4	5	5	2	3	3	3
ljubičast	P	11612	3	3	5	4	5	4	5	1	5	3	5	5	5	5	3	2	5	4	5	4	1	4	2	3	5	3	5	4	3	5	5	5	1	3	5	5	5	3	5	3	5	5	5	5	4	5	3	3	5	5	5	3	3	4	5	5	3	4	4	3	3	2	2	3
rutinski	P	7509	2	5	5	3	3	2	3	1	3	3	5	2	2	3	3	2	3	2	5	3	5	5	3	4	5	3	5	4	3	3	2	4	3	2	3	5	3	3	1	3	2	4	5	5	5	3	5	3	1	3	5	4	2	2	5	4	3	2	5	5	2	2	2	4
okov	I	6722	4	4	5	1	3	2	2	1	4	2	2	1	2	1	2	1	5	2	3	1	3	3	3	3	5	3	5	3	2	2	5	3	5	1	5	5	2	1	5	1	5	4	5	5	2	1	3	3	5	2	5	2	3	3	5	1	4	1	3	1	3	3	5	2
biciklijada	I	4160	3	0	5	2	5	2	5	1	5	3	1	3	3	1	3	1	5	2	5	3	3	3	5	3	5	3	5	2	4	3	5	2	5	1	5	5	5	2	1	2	5	4	3	3	5	3	4	4	5	2	5	2	2	4	5	2	5	1	5	1	5	4	5	3
usporediv	P	5813	5	4	4	2	1	2	4	1	4	3	5	5	5	5	4	2	2	3	3	1	3	3	3	4	4	3	2	2	5	5	2	4	3	3	1	5	2	1	1	4	3	5	5	5	5	5	1	3	3	4	5	5	3	3	5	5	2	2	4	3	3	4	2	3
formirati	G	31051	4	3	3	3	1	3	3	1	3	2	1	3	5	3	3	1	4	3	3	2	5	5	3	4	4	3	3	3	4	4	2	3	3	3	5	3	3	3	1	3	2	4	5	5	5	3	5	4	4	3	4	5	2	3	5	4	2	2	3	4	4	2	1	5
zazirati	G	3198	3	5	2	1	1	1	3	1	2	1	1	1	2	1	4	3	2	1	3	1	3	3	3	4	4	3	1	1	2	1	1	2	2	1	1	1	2	1	1	2	2	4	5	5	1	1	1	1	2	1	3	3	2	2	3	2	3	1	2	2	2	3	3	1
nagnati	G	4390	2	4	3	1	1	1	2	1	2	1	4	1	5	2	4	2	3	1	2	1	3	3	2	4	4	3	3	3	2	1	1	1	2	2	1	1	1	1	1	3	2	4	2	2	1	1	5	4	2	3	3	3	1	1	3	2	2	1	2	1	3	3	2	1
zvučan	P	28327	3	3	4	3	2	4	3	1	2	3	2	4	5	3	4	4	4	2	4	1	4	4	4	4	3	3	2	4	5	5	5	3	1	3	5	5	3	2	1	2	4	4	5	5	5	3	3	0	4	3	5	4	2	3	4	4	3	2	4	3	3	2	2	3
bistar	P	10131	4	5	4	3	3	3	2	2	5	3	4	2	5	5	3	3	3	3	4	2	3	3	2	3	3	3	3	4	4	5	1	5	1	3	1	5	3	3	3	2	2	4	5	5	3	4	3	0	5	3	4	4	2	4	5	5	4	3	5	4	2	3	2	3
obala	I	107402	3	4	5	4	5	3	5	3	5	3	2	4	5	5	3	3	5	4	5	3	3	3	5	4	5	3	5	3	3	5	5	4	5	2	5	5	5	2	1	3	5	5	5	5	2	4	1	2	5	4	5	4	2	4	5	5	5	4	5	1	5	3	5	4
jarak	I	4157	2	3	5	2	4	2	5	1	4	1	2	2	5	3	3	3	5	4	5	3	3	3	5	3	5	3	5	3	3	3	5	4	5	1	5	5	5	2	5	4	5	5	3	3	1	4	5	4	5	3	5	3	1	2	5	4	4	2	5	1	4	2	5	4
radarski	P	3184	5	5	4	1	1	1	3	1	3	1	2	2	4	3	2	1	3	2	2	1	3	3	3	2	3	3	3	2	3	3	2	2	1	1	5	2	4	1	1	1	3	4	2	2	5	1	2	1	2	2	5	3	2	3	4	2	3	1	4	3	2	4	3	3
satnica	I	7147	4	4	4	3	3	3	5	2	5	4	3	2	5	3	4	4	5	4	4	2	3	4	3	4	3	3	5	4	4	4	1	3	5	3	5	3	5	5	1	3	2	4	5	5	5	4	5	5	3	2	5	5	3	2	5	5	3	2	4	2	3	3	5	3
kvantiteta	I	3312	3	3	3	1	2	3	5	1	4	3	4	3	4	2	3	1	4	4	5	2	5	5	1	3	3	3	2	1	3	3	1	4	3	2	1	2	3	3	1	3	3	4	5	5	5	4	4	2	3	3	5	4	3	4	3	4	3	2	2	3	2	3	2	3
korektor	I	3314	2	5	5	2	5	4	5	1	5	3	2	4	5	2	2	3	5	5	5	3	5	5	5	4	5	3	5	5	4	4	5	4	5	4	5	5	5	2	5	4	5	5	5	5	5	4	5	5	5	3	5	4	2	3	4	2	5	3	5	2	4	4	5	3
tvrđava	I	16051	3	4	5	3	3	3	5	1	5	3	5	2	5	5	4	1	5	2	5	3	4	5	5	2	3	2	5	3	3	3	5	3	5	3	5	5	4	1	5	1	5	4	5	5	3	3	4	3	5	3	5	4	2	3	5	3	5	3	4	1	5	3	5	2
početi	G	641150	4	3	5	5	1	5	5	3	3	4	5	5	5	5	4	5	5	4	4	3	2	3	3	3	3	3	3	3	5	5	1	5	4	3	1	5	3	3	1	5	2	3	5	5	4	5	1	3	2	5	3	5	3	4	5	5	2	4	5	5	3	2	0	4
predobar	P	8177	5	5	5	5	1	4	3	3	3	5	3	5	5	5	4	5	3	5	5	3	5	5	3	5	3	2	3	3	4	5	1	5	1	3	1	5	4	4	1	5	4	5	5	5	2	5	4	5	1	4	3	5	3	4	5	4	1	4	4	2	2	5	2	4
televizor	I	24732	5	5	5	4	5	5	5	2	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	3	5	5	4	5	5	5	5	4	5	5	5	4	5	5	5	5	5	5	2	5	1	1	5	5	4	3	3	4	5	5	5	4	5	5	5	3	5	2
brigadir	I	4497	5	4	5	1	1	1	4	1	3	1	1	1	2	1	2	1	4	1	3	1	4	2	5	2	3	3	1	1	1	1	2	3	4	1	5	3	5	1	5	1	5	5	2	2	1	1	2	4	5	1	5	5	1	2	3	1	3	1	5	1	3	3	3	2
nizak	P	169532	2	3	5	3	5	4	2	2	5	4	5	5	5	5	5	5	5	5	5	5	4	4	3	5	5	3	4	4	5	5	5	5	5	4	4	5	5	5	5	5	4	5	4	4	5	5	5	5	5	5	5	2	1	4	5	5	4	4	5	5	3	5	3	4
mehanizam	I	45029	3	5	5	2	2	3	5	2	3	3	3	3	5	5	3	1	5	4	3	0	5	5	3	4	5	3	4	3	4	3	2	3	5	2	4	3	4	3	1	2	5	4	5	5	5	3	3	3	4	4	4	5	3	2	3	4	3	2	5	4	4	4	4	3
radovati	G	28791	4	4	3	3	2	4	5	1	3	3	5	5	4	3	5	3	4	4	1	2	5	5	3	4	2	2	3	4	3	5	1	4	1	2	2	5	4	1	1	4	3	4	5	5	3	3	0	3	1	5	5	4	3	3	5	4	4	3	2	3	2	3	2	3
oborinski	P	4911	3	3	3	1	1	4	3	1	4	2	3	3	2	1	2	1	2	3	2	3	4	2	3	3	2	2	2	2	3	3	2	1	1	1	2	2	4	1	4	2	4	5	2	2	4	3	3	2	4	2	3	5	2	3	4	2	3	1	4	2	3	3	2	1
ojačati	G	24989	2	5	3	2	2	3	1	1	3	2	4	4	5	5	4	4	3	3	4	1	5	5	3	4	4	3	2	2	5	4	1	4	4	3	2	5	4	2	3	3	2	4	4	4	4	4	4	1	4	4	5	5	4	4	5	4	2	3	2	3	2	4	2	2
kontinentalan	P	12083	3	4	3	2	1	4	4	1	4	2	3	3	5	4	3	1	4	3	4	2	5	5	3	3	4	3	4	3	5	3	1	3	4	3	4	3	4	3	1	3	4	4	3	3	5	4	4	1	4	3	4	4	3	4	5	4	2	2	3	1	3	3	4	4
naručivanje	I	3428	4	3	3	2	1	5	5	2	4	3	3	3	5	4	4	4	5	4	4	3	3	4	3	4	4	3	4	4	3	4	1	0	5	4	1	5	2	2	1	4	3	4	5	5	4	4	3	3	4	4	5	5	3	4	5	4	3	3	5	4	2	4	3	3
human	P	19080	5	5	1	3	1	3	2	1	4	2	3	3	3	1	3	5	4	2	3	2	5	5	1	5	4	3	2	1	4	3	1	4	1	3	1	2	1	2	1	4	2	4	5	5	5	5	3	1	2	4	5	5	3	4	2	3	2	2	2	3	2	4	2	4
željeti	G	1148913	3	4	1	5	2	4	4	2	2	4	5	5	5	5	5	2	1	5	2	3	3	3	3	5	4	3	4	3	5	5	2	5	1	3	1	5	2	4	1	5	2	5	5	5	3	5	4	2	1	5	4	3	3	4	2	5	2	4	1	5	2	2	1	3
sprovesti	G	5515	2	3	2	1	1	3	4	1	2	2	1	1	2	2	2	1	3	3	5	1	3	3	3	2	5	3	3	3	3	2	2	3	2	2	1	3	1	1	2	3	2	5	5	5	1	1	4	0	2	3	3	2	1	1	4	2	3	1	4	2	2	2	2	3
mikroskop	I	3193	5	5	5	1	5	3	5	1	5	2	1	1	5	3	3	1	5	2	3	2	5	5	2	3	5	1	5	2	4	2	5	3	5	3	5	5	5	2	5	2	5	4	4	4	5	5	3	2	5	4	3	3	4	4	5	4	5	2	5	2	5	4	5	4
razvod	I	20628	4	4	5	2	4	4	3	1	3	1	5	5	5	4	4	3	5	2	2	2	4	3	1	3	5	3	4	2	2	4	2	2	5	3	3	5	5	2	1	3	4	5	5	5	4	5	1	4	3	5	5	5	3	3	5	5	2	2	5	1	3	5	4	2
istina	I	335288	3	3	2	4	1	3	1	3	4	4	5	5	5	5	3	2	2	5	1	4	3	4	1	5	4	3	5	3	5	5	1	5	1	5	1	5	1	4	1	5	1	4	5	5	3	5	5	3	1	5	4	4	2	3	3	5	2	4	1	4	1	5	1	3
savjest	I	34851	2	5	2	4	1	4	1	2	4	3	3	3	5	5	4	4	2	4	1	4	3	3	2	0	4	3	5	4	5	5	1	4	1	4	1	5	1	3	1	3	1	5	5	5	3	5	2	2	1	5	1	3	3	3	2	4	1	3	1	3	1	4	1	3
paklen	P	9623	4	4	2	3	1	2	1	1	4	3	3	3	5	3	2	2	3	3	3	1	5	3	3	4	4	3	4	2	4	3	1	2	1	1	1	2	3	1	1	2	2	5	4	4	4	4	2	5	5	3	4	2	4	3	5	2	1	3	2	2	1	4	4	3
operativac	I	3987	5	3	4	2	1	2	5	1	4	1	1	1	5	2	2	1	5	1	2	1	5	3	3	2	4	3	5	1	2	1	5	3	5	2	1	1	3	2	3	1	3	4	1	1	1	1	5	2	2	3	4	4	3	3	3	1	4	2	3	1	2	2	4	1
spretan	P	7954	3	5	3	3	1	3	2	2	4	3	4	4	5	4	3	3	4	4	1	4	3	3	3	4	3	3	3	2	3	3	1	4	4	4	1	5	5	4	3	4	2	4	5	5	2	5	5	3	4	4	4	3	2	3	5	5	2	3	5	5	1	4	3	3
