leksem	vr	frek	26a.01.k	26a.01.č	26a.02.k	26a.02.č	26a.03.k	26a.03.č	26a.04.k	26a.04.č	26a.05.k	26a.05.č	26a.06.k	26a.06.č	26a.07.k	26a.07.č	26a.08.k	26a.08.č	26a.09.k	26a.09.č	26a.10.k	26a.10.č	26a.11.k	26a.11.č	26a.12.k	26a.12.č	26a.13.k	26a.13.č	26a.14.k	26a.14.č	26a.15.k	26a.15.č	26b.01.k	26b.01.č	26b.02.k	26b.02.č	26b.03.k	26b.03.č	26b.04.k	26b.04.č	26b.05.k	26b.05.č	26b.06.k	26b.06.č	26b.07.k	26b.07.č	26b.08.k	26b.08.č	26b.09.k	26b.09.č	26b.10.k	26b.10.č	26b.11.k	26b.11.č	26b.12.k	26b.12.č	26b.13.k	26b.13.č	26b.14.k	26b.14.č	26b.15.k	26b.15.č
lansirati	G	12766	5	2	5	3	5	4	4	2	4	2	4	2	5	3	4	2	4	2	5	3	2	2	3	2	2	3	3	2	3	3	5	2	4	2	5	2	4	3	5	4	3	1	5	3	5	1	2	1	3	2	5	3	5	3	1	1	5	4	5	2
nadmetati	G	3160	4	3	4	2	3	4	2	4	2	3	3	2	3	3	2	3	1	4	3	3	4	3	3	3	4	3	3	3	2	4	4	3	3	2	1	2	1	4	5	4	2	2	2	4	1	2	3	4	1	4	2	3	3	2	2	3	5	4	5	2
kultura	I	263079	4	4	2	5	2	5	3	4	3	5	2	4	3	5	3	5	1	5	2	4	4	4	4	5	3	4	2	4	2	5	4	4	1	5	1	4	1	5	5	5	1	4	2	4	1	3	3	5	1	4	2	4	3	4	2	4	1	5	1	4
prikazati	G	101402	3	4	4	5	4	5	5	5	4	5	2	5	5	4	3	5	3	5	5	4	5	4	5	5	5	4	4	5	4	5	4	3	3	2	5	5	2	4	5	5	5	5	5	3	5	2	4	5	2	3	2	4	2	4	3	5	5	5	5	4
narušavati	G	8845	2	3	2	4	3	4	4	3	3	5	3	2	3	4	1	4	4	4	3	4	3	3	4	4	5	4	3	3	2	5	4	3	2	2	1	4	1	3	5	4	3	3	2	3	3	1	4	3	3	2	3	3	1	2	1	3	5	5	3	2
geološki	P	5392	5	2	2	1	5	3	4	2	4	3	4	1	4	3	2	3	3	2	2	3	3	3	4	2	3	2	1	1	2	1	4	2	3	2	5	1	2	3	4	3	1	2	2	3	4	1	3	3	2	3	4	3	3	3	1	1	4	5	5	2
živac	I	43102	5	5	5	2	5	4	1	4	4	4	4	3	4	4	5	5	5	2	4	5	4	2	5	4	5	4	5	4	4	4	5	3	4	3	5	4	5	3	5	5	1	2	4	4	5	1	5	5	5	4	5	5	2	5	3	3	5	5	5	2
turnir	I	123471	5	3	4	5	5	4	5	4	4	3	4	3	5	3	4	3	2	2	5	3	5	4	5	3	5	4	5	5	3	3	5	3	4	4	5	4	2	3	5	5	5	1	3	3	5	1	4	4	4	3	5	4	4	2	3	3	5	5	4	4
zaplijeniti	G	4452	4	3	5	5	4	4	5	3	4	4	3	3	5	3	3	2	4	3	5	3	5	2	5	3	5	4	3	3	4	2	4	2	3	2	3	2	1	3	5	4	3	1	4	3	5	1	3	2	1	3	2	3	3	2	2	1	5	4	5	2
demantirati	G	22243	3	3	3	4	3	3	3	3	3	3	3	4	2	2	1	2	4	4	5	3	5	2	4	3	4	4	2	3	4	2	3	2	3	3	1	2	1	3	5	4	1	1	3	2	5	1	1	1	1	3	2	1	1	3	1	3	5	4	4	2
magistrirati	G	3863	4	3	4	4	4	3	2	3	2	3	4	3	3	4	3	4	2	4	4	3	5	4	5	2	4	3	2	3	3	2	4	3	3	3	3	3	1	3	5	4	5	2	2	4	5	1	4	2	1	2	5	3	3	3	1	3	5	4	1	3
grešan	P	4831	1	4	2	5	1	3	3	2	2	4	1	3	3	3	0	3	1	5	3	3	5	5	5	5	3	2	3	4	2	1	3	5	3	2	1	2	1	4	3	3	1	3	1	4	1	2	3	2	1	2	4	0	1	2	3	3	1	5	4	2
tugovati	G	4830	2	4	5	5	1	5	4	4	3	4	0	5	3	3	4	5	3	5	5	4	5	4	5	4	5	5	4	3	5	3	5	3	4	3	3	3	1	4	5	4	3	4	1	4	1	2	5	4	2	3	5	4	4	4	3	3	1	5	5	2
divlji	P	41222	3	3	4	5	2	4	1	4	3	4	3	5	4	3	3	5	3	5	4	4	5	4	5	4	4	5	3	3	4	4	5	3	4	2	3	4	2	4	4	4	1	4	4	4	1	2	4	3	5	4	4	3	5	4	1	3	5	5	4	2
odmaknuti	G	4812	5	5	5	4	4	4	5	4	4	5	4	5	5	4	5	5	4	5	5	4	5	4	4	4	5	5	4	4	5	4	5	4	4	3	1	5	1	5	4	5	3	2	5	5	5	3	2	3	3	3	2	3	5	5	2	5	5	4	5	3
odnos	I	527484	3	5	2	5	1	5	1	4	3	5	3	5	1	4	1	5	2	5	3	5	1	5	2	5	4	4	3	4	1	5	4	4	3	3	3	5	1	4	4	5	4	5	2	5	1	2	3	4	1	3	3	5	2	4	2	5	1	5	1	2
baciti	G	93517	5	5	5	3	5	5	4	5	5	5	4	5	5	5	5	5	5	3	5	5	5	4	4	5	5	5	5	5	5	5	5	3	5	4	5	5	5	5	5	5	5	5	5	5	5	3	4	5	4	4	5	5	5	5	5	5	5	5	5	3
