leksem	vr	frek	30a.01.k	30a.01.č	30a.02.k	30a.02.č	30a.03.k	30a.03.č	30a.04.k	30a.04.č	30a.05.k	30a.05.č	30a.06.k	30a.06.č	30a.07.k	30a.07.č	30a.08.k	30a.08.č	30a.09.k	30a.09.č	30a.10.k	30a.10.č	30a.11.k	30a.11.č	30a.12.k	30a.12.č	30a.13.k	30a.13.č	30a.14.k	30a.14.č	30a.15.k	30a.15.č	30b.01.k	30b.01.č	30b.02.k	30b.02.č	30b.03.k	30b.03.č	30b.04.k	30b.04.č	30b.05.k	30b.05.č	30b.06.k	30b.06.č	30b.07.k	30b.07.č	30b.08.k	30b.08.č	30b.09.k	30b.09.č	30b.10.k	30b.10.č	30b.11.k	30b.11.č	30b.12.k	30b.12.č	30b.13.k	30b.13.č	30b.14.k	30b.14.č	30b.15.k	30b.15.č
prisjećati	G	14049	4	4	2	3	2	4	1	4	2	4	2	5	2	3	3	4	2	4	1	1	1	4	2	4	2	4	2	4	4	5	2	4	3	3	1	5	1	5	4	4	2	3	1	4	3	5	4	5	1	4	3	3	3	2	2	3	4	4	2	4
savjetovalište	I	7041	5	2	3	1	4	2	4	3	3	3	4	2	4	2	5	1	4	2	4	1	4	3	4	2	3	2	5	3	0	1	3	3	3	3	4	2	4	4	5	3	2	3	1	3	4	2	3	2	5	3	3	3	3	1	2	1	3	3	2	3
degradacija	I	3139	3	2	3	1	1	1	2	2	1	2	3	2	1	3	3	2	2	2	1	1	2	5	2	3	1	2	3	1	3	2	3	2	2	1	1	3	1	5	2	3	1	3	1	3	2	3	3	1	3	1	2	1	2	2	2	1	4	4	1	4
puniti	G	30533	5	4	3	4	4	3	5	4	4	5	4	3	4	5	5	4	4	4	3	5	5	5	5	5	2	3	3	3	5	5	5	5	4	5	5	5	4	5	3	4	5	4	2	5	5	4	5	4	4	4	4	5	3	3	5	5	3	3	3	5
isključiti	G	31801	4	5	2	4	4	4	4	5	4	5	4	5	3	5	5	5	4	5	4	5	4	5	4	5	4	4	3	4	4	5	5	5	4	5	5	5	3	5	4	4	5	3	2	5	4	5	5	5	4	4	3	5	3	5	5	3	4	4	3	3
izvedenica	I	3096	3	1	1	1	1	1	1	3	1	1	2	2	1	1	2	2	3	3	1	1	3	3	3	3	1	1	1	1	1	5	2	2	2	2	1	2	1	4	4	4	1	2	1	4	2	3	2	1	3	2	1	3	2	2	1	1	4	3	2	3
blizanka	I	3055	5	4	4	3	4	3	5	4	4	3	4	4	5	3	5	1	4	4	5	2	5	3	5	3	5	2	5	2	5	5	5	4	4	3	5	4	5	5	4	4	5	3	5	4	4	2	5	4	5	2	5	4	5	4	5	4	4	4	4	4
pismo	I	129016	5	4	5	5	5	2	5	4	5	4	5	4	5	2	5	2	5	3	5	2	5	4	5	3	5	2	4	4	5	5	5	3	5	3	5	2	5	5	5	3	5	3	2	5	5	2	5	2	5	3	5	3	4	5	5	3	3	3	5	4
mesti	G	3440	5	4	3	2	4	3	5	3	5	4	5	4	4	3	5	2	4	4	4	5	5	5	5	4	3	2	5	3	5	5	5	3	5	4	5	1	5	4	4	4	5	3	2	4	5	3	3	3	5	4	3	4	4	4	5	3	5	3	5	5
uzimanje	I	31491	4	4	3	3	4	4	4	5	4	5	4	4	3	4	4	5	4	5	3	5	4	5	5	5	2	3	4	3	5	5	4	4	5	4	2	5	5	5	4	4	5	3	1	5	5	4	4	2	3	4	3	5	3	3	3	2	3	4	1	3
ovotjedni	P	5448	3	1	1	1	2	2	1	4	3	3	2	3	4	3	3	3	4	4	1	4	3	3	4	5	3	4	1	2	2	2	2	4	3	2	2	5	1	3	3	4	1	2	2	4	4	2	3	1	1	4	3	5	4	2	2	4	4	4	3	5
ušće	I	7031	4	3	5	1	5	2	5	3	4	2	4	2	5	2	4	1	4	3	5	1	5	3	5	3	5	1	5	1	2	1	3	2	4	3	5	2	5	2	4	4	5	2	2	3	5	2	5	3	5	2	4	3	5	1	3	2	3	3	4	4
