leksem	vr	frek	11a.01.k	11a.01.č	11a.02.k	11a.02.č	11a.03.k	11a.03.č	11a.04.k	11a.04.č	11a.05.k	11a.05.č	11a.06.k	11a.06.č	11a.07.k	11a.07.č	11a.08.k	11a.08.č	11a.09.k	11a.09.č	11a.10.k	11a.10.č	11a.11.k	11a.11.č	11a.12.k	11a.12.č	11a.13.k	11a.13.č	11a.14.k	11a.14.č	11a.15.k	11a.15.č	11b.01.k	11b.01.č	11b.02.k	11b.02.č	11b.03.k	11b.03.č	11b.04.k	11b.04.č	11b.05.k	11b.05.č	11b.06.k	11b.06.č	11b.07.k	11b.07.č	11b.08.k	11b.08.č	11b.09.k	11b.09.č	11b.10.k	11b.10.č	11b.11.k	11b.11.č	11b.12.k	11b.12.č	11b.13.k	11b.13.č	11b.14.k	11b.14.č	11b.15.k	11b.15.č
nacrt	I	25826	4	4	1	4	2	5	4	4	5	3	3	4	3	5	5	4	4	4	5	4	3	4	3	4	3	4	5	4	4	4	4	2	5	4	5	3	5	5	5	4	2	3	2	4	5	4	4	3	3	5	5	4	4	5	4	4	5	4	3	2
intervju	I	63847	3	4	1	4	3	3	4	4	5	3	5	3	4	4	4	3	5	3	3	3	3	4	4	3	3	4	5	3	5	3	4	4	5	4	4	4	5	2	5	4	4	4	5	4	3	2	4	2	3	3	5	1	5	4	4	4	5	3	3	2
poprimati	G	7632	3	4	2	3	1	4	2	4	1	2	1	4	3	5	2	3	2	3	0	0	5	4	2	3	1	3	2	2	2	4	3	4	4	4	1	4	2	4	5	3	3	3	2	3	1	3	1	3	1	3	1	2	2	4	2	3	3	4	3	2
zavrijediti	G	3022	2	3	1	3	1	3	1	3	1	1	1	3	3	4	1	3	3	3	1	2	5	5	1	4	1	3	2	3	2	4	3	4	3	2	1	5	3	3	5	3	3	4	1	3	1	3	3	4	1	3	1	1	1	5	3	4	3	4	2	2
sretnik	I	5601	2	4	1	3	2	4	3	4	3	3	4	4	4	4	2	3	2	3	1	3	5	5	2	3	3	3	4	4	3	5	3	3	4	3	1	5	2	4	5	4	3	4	3	3	2	3	2	2	1	3	5	1	1	4	3	4	5	4	3	4
priprema	I	147223	3	4	3	4	1	4	2	4	3	4	3	4	3	5	3	4	2	4	2	4	5	5	1	5	3	4	3	4	4	4	3	3	4	4	2	5	3	4	5	5	3	4	2	4	3	5	3	4	2	4	1	5	4	4	4	4	5	4	3	3
izabranik	I	5576	3	3	2	2	3	3	2	4	2	1	1	2	5	4	3	2	3	2	2	1	4	3	4	3	4	2	4	2	4	3	3	2	3	1	5	4	4	4	4	2	3	3	3	2	2	2	2	1	2	2	5	1	4	2	3	3	4	3	2	1
progoniti	G	8171	4	4	2	2	4	4	2	3	3	2	5	3	4	5	1	3	4	3	2	1	2	5	2	2	2	3	5	2	4	3	3	2	3	1	3	4	4	5	5	3	3	3	4	3	4	3	3	2	4	3	5	1	3	2	4	3	4	3	2	1
radostan	P	17082	5	3	4	3	2	4	3	4	5	2	5	3	3	5	4	4	5	4	1	4	5	5	4	4	4	2	5	5	2	3	3	2	4	4	1	5	1	0	5	4	3	4	4	4	1	5	3	3	5	4	5	2	1	5	3	5	5	5	4	4
reprezentativan	P	20773	2	4	1	3	1	5	1	4	1	3	1	2	2	4	1	3	2	5	1	4	5	5	2	2	4	4	3	2	4	4	1	3	4	4	1	3	2	4	4	3	3	4	4	4	2	4	2	2	1	5	3	1	4	5	3	4	5	4	3	3
saga	I	5895	3	3	2	1	2	3	4	2	2	1	3	1	3	3	1	1	2	2	1	1	3	1	1	1	5	1	5	2	4	3	2	2	4	3	2	1	4	0	5	2	4	3	3	2	4	1	2	1	3	1	3	1	3	1	4	2	5	2	2	1
uzrečica	I	3367	3	3	2	2	2	3	4	3	5	1	5	1	4	3	3	1	2	3	1	1	3	4	3	2	5	2	5	3	4	4	3	3	0	1	2	3	5	2	5	3	3	3	4	3	3	2	3	2	2	3	1	1	4	1	3	3	5	3	2	1
suosjećanje	I	6968	4	5	1	3	1	4	2	4	2	3	1	3	1	5	2	3	2	5	1	3	5	5	2	2	1	4	5	5	4	4	3	3	2	2	1	4	1	3	4	4	2	4	2	3	1	5	2	3	2	4	1	3	1	4	2	4	2	4	1	4
garažni	P	3536	4	4	3	1	4	3	5	2	5	1	5	1	2	3	4	4	5	3	1	1	1	3	3	1	3	2	5	3	4	4	4	3	5	3	3	4	5	2	5	3	4	3	4	2	5	2	4	1	4	1	5	2	5	2	4	3	3	2	4	2
siriti	G	3490	3	3	2	1	3	2	2	2	5	1	3	1	3	3	3	3	4	1	1	1	5	5	1	1	1	3	4	4	4	2	1	1	3	1	3	4	3	2	3	1	4	2	3	1	5	1	3	1	3	1	3	1	3	4	3	3	4	2	1	1
uzdužan	P	3173	4	3	3	2	3	4	3	2	5	2	1	1	2	4	2	3	3	3	3	1	5	3	1	1	2	2	4	3	4	4	5	2	3	1	3	4	4	2	5	3	3	2	1	1	4	2	2	3	4	2	1	1	3	3	4	3	4	3	3	1
avantura	I	28930	4	4	1	1	3	4	2	3	5	3	5	3	4	4	2	4	1	4	1	2	5	4	3	4	2	2	4	3	2	4	3	2	4	4	3	4	4	4	5	4	3	4	3	4	2	4	3	4	3	3	1	1	2	2	3	3	4	3	4	1
dosadan	P	43422	4	5	4	4	1	5	2	5	5	4	5	5	2	5	2	5	3	5	1	3	5	5	2	5	2	5	5	5	2	5	2	4	4	3	1	5	1	4	4	5	3	5	1	5	2	5	2	5	1	5	1	4	2	4	2	5	3	4	3	3
evolucijski	P	5750	3	5	1	4	1	5	2	4	5	3	4	4	3	5	2	4	2	4	2	3	4	5	1	3	1	4	5	5	4	4	4	3	3	3	1	3	3	4	5	3	3	3	1	4	1	2	2	3	1	4	1	2	4	4	3	4	3	4	3	3
opraštanje	I	3766	4	3	2	4	2	4	1	4	3	2	3	4	1	5	2	4	3	3	1	3	3	5	1	3	1	3	5	5	2	4	3	3	3	2	1	5	1	4	2	5	2	5	1	3	1	3	2	4	2	4	1	1	1	3	2	5	3	5	3	4
sunčan	P	32967	4	4	4	4	5	5	4	4	5	5	5	5	4	5	5	4	5	5	3	4	2	5	5	4	3	4	5	5	4	5	5	4	4	4	4	5	5	3	5	5	4	5	5	5	5	4	4	4	5	4	5	3	4	5	4	5	5	5	5	5
osjećanje	I	4401	3	5	1	5	3	5	1	5	3	1	2	5	1	5	1	4	3	4	1	4	5	5	1	5	1	4	2	5	2	5	3	4	3	5	1	5	2	2	4	5	2	4	1	4	1	5	1	3	3	4	1	2	1	5	3	5	2	5	1	5
curenje	I	5461	5	4	4	3	5	5	4	2	5	2	4	3	4	4	5	3	5	4	4	2	2	4	4	5	3	3	5	4	4	4	4	3	3	2	4	4	4	3	5	4	4	3	5	3	4	2	4	3	5	4	5	1	5	4	5	3	4	3	4	4
malobrojan	P	9590	4	3	5	2	4	4	4	3	5	2	2	1	2	4	2	3	4	3	3	3	3	5	5	4	3	2	5	5	4	4	4	3	2	3	3	4	3	4	5	4	4	3	4	4	4	3	2	3	1	4	5	1	4	5	4	4	3	3	4	2
dekorativan	P	7067	3	3	3	3	2	4	3	2	5	3	2	3	3	4	4	4	3	4	1	3	5	4	4	4	1	2	4	3	2	3	3	2	5	3	2	4	4	3	5	3	4	3	4	3	3	4	3	2	1	3	5	2	2	4	3	3	5	3	2	4
stavak	I	50636	4	4	2	2	2	3	5	4	5	1	5	1	3	3	2	2	3	3	5	1	3	4	3	3	3	2	5	3	4	3	4	2	5	3	5	3	5	3	5	3	3	3	4	2	5	2	2	2	3	2	3	1	3	2	4	3	5	2	2	2
glumački	P	26399	4	4	3	3	3	3	3	3	5	2	5	1	3	4	4	3	5	3	1	2	5	5	1	2	2	1	5	4	4	3	4	3	4	4	1	4	5	3	5	4	4	4	3	2	5	4	3	2	4	2	1	1	4	5	4	4	4	2	4	1
