leksem	vr	frek	10a.01.k	10a.01.č	10a.02.k	10a.02.č	10a.03.k	10a.03.č	10a.04.k	10a.04.č	10a.05.k	10a.05.č	10a.06.k	10a.06.č	10a.07.k	10a.07.č	10a.08.k	10a.08.č	10a.09.k	10a.09.č	10a.10.k	10a.10.č	10a.11.k	10a.11.č	10a.12.k	10a.12.č	10a.13.k	10a.13.č	10a.14.k	10a.14.č	10a.15.k	10a.15.č	10b.01.k	10b.01.č	10b.02.k	10b.02.č	10b.03.k	10b.03.č	10b.04.k	10b.04.č	10b.05.k	10b.05.č	10b.06.k	10b.06.č	10b.07.k	10b.07.č	10b.08.k	10b.08.č	10b.09.k	10b.09.č	10b.10.k	10b.10.č	10b.11.k	10b.11.č	10b.12.k	10b.12.č	10b.13.k	10b.13.č	10b.14.k	10b.14.č	10b.15.k	10b.15.č
dramatičan	P	18585	2	4	3	3	3	4	3	4	2	3	3	3	4	3	1	5	2	4	2	3	2	2	1	4	2	4	2	3	2	4	1	4	3	5	5	5	3	3	3	3	1	5	4	5	3	5	1	5	2	4	2	5	2	3	4	4	2	4	2	5
zabaviti	G	21756	3	5	1	5	4	5	3	4	5	4	2	5	5	4	1	4	3	5	2	4	3	3	2	5	4	5	4	5	2	0	1	5	2	5	4	4	2	4	5	4	1	5	5	5	4	5	3	5	3	4	2	5	3	4	5	5	3	5	2	5
ispreplitati	G	3429	1	3	3	3	4	3	2	2	4	2	2	3	3	2	1	5	2	4	4	3	3	3	4	3	4	3	4	2	4	3	5	4	5	2	4	2	4	3	5	3	4	4	5	4	3	4	5	3	5	2	4	3	2	2	2	2	1	3	4	3
stambeni	P	52502	5	5	2	4	3	3	4	3	4	3	4	4	4	1	1	4	5	3	2	2	4	2	3	3	4	3	4	4	3	0	2	5	4	3	3	2	5	4	4	4	3	4	5	5	5	4	4	4	5	3	4	2	2	4	4	4	3	4	4	4
spuštanje	I	11179	3	5	5	4	5	5	5	4	4	5	2	3	5	4	4	5	5	4	3	3	4	3	5	4	5	4	5	5	4	4	5	5	3	4	4	3	5	4	5	3	4	4	4	5	4	5	5	5	5	4	5	4	3	3	5	5	3	2	4	3
duševan	P	15512	1	5	1	3	2	2	3	4	2	4	1	3	2	3	1	4	2	4	1	3	1	4	1	3	1	3	1	3	1	4	1	4	1	1	1	2	2	2	2	3	1	4	3	4	2	4	1	3	1	2	2	2	2	3	2	4	4	2	1	3
prikloniti	G	6006	2	3	1	2	3	4	4	4	3	2	2	2	3	2	1	5	4	3	1	2	2	3	3	2	3	4	1	2	2	3	1	4	2	1	1	2	1	1	2	1	1	4	4	4	2	3	2	3	5	3	3	3	2	2	3	4	4	2	2	2
izvršan	P	54494	1	4	1	2	1	2	4	4	1	1	2	3	4	2	1	4	5	3	1	2	1	3	3	2	1	2	1	2	2	3	1	2	2	1	1	2	2	1	2	2	2	4	3	3	1	3	2	4	5	3	3	2	1	2	4	4	1	4	3	2
diplomatski	P	23923	1	2	2	2	1	3	4	3	3	3	3	3	2	2	1	5	4	3	2	3	2	3	1	3	2	2	2	2	1	3	1	5	2	2	1	1	2	2	3	2	2	4	3	4	1	3	1	4	4	3	4	3	2	2	4	4	2	3	3	3
sporazum	I	100753	1	3	4	4	4	2	4	3	3	3	5	4	5	2	3	4	5	3	2	4	3	3	3	3	3	3	2	3	2	4	5	2	5	3	4	2	4	3	3	3	1	5	4	4	1	3	1	5	5	3	3	3	3	3	5	4	2	3	4	3
dominantan	P	21317	2	5	3	4	4	5	3	5	3	4	5	4	4	3	2	5	5	4	2	4	2	4	3	3	3	5	3	3	2	4	1	5	2	5	1	3	3	3	4	2	2	5	4	4	2	4	2	5	3	4	2	4	3	4	2	5	3	1	1	5
virtualan	P	30588	1	4	2	3	1	5	2	4	1	2	3	4	4	4	2	4	5	4	1	3	1	3	1	4	2	5	2	5	1	4	1	5	1	5	2	2	3	2	2	3	2	4	4	5	5	4	1	5	2	4	2	4	1	4	2	4	4	2	2	4
pretočiti	G	5338	1	4	1	4	4	4	5	3	5	4	5	4	5	2	4	5	5	4	3	3	3	3	5	2	5	4	5	3	5	4	5	3	5	4	5	4	4	3	5	4	5	4	4	3	5	5	5	5	5	3	5	4	3	4	3	3	1	2	4	3
poremećaj	I	56222	2	5	1	4	3	3	3	5	3	4	5	5	5	5	1	5	4	4	1	4	1	4	2	4	3	5	2	3	2	4	2	5	1	3	1	3	3	4	3	4	3	5	2	5	4	5	3	5	3	4	2	4	3	2	4	5	2	2	3	4
izvozan	P	9979	1	3	1	1	3	1	3	2	2	2	1	3	1	1	3	5	5	4	2	1	1	2	4	2	3	1	2	2	1	3	1	5	2	2	2	2	2	1	3	3	2	4	4	4	4	3	3	3	5	4	3	3	2	1	3	3	5	4	3	2
kemoterapija	I	7070	3	3	3	2	4	2	5	2	5	2	5	3	5	1	2	3	5	3	3	2	3	2	5	3	5	3	4	1	2	3	2	4	5	2	2	1	4	3	3	3	5	4	3	5	5	2	5	3	5	4	4	3	3	2	5	3	3	4	3	3
izrasti	G	8623	2	5	3	3	5	4	5	3	5	3	4	4	5	4	3	5	5	4	3	3	4	3	5	3	5	5	4	3	4	4	3	4	5	4	2	2	3	2	5	2	3	4	4	3	5	5	4	4	5	4	4	4	3	3	5	4	2	1	4	4
raskrižje	I	12380	4	4	5	4	5	5	5	4	5	4	5	4	5	4	4	4	5	4	5	4	5	4	5	4	5	5	5	3	5	4	5	5	5	5	5	4	5	4	5	5	5	4	5	4	4	5	5	5	5	4	5	3	5	3	4	5	3	2	5	5
izuzetan	P	28354	1	5	1	2	1	4	2	5	3	3	1	4	4	2	2	4	4	3	2	3	2	3	1	3	2	3	1	2	1	4	1	3	1	4	1	3	1	2	2	3	1	4	3	4	2	3	1	5	3	2	2	3	2	3	2	4	5	4	2	4
poganski	P	4522	3	3	1	1	2	1	4	2	2	1	2	3	2	1	1	4	4	3	2	2	2	2	2	2	4	2	1	1	1	3	1	3	3	2	1	2	3	2	2	1	1	4	2	3	4	3	1	3	2	3	3	3	1	1	2	3	5	3	4	2
počistiti	G	6421	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	5	5	5	5	5	4	4	4	5	5	5	5	5	5	4	4	5	4	5	5	4	5	5	5	4	5	5	4	5	5	2	3	5	5	1	3	5	5
tih	P	35307	2	5	4	4	5	5	5	4	5	4	5	5	5	4	5	5	5	5	2	5	3	5	4	5	4	4	2	3	3	5	5	5	4	4	1	4	3	3	5	4	4	5	4	5	5	4	4	5	5	3	4	4	4	3	5	5	3	4	3	5
goditi	G	6829	1	3	2	2	3	3	4	3	3	4	2	4	4	3	3	1	5	4	2	2	2	3	3	2	2	3	1	2	1	3	1	2	1	4	2	3	2	2	2	3	2	5	3	5	4	3	4	3	5	2	3	1	1	4	3	4	5	5	2	3
rob	I	19264	4	2	4	2	2	2	4	2	5	2	5	3	5	2	2	2	5	3	4	3	5	1	5	3	5	4	4	1	4	3	3	3	5	4	5	1	5	3	5	4	5	4	4	5	5	4	4	3	3	2	5	3	4	2	4	4	5	4	5	4
izdvajati	G	31972	2	4	1	3	3	3	3	4	3	3	3	3	3	2	2	3	5	4	3	3	4	3	5	3	4	4	2	3	5	4	4	5	3	4	3	4	1	2	5	3	1	3	3	4	2	4	4	5	5	3	3	4	2	3	5	4	1	3	3	3
ostvariti	G	196736	1	5	1	4	1	4	2	5	3	4	1	4	5	3	2	5	4	4	1	4	3	3	3	4	2	5	1	4	2	4	1	4	2	2	1	3	2	3	2	4	1	5	3	4	1	5	3	5	5	2	2	5	3	4	4	5	4	3	3	4
