leksem	vr	frek	02a.01.k	02a.01.č	02a.02.k	02a.02.č	02a.03.k	02a.03.č	02a.04.k	02a.04.č	02a.05.k	02a.05.č	02a.06.k	02a.06.č	02a.07.k	02a.07.č	02a.08.k	02a.08.č	02a.09.k	02a.09.č	02a.10.k	02a.10.č	02a.11.k	02a.11.č	02a.12.k	02a.12.č	02a.13.k	02a.13.č	02a.14.k	02a.14.č	02a.15.k	02a.15.č	02b.01.k	02b.01.č	02b.02.k	02b.02.č	02b.03.k	02b.03.č	02b.04.k	02b.04.č	02b.05.k	02b.05.č	02b.06.k	02b.06.č	02b.07.k	02b.07.č	02b.08.k	02b.08.č	02b.09.k	02b.09.č	02b.10.k	02b.10.č	02b.11.k	02b.11.č	02b.12.k	02b.12.č	02b.13.k	02b.13.č	02b.14.k	02b.14.č	02b.15.k	02b.15.č	02b.16.k	02b.16.č	02b.17.k	02b.17.č
prijaviti	G	97019	2	3	3	4	2	4	3	4	3	3	4	4	4	2	1	4	2	3	3	5	5	5	2	3	3	4	4	5	5	4	3	4	2	3	1	4	4	4	2	3	3	1	4	3	3	5	4	5	2	4	4	4	3	5	4	3	4	5	2	4	3	3	3	3
milja	I	21825	5	2	4	2	3	2	5	3	2	1	3	3	4	1	2	1	5	4	5	4	5	4	5	2	5	1	3	1	5	1	5	2	2	1	5	4	4	3	3	3	5	3	1	1	2	3	4	3	1	3	1	1	4	2	2	2	5	2	4	1	3	1	3	3
primamljiv	P	6050	5	4	2	3	1	4	1	4	2	1	4	4	3	3	1	3	2	4	4	4	5	5	2	2	3	2	4	2	3	3	3	3	3	3	4	1	3	4	2	3	1	3	1	4	1	4	2	4	1	4	3	3	2	3	1	4	3	4	2	4	4	4	3	3
eliminirati	G	12841	5	3	2	3	3	3	1	2	2	2	5	3	2	2	1	3	2	2	2	3	5	5	1	2	4	2	2	3	1	3	4	2	4	2	3	3	3	3	3	3	3	4	3	3	2	4	3	3	3	3	3	3	2	4	2	5	4	3	2	4	4	2	3	3
osvježavati	G	3220	5	3	2	4	4	4	1	4	1	3	4	3	3	3	2	4	5	2	4	3	4	5	2	3	3	3	4	4	5	5	2	3	2	4	4	4	4	4	3	3	1	5	3	3	2	4	4	4	4	4	4	4	3	2	4	4	4	4	2	5	4	1	2	3
okolina	I	58901	5	3	4	4	5	4	3	4	4	4	3	3	5	4	1	4	1	5	5	5	5	5	5	4	3	2	5	4	4	4	4	3	4	2	5	5	3	3	3	4	3	5	3	3	2	5	5	4	3	4	2	3	5	4	5	4	5	5	4	5	4	3	3	4
izluđivati	G	3795	4	2	2	0	2	5	1	4	2	3	4	3	3	4	1	3	2	5	3	4	5	5	3	4	2	4	5	3	5	5	2	3	3	3	1	3	4	4	3	4	1	3	1	3	2	5	4	4	1	3	4	4	4	2	3	3	4	4	2	5	3	4	2	2
šarolik	P	4839	3	2	3	3	1	1	1	3	1	1	3	3	2	2	3	2	5	5	4	4	4	4	5	3	1	1	4	3	3	3	5	4	5	2	5	2	2	4	4	3	1	4	3	3	2	4	4	4	4	3	2	2	4	3	2	1	3	3	3	4	4	2	3	3
osuditi	G	31048	2	2	3	3	4	4	1	4	2	2	5	4	3	3	1	3	4	3	2	4	5	3	4	4	2	2	3	4	5	5	3	4	2	2	1	4	4	2	3	3	3	4	2	3	2	5	2	4	2	3	5	5	2	3	4	3	4	4	2	3	3	3	3	4
zainteresiran	P	78038	5	4	0	4	3	3	2	5	2	4	5	4	3	4	2	5	1	3	4	5	5	3	2	2	2	3	4	5	4	5	1	4	2	2	4	3	3	3	3	4	1	4	1	4	2	5	2	5	2	5	4	5	3	4	4	4	4	5	1	4	3	4	3	4
postojanje	I	87033	2	2	2	4	1	4	1	3	1	3	1	3	2	2	1	3	1	3	4	5	2	3	1	3	1	2	4	5	5	4	1	3	1	2	4	3	2	4	3	3	1	5	1	3	1	5	1	4	1	2	2	2	2	4	1	5	4	4	1	4	2	2	3	4
pretjeran	P	26342	4	3	2	0	2	5	1	4	2	4	3	3	2	4	1	4	1	3	2	5	3	4	2	4	2	4	5	5	5	5	2	4	2	3	1	1	4	4	2	4	1	3	2	4	2	5	1	4	1	3	3	5	1	3	3	5	4	4	3	5	3	4	2	3
