leksem	vr	frek	28a.01.k	28a.01.č	28a.02.k	28a.02.č	28a.03.k	28a.03.č	28a.04.k	28a.04.č	28a.05.k	28a.05.č	28a.06.k	28a.06.č	28a.07.k	28a.07.č	28a.08.k	28a.08.č	28a.09.k	28a.09.č	28a.10.k	28a.10.č	28a.11.k	28a.11.č	28a.12.k	28a.12.č	28a.13.k	28a.13.č	28a.14.k	28a.14.č	28a.15.k	28a.15.č	28b.01.k	28b.01.č	28b.02.k	28b.02.č	28b.03.k	28b.03.č	28b.04.k	28b.04.č	28b.05.k	28b.05.č	28b.06.k	28b.06.č	28b.07.k	28b.07.č	28b.08.k	28b.08.č	28b.09.k	28b.09.č	28b.10.k	28b.10.č	28b.11.k	28b.11.č	28b.12.k	28b.12.č	28b.13.k	28b.13.č	28b.14.k	28b.14.č	28b.15.k	28b.15.č
olovka	I	15580	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	4	5	4	5	4	5	5	5	5	5	4	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	4
autorski	P	36621	1	3	2	3	2	2	2	5	4	4	4	3	2	3	3	3	1	2	2	2	1	4	5	4	4	2	1	2	1	3	2	2	4	3	1	4	1	5	3	4	3	4	3	2	3	4	4	3	2	4	3	3	3	4	1	3	2	4	4	3
govedina	I	3527	4	3	5	4	4	4	5	4	5	3	5	4	5	4	5	3	5	3	5	3	4	4	5	3	5	3	5	3	5	3	5	3	5	3	5	4	5	5	5	3	5	5	5	2	5	4	5	4	3	3	5	3	5	4	5	5	5	4	4	2
pornografski	P	4506	4	3	4	3	5	3	3	4	4	1	4	2	1	3	2	2	3	2	5	2	2	2	5	3	4	3	1	1	1	2	4	3	4	2	3	2	1	2	4	3	3	2	3	1	2	3	4	4	2	3	2	2	5	3	2	4	4	3	4	3
kanalizacijski	P	8376	3	1	5	2	3	2	5	4	4	3	5	2	4	2	4	2	3	2	4	2	5	2	5	3	5	3	1	2	2	3	4	2	5	2	4	1	3	3	3	4	3	2	3	1	2	3	4	4	3	2	4	1	5	4	3	2	4	3	4	2
štur	P	3616	1	3	2	4	2	3	1	4	5	4	4	2	3	3	1	1	1	1	2	3	1	2	2	2	3	3	1	2	1	1	2	2	4	1	1	1	4	2	1	2	3	3	2	1	1	2	3	4	3	2	3	3	3	2	1	1	4	2	1	1
sveučilišni	P	30578	2	4	4	3	2	4	4	5	3	5	3	3	4	4	4	4	2	3	4	5	4	5	5	5	3	4	3	3	2	5	3	2	4	4	1	4	1	5	4	4	3	2	3	2	2	4	3	4	3	4	4	3	3	5	1	5	2	5	4	2
inicijator	I	6657	1	3	4	4	4	2	2	4	2	2	2	2	2	3	2	2	2	1	4	3	2	3	5	3	2	2	1	2	2	1	3	1	5	3	1	1	1	5	2	3	3	2	3	2	1	3	4	4	2	3	4	2	2	4	3	1	1	3	2	1
ugoditi	G	3464	2	4	2	5	3	5	2	4	2	4	2	4	3	4	2	4	3	3	2	4	2	4	3	5	2	5	4	4	1	2	2	3	3	3	2	3	1	5	3	3	3	4	3	3	2	3	4	4	4	4	3	2	2	5	2	4	2	3	4	2
gristi	G	12592	4	4	5	4	5	4	3	5	5	5	5	4	5	5	5	4	3	3	5	4	4	4	5	5	4	5	5	5	3	4	5	4	5	3	5	5	5	5	5	4	5	4	5	3	4	4	5	4	5	4	5	4	5	5	4	4	5	5	4	2
