leksem	vr	frek	17a.01.k	17a.01.č	17a.02.k	17a.02.č	17a.03.k	17a.03.č	17a.04.k	17a.04.č	17a.05.k	17a.05.č	17a.06.k	17a.06.č	17a.07.k	17a.07.č	17a.08.k	17a.08.č	17a.09.k	17a.09.č	17a.10.k	17a.10.č	17a.11.k	17a.11.č	17a.12.k	17a.12.č	17a.13.k	17a.13.č	17a.14.k	17a.14.č	17a.15.k	17a.15.č	17b.01.k	17b.01.č	17b.02.k	17b.02.č	17b.03.k	17b.03.č	17b.04.k	17b.04.č	17b.05.k	17b.05.č	17b.06.k	17b.06.č	17b.07.k	17b.07.č	17b.08.k	17b.08.č	17b.09.k	17b.09.č	17b.10.k	17b.10.č	17b.11.k	17b.11.č	17b.12.k	17b.12.č	17b.13.k	17b.13.č	17b.14.k	17b.14.č	17b.15.k	17b.15.č
ustanova	I	102512	4	3	5	3	4	4	3	2	3	3	5	3	2	3	4	4	2	2	5	3	3	5	5	3	5	3	3	3	3	4	5	3	4	3	5	3	4	3	2	2	3	5	4	4	3	2	4	4	5	4	5	3	5	3	4	4	2	5	5	4
opravdanje	I	24245	1	4	2	5	1	4	1	3	1	4	1	4	1	2	1	4	1	4	1	4	2	5	2	3	2	4	2	2	2	4	3	3	3	3	1	4	2	4	2	4	3	4	2	4	4	4	2	5	5	4	5	5	5	3	1	5	2	5	1	5
propuštati	G	12707	2	5	3	5	2	4	1	3	1	2	1	3	2	3	2	5	1	3	2	4	4	3	2	2	2	4	3	1	3	4	3	4	3	3	4	5	3	2	3	3	5	3	2	4	2	4	4	4	5	4	5	5	5	2	3	5	3	5	2	4
okolni	P	28815	4	4	4	2	3	4	1	1	2	1	1	2	2	4	3	4	1	1	2	3	4	4	3	2	4	3	2	1	4	4	4	3	4	2	3	3	3	3	2	1	1	3	2	3	3	1	3	5	5	4	5	5	5	2	3	4	2	4	3	4
nepremostiv	P	3075	2	3	2	2	2	2	1	1	1	1	1	2	1	0	2	3	1	1	1	2	3	3	1	1	5	4	1	1	3	3	4	4	3	1	2	4	2	2	1	2	3	3	1	3	2	2	3	2	5	4	5	2	4	3	3	4	1	4	2	3
dinosaur	I	5496	5	2	5	1	5	2	2	3	5	1	5	2	5	1	5	4	5	1	5	5	5	4	4	1	3	2	5	1	5	3	2	3	5	2	5	2	5	3	3	1	1	4	5	4	1	1	5	3	5	2	5	5	5	2	5	4	5	3	5	3
zaboraviti	G	177141	1	5	4	5	3	5	1	5	1	5	1	5	3	3	1	5	2	5	1	3	3	5	1	4	2	0	2	5	5	5	5	3	4	4	2	5	4	5	2	4	2	5	2	5	5	4	3	5	5	4	5	2	5	5	3	5	2	5	2	5
biokemijski	P	3425	3	2	5	2	4	3	1	1	2	1	2	3	3	2	2	3	1	1	2	2	2	3	2	3	4	0	4	1	2	1	2	3	4	3	3	2	3	2	2	1	5	2	3	3	2	1	2	2	5	2	5	5	5	1	4	4	1	3	5	3
pripreman	P	15675	3	1	4	1	2	1	3	1	1	1	2	4	3	2	2	1	1	3	1	5	3	4	2	1	4	3	1	2	3	1	4	3	3	2	3	3	3	3	1	3	1	3	2	4	2	1	3	4	5	3	5	3	5	1	2	4	1	3	4	4
doći	G	1052375	4	5	5	5	4	5	3	2	2	5	4	5	4	4	4	5	2	5	2	3	4	5	4	4	4	5	4	5	5	5	5	3	3	4	5	5	5	5	2	4	1	5	3	5	2	5	4	5	5	5	5	5	5	3	4	5	2	5	3	4
