leksem	vr	frek	24a.01.k	24a.01.č	24a.02.k	24a.02.č	24a.03.k	24a.03.č	24a.04.k	24a.04.č	24a.05.k	24a.05.č	24a.06.k	24a.06.č	24a.07.k	24a.07.č	24a.08.k	24a.08.č	24a.09.k	24a.09.č	24a.10.k	24a.10.č	24a.11.k	24a.11.č	24a.12.k	24a.12.č	24a.13.k	24a.13.č	24a.14.k	24a.14.č	24a.15.k	24a.15.č	24b.01.k	24b.01.č	24b.02.k	24b.02.č	24b.03.k	24b.03.č	24b.04.k	24b.04.č	24b.05.k	24b.05.č	24b.06.k	24b.06.č	24b.07.k	24b.07.č	24b.08.k	24b.08.č	24b.09.k	24b.09.č	24b.10.k	24b.10.č	24b.11.k	24b.11.č	24b.12.k	24b.12.č	24b.13.k	24b.13.č	24b.14.k	24b.14.č	24b.15.k	24b.15.č	24b.16.k	24b.16.č	24b.17.k	24b.17.č	24b.18.k	24b.18.č	24b.19.k	24b.19.č	24b.20.k	24b.20.č
uzeti	G	311603	2	5	4	5	4	5	4	5	2	4	4	3	3	5	5	4	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	4	4	5	5	5	5	4	4	4	3	4	4	5	1	2	1	2	5	5	3	4	4	5	3	3	5	5	4	5	3	4	5	5	5	1	2	3	4	4
stupiti	G	27061	3	2	3	3	3	4	3	1	2	3	5	4	3	3	3	3	3	1	1	3	4	3	3	3	4	3	5	4	5	3	1	3	4	3	1	3	4	5	5	3	5	2	1	2	1	5	2	4	4	2	3	3	4	3	2	3	3	2	4	3	4	3	4	4	5	5	1	1	2	2
zaključni	P	3936	3	3	4	3	1	3	2	4	2	3	1	5	3	4	4	4	3	2	2	5	5	5	3	3	2	3	4	4	4	3	2	3	5	3	3	2	3	4	5	4	2	3	2	4	1	5	3	4	3	3	2	2	3	4	3	4	2	3	4	4	0	3	4	3	5	5	2	1	2	4
plaćati	G	170357	5	4	1	5	3	5	3	4	3	5	3	3	4	4	5	3	2	4	5	5	5	5	4	4	5	3	4	5	5	5	5	5	2	4	5	5	5	3	5	5	2	4	4	5	1	5	5	3	4	4	2	4	5	4	4	3	5	5	5	4	5	4	5	5	5	4	3	4	5	4
interpretirati	G	9919	2	4	4	4	1	5	2	4	2	4	2	2	2	4	4	3	2	3	1	3	1	2	4	3	2	3	5	3	4	4	2	4	4	3	1	4	1	4	5	5	5	4	1	5	1	5	5	3	3	2	2	4	2	2	2	3	5	1	5	4	4	4	4	5	4	4	1	4	4	4
gledanost	I	11233	4	3	1	3	3	3	3	3	2	4	3	2	5	4	4	3	3	3	1	5	5	5	3	2	4	3	4	2	4	3	3	4	1	3	4	3	3	4	5	4	3	2	2	2	1	4	5	3	2	2	1	2	3	3	3	2	1	2	5	3	0	4	4	5	4	4	2	1	3	1
eventualan	P	52735	1	4	3	4	3	4	2	4	1	4	1	4	1	4	1	3	2	3	1	4	1	4	2	3	4	4	4	5	2	4	2	4	5	1	1	1	1	2	5	5	1	3	1	4	1	3	5	3	1	5	1	3	2	3	2	3	2	2	3	4	4	4	4	5	2	3	1	3	2	5
pismen	P	26081	4	3	5	3	2	3	4	3	4	4	2	4	5	4	5	3	4	3	1	4	5	5	3	4	4	4	3	5	2	3	3	3	4	4	4	2	4	3	4	5	2	2	3	4	1	4	5	3	4	4	1	3	3	4	4	3	5	5	5	4	3	4	4	4	4	3	2	2	4	1
zasjati	G	5992	5	3	2	3	2	4	4	4	1	3	5	5	3	3	5	2	3	2	5	5	5	5	3	3	4	4	4	4	4	3	4	3	3	2	4	3	4	3	5	3	2	3	3	2	1	1	4	4	3	3	2	4	4	2	3	3	5	2	2	1	5	4	4	4	5	3	2	1	2	1
narušavanje	I	5971	1	2	2	3	3	3	3	3	2	3	3	5	3	3	3	2	2	2	1	3	5	5	3	3	3	4	4	4	3	2	2	3	3	3	1	2	2	4	5	4	2	2	2	4	1	1	3	3	1	4	1	0	2	2	3	3	4	2	3	1	3	3	4	4	4	3	1	1	2	2
učinkovit	P	50455	2	3	3	4	4	4	3	4	1	3	1	5	3	4	3	3	1	3	1	3	3	3	4	4	4	4	3	5	4	2	1	4	2	4	4	4	3	4	5	5	2	4	2	4	1	4	4	2	2	4	2	3	1	4	4	4	2	3	4	3	3	4	4	4	4	5	1	2	2	2
vrsta	I	318999	1	5	4	4	3	4	3	4	4	4	1	4	3	5	2	3	3	3	1	5	1	2	4	4	5	4	5	5	2	3	3	3	4	5	5	5	4	3	5	5	1	1	3	3	1	3	3	3	5	3	2	0	1	4	5	3	2	5	4	3	3	4	3	4	5	4	3	2	2	3
zagađivati	G	4921	4	2	4	4	2	4	4	3	2	4	5	3	2	3	5	4	3	2	5	5	3	3	3	2	5	4	3	4	3	2	4	3	1	4	3	3	4	3	5	4	1	2	3	4	1	1	2	3	4	3	3	2	3	3	3	2	3	3	3	2	5	3	4	3	5	3	2	4	5	4
patogen	P	3254	4	2	3	3	2	1	3	2	1	2	5	3	5	1	3	2	5	1	1	3	1	1	3	1	3	3	5	1	1	1	2	2	1	2	1	1	3	3	5	2	2	1	2	4	1	1	3	1	1	1	2	1	1	1	1	2	1	1	1	1	4	3	3	2	2	1	3	1	2	1
meteorološki	P	7851	4	3	3	4	1	3	4	3	3	4	4	4	4	3	4	3	4	4	1	3	2	2	2	1	4	4	1	3	1	1	3	3	1	3	4	3	2	3	4	5	1	1	2	3	1	1	3	3	3	1	2	2	2	3	2	2	1	1	2	1	2	3	3	4	2	1	2	1	3	2
smrtnost	I	9346	3	2	1	4	5	3	2	2	1	3	3	3	5	4	1	4	5	2	3	5	5	2	3	2	2	4	5	4	4	1	2	3	1	3	4	3	1	3	4	3	2	1	2	4	1	1	3	3	2	1	3	2	1	2	2	2	1	2	4	2	2	4	3	3	2	2	1	3	5	4
dogma	I	12968	3	3	5	2	2	2	2	2	1	2	1	3	3	2	4	3	4	2	1	3	1	2	2	1	4	3	5	2	1	1	1	2	5	1	3	1	2	3	5	3	1	1	1	2	1	1	3	1	1	1	3	0	2	3	3	3	2	1	1	1	2	4	3	3	2	2	1	1	2	1
prikolica	I	8690	5	2	1	2	3	2	5	3	5	4	5	5	5	4	5	3	5	2	5	5	5	4	4	1	4	4	3	5	4	2	5	2	4	2	5	3	5	5	5	3	5	2	5	3	5	4	4	3	5	3	5	4	5	3	5	3	5	2	5	1	5	4	5	4	5	4	5	1	4	1
gotov	P	68575	1	5	1	5	5	5	3	5	3	4	2	5	3	5	2	4	4	5	5	5	5	5	3	5	5	5	5	5	5	5	1	4	2	5	4	5	2	3	5	5	2	4	1	5	1	4	3	2	3	5	2	2	3	5	4	3	3	3	3	5	5	1	4	5	4	5	2	4	4	4
automatski	P	35569	1	5	5	5	3	5	3	3	3	4	2	3	3	5	2	4	3	3	5	5	5	5	2	4	4	4	4	5	5	5	2	3	5	4	4	5	3	4	5	5	4	3	2	5	1	5	2	2	1	4	2	3	2	4	3	3	4	2	3	5	2	4	4	4	0	5	3	3	2	4
cimet	I	5787	5	4	1	3	1	2	5	2	5	3	5	2	5	4	5	4	5	2	5	5	5	4	5	2	4	4	4	5	5	4	4	3	3	1	5	3	5	1	4	3	4	1	5	3	5	1	5	1	5	2	5	5	3	3	5	2	5	3	5	1	3	4	5	3	5	4	5	3	2	4
debitirati	G	7315	2	2	2	3	5	2	4	2	2	2	2	3	2	2	2	3	4	3	1	3	2	3	3	2	4	3	5	3	3	2	1	1	5	1	2	1	1	2	5	3	1	2	2	1	1	5	4	1	1	1	3	3	2	1	2	3	3	2	1	1	5	3	2	3	2	1	2	1	1	1
rastati	G	3308	3	3	5	3	4	5	4	3	3	4	3	5	2	4	4	2	2	2	1	5	5	2	3	2	4	4	3	4	4	3	4	3	5	4	5	3	2	5	5	5	3	2	3	3	1	5	3	3	5	1	4	4	2	2	4	3	5	3	2	3	3	4	4	5	5	4	2	2	3	3
dječak	I	65488	5	3	4	5	1	5	5	4	5	5	5	4	5	5	5	3	5	3	5	5	5	5	5	4	5	5	5	5	5	4	5	4	4	5	5	4	5	4	5	5	5	3	5	5	5	5	4	3	5	3	5	4	5	5	5	3	5	4	5	4	3	4	5	5	5	5	5	3	5	4
ocijediti	G	4018	5	3	2	4	4	3	4	3	3	3	5	4	5	4	5	3	4	2	5	5	5	5	4	3	4	4	5	5	5	4	5	3	3	3	4	3	5	4	5	4	5	2	4	5	1	4	3	3	5	2	4	3	5	4	4	3	5	3	3	1	3	4	5	5	4	4	3	1	4	2
ostvarivati	G	57861	1	4	2	3	2	3	2	3	2	3	2	4	4	4	3	4	4	4	1	5	2	3	3	3	4	4	5	4	4	3	1	3	3	3	2	3	1	3	3	5	3	2	2	4	1	3	2	3	3	3	1	3	3	3	2	3	2	3	3	3	3	4	4	4	4	4	1	3	2	3
patnja	I	39565	2	3	1	4	5	4	1	2	1	3	1	4	1	3	5	3	2	2	5	5	1	3	1	2	2	3	4	2	3	3	2	3	4	2	4	3	2	3	5	5	1	1	2	3	1	1	3	3	3	3	2	3	2	3	4	2	2	3	1	3	5	4	4	5	4	3	1	1	3	2
tematski	P	19312	1	3	4	3	5	3	2	2	4	3	2	4	3	3	3	2	3	1	1	3	1	3	2	2	3	3	3	3	2	3	2	2	5	2	2	3	1	3	4	3	1	2	2	4	1	1	5	3	3	1	2	1	1	4	2	2	5	1	2	5	4	3	4	5	4	2	2	3	3	1
osmina	I	11031	1	2	3	3	5	3	4	2	3	3	2	5	5	3	4	2	5	3	5	3	5	4	5	1	3	3	4	5	5	2	2	2	5	2	5	4	4	5	5	3	2	1	1	1	1	4	3	3	5	1	2	2	3	1	1	3	3	1	1	1	5	0	4	4	3	1	4	1	1	1
skinuti	G	91882	5	5	5	5	3	5	4	4	4	4	4	5	4	4	5	4	4	5	5	5	5	5	4	4	4	4	5	5	5	4	5	4	5	5	5	5	5	4	5	5	5	4	4	5	1	3	5	3	5	5	4	2	4	5	4	3	5	3	2	4	2	4	5	5	5	0	3	4	4	3
insekt	I	5512	5	4	3	4	4	3	4	4	4	3	5	5	5	4	5	3	5	3	5	3	5	5	4	2	4	4	5	5	5	2	4	2	5	3	5	4	5	5	5	4	5	2	5	3	5	5	3	3	5	1	5	3	5	3	5	3	5	4	3	2	5	5	5	5	3	3	5	1	5	3
odabrati	G	104405	4	5	1	4	5	5	3	4	4	3	3	5	3	4	4	3	4	4	5	5	5	5	4	4	4	5	5	5	5	4	5	4	5	5	3	4	3	3	5	5	5	4	3	5	1	3	3	4	5	5	4	4	2	5	5	4	5	5	3	5	5	3	5	5	5	4	2	3	4	4
prošlotjedni	P	9174	4	3	5	4	3	5	4	2	3	2	2	4	5	4	2	3	5	1	1	5	2	4	3	3	4	3	4	5	5	4	4	4	5	4	5	4	3	3	5	5	3	2	1	2	1	3	3	3	3	2	2	2	4	3	2	3	5	4	4	5	3	3	4	5	2	1	2	1	1	1
ploviti	G	17075	5	3	4	2	1	3	5	2	4	3	4	5	4	3	5	2	4	2	5	5	5	4	4	3	4	2	5	5	4	2	5	2	4	3	5	3	5	4	5	4	5	3	5	4	1	5	3	4	5	2	4	3	5	3	4	3	5	5	5	1	4	0	5	4	5	1	5	1	5	3
označavati	G	31548	4	5	1	5	3	5	3	4	3	3	4	3	4	4	5	4	4	4	5	5	5	5	3	4	4	3	5	5	4	3	3	3	3	5	2	4	4	3	3	5	5	4	4	5	1	3	5	3	5	5	1	3	5	5	2	2	5	5	3	4	3	4	4	4	4	3	4	3	3	3
unikatan	P	7769	4	3	4	3	1	2	3	2	2	2	2	5	1	3	5	3	4	1	1	3	1	4	4	2	4	3	5	5	4	2	3	2	5	2	4	4	2	5	4	4	4	2	3	4	1	5	5	4	5	1	1	1	5	3	3	3	5	2	2	4	4	4	4	3	4	2	2	2	3	2
isti	P	1017599	1	5	3	5	4	5	3	3	1	5	3	3	2	5	4	3	4	4	5	5	1	4	4	5	4	5	5	5	4	5	4	5	3	5	5	5	4	4	4	5	4	4	3	5	1	4	5	5	5	5	2	4	5	5	4	2	5	5	2	5	4	0	5	5	5	4	2	3	2	5
dočarati	G	8589	1	4	4	4	4	5	2	3	3	3	1	4	3	3	3	4	2	2	1	5	5	4	3	3	4	3	5	4	3	1	1	2	5	2	1	4	1	3	5	4	3	3	1	5	1	2	5	4	4	2	2	2	2	4	2	2	1	2	2	2	2	3	3	4	2	2	2	2	1	3
donator	I	12628	4	2	2	3	3	1	4	2	2	3	2	5	4	3	5	2	5	2	3	4	5	4	5	1	4	3	5	2	5	1	4	2	5	3	4	3	5	3	5	3	3	1	4	4	5	1	5	3	5	2	3	3	2	2	5	3	5	5	3	1	5	2	4	4	4	2	4	1	4	3
desetljeće	I	68349	1	3	3	3	3	2	3	3	2	4	2	5	5	4	5	3	5	3	5	5	5	3	4	2	4	3	3	5	5	3	2	2	5	3	3	5	3	3	5	5	3	1	2	4	1	1	3	2	4	3	3	4	3	3	5	3	5	3	5	3	3	3	4	4	3	2	3	1	1	3
slan	P	12386	1	3	4	2	3	3	5	4	4	5	5	5	5	4	5	2	5	3	5	5	5	4	3	3	4	3	5	5	5	5	3	4	5	5	5	4	5	5	5	5	2	5	2	4	4	5	5	5	4	3	3	4	5	5	5	3	5	3	5	3	5	3	5	5	5	5	5	2	4	4
predjelo	I	8074	5	5	5	5	5	5	3	3	4	4	4	5	5	4	5	2	4	3	5	5	5	4	5	3	4	5	5	4	5	4	4	4	5	4	5	4	5	4	5	5	1	3	5	4	5	5	5	5	5	3	3	4	3	3	5	3	2	5	4	3	5	4	4	3	5	2	4	1	4	2
nesretan	P	46704	4	3	3	4	5	4	2	4	1	4	1	4	3	4	4	4	2	4	5	5	5	4	1	4	2	4	4	5	5	5	3	3	5	5	5	3	5	4	5	5	3	3	5	5	4	3	5	5	5	3	2	4	4	4	5	3	5	3	3	3	5	5	4	5	3	2	3	2	3	4
zasjedanje	I	11509	2	4	1	4	2	5	3	2	1	3	2	4	1	3	3	3	3	2	1	4	1	3	3	2	3	3	2	2	4	1	1	2	4	3	5	4	3	2	4	5	1	1	4	4	1	1	4	5	4	2	2	2	2	2	4	3	5	5	1	3	5	5	4	4	2	2	1	1	2	1
odrasti	G	20178	3	2	3	3	3	1	2	3	2	3	2	5	2	4	4	2	4	3	5	5	5	3	3	2	3	3	2	4	2	2	3	3	5	5	1	4	4	3	5	3	2	3	3	4	4	3	4	5	5	4	1	4	4	4	4	3	5	2	4	3	5	4	4	3	5	2	1	4	4	4
neriješen	P	11069	2	4	3	4	2	4	3	4	2	3	1	4	3	4	4	3	4	4	3	5	1	4	3	3	4	4	5	5	3	4	2	2	5	4	4	4	2	4	5	5	2	2	2	4	1	1	3	5	4	2	1	4	1	4	4	3	4	3	3	2	4	1	4	4	2	2	1	2	3	3
regularan	P	10497	1	4	2	3	1	4	2	4	3	2	2	3	2	2	3	2	2	3	3	5	5	3	3	2	4	4	4	4	4	3	2	2	2	3	1	4	1	2	4	5	2	1	3	4	1	1	3	5	2	1	2	2	2	2	2	2	1	3	1	1	4	4	4	4	4	3	2	3	3	2
opseg	I	20240	1	3	2	3	3	3	3	3	4	3	4	4	5	3	5	2	3	4	3	3	1	4	4	2	4	2	5	5	3	4	3	2	3	3	2	4	5	2	4	5	2	1	4	3	2	1	3	5	5	1	3	3	2	2	3	3	4	2	1	1	5	4	4	4	4	3	3	2	1	1
odmorište	I	3710	1	3	5	3	5	3	4	2	4	3	5	3	5	3	5	3	4	2	5	5	5	3	4	2	4	2	5	3	5	1	3	2	5	2	4	3	4	2	5	4	3	2	5	3	5	3	3	5	4	2	3	3	5	2	5	4	5	3	3	3	5	4	4	4	4	3	4	1	3	1
mrva	I	4125	4	2	5	2	5	2	3	2	4	3	5	5	3	4	5	3	5	1	1	1	1	2	5	3	3	2	3	4	3	5	3	3	4	2	5	3	5	4	5	5	5	3	5	4	5	5	4	5	5	5	4	2	4	3	4	3	5	2	1	1	5	2	4	1	5	4	5	1	4	1
pekara	I	5702	5	2	5	5	4	2	4	4	5	5	5	5	5	4	5	4	5	4	5	5	5	3	5	4	4	5	5	5	4	5	5	4	5	5	1	5	5	5	5	3	5	4	5	3	5	5	4	5	5	5	5	5	5	5	5	4	5	3	5	4	5	3	5	5	5	4	5	3	5	5
izbor	I	484667	5	5	5	5	5	5	2	3	4	5	3	4	3	4	4	5	3	4	3	5	5	4	3	3	4	3	3	5	5	5	4	4	4	5	5	4	4	4	5	5	5	3	2	5	1	4	4	5	5	5	2	4	2	5	5	4	5	5	3	4	5	4	5	5	5	4	2	4	5	5
okaniti	G	3127	2	5	2	3	3	5	3	3	2	3	2	4	2	3	2	3	3	2	1	3	1	4	2	2	3	2	2	5	5	5	2	3	3	3	3	4	1	4	5	5	3	1	1	4	1	3	4	5	3	4	2	2	3	3	2	3	5	5	3	2	4	5	4	3	4	4	1	2	4	2
televizijski	P	50532	1	3	2	3	1	3	4	4	3	4	3	3	5	4	3	4	2	4	5	5	5	3	3	3	4	5	5	5	2	4	4	4	5	5	1	5	4	4	5	5	2	5	4	5	3	5	3	5	4	5	2	3	5	5	3	3	5	5	3	4	3	4	4	5	5	1	1	3	5	4
mudo	I	13013	4	5	3	1	3	5	3	1	1	1	3	1	1	1	5	2	5	2	1	1	5	4	3	1	3	1	1	1	5	1	1	1	1	1	3	1	1	1	4	5	3	1	2	1	5	1	4	1	1	1	2	1	1	1	1	1	4	4	1	1	4	2	3	1	2	1	5	4	1	1
arbitraža	I	8595	5	1	3	2	1	1	3	1	2	3	2	2	5	1	2	4	5	2	1	1	1	1	4	1	4	3	1	3	1	1	2	2	1	1	5	2	1	2	4	3	5	1	1	4	3	1	3	3	1	1	2	1	2	2	2	2	2	1	1	1	4	3	3	2	2	2	1	1	1	1
atmosferski	P	5220	3	2	3	3	3	1	4	3	2	2	4	3	5	3	3	2	2	2	1	5	1	2	2	2	4	3	2	1	1	1	3	2	3	2	1	3	3	3	4	4	3	2	2	2	1	1	2	3	3	2	2	1	5	3	2	3	2	2	1	2	4	4	4	4	2	4	1	1	3	3
progutati	G	14787	4	4	3	5	3	2	4	4	3	4	5	5	4	3	5	2	4	3	5	5	5	4	3	4	4	4	5	5	4	4	5	4	5	5	2	4	5	5	4	4	3	5	5	5	3	5	3	5	5	5	4	5	5	5	4	3	5	2	4	4	3	0	5	4	5	4	3	5	5	3
uhvatiti	G	81767	5	4	4	5	5	5	4	4	3	5	4	4	4	4	5	4	2	4	5	5	5	4	4	4	4	4	5	5	5	4	5	3	5	5	5	4	4	3	4	5	5	3	4	4	1	4	3	5	3	4	4	5	4	4	4	3	5	5	4	4	3	3	5	4	5	4	2	4	5	3
štititi	G	58441	4	4	4	5	5	5	3	4	3	4	4	4	3	4	5	3	2	3	5	5	5	4	3	4	4	4	4	3	5	3	4	4	5	5	5	4	2	3	4	4	4	3	4	5	1	4	3	5	5	3	3	4	2	3	4	3	5	4	4	4	2	2	5	4	4	4	2	2	3	3
glad	I	32504	4	3	3	5	4	5	3	3	2	5	5	4	2	5	5	3	5	4	5	5	2	4	2	4	4	5	5	5	4	5	3	4	5	5	5	5	3	5	4	3	3	2	2	4	3	5	2	5	4	4	3	5	2	5	5	4	5	4	5	5	5	0	5	5	4	4	3	4	5	4
stoka	I	24113	4	3	1	5	4	5	4	3	4	3	5	3	5	3	5	4	5	3	5	1	2	3	4	2	4	3	5	3	4	2	5	2	5	2	5	4	5	2	5	4	2	2	5	4	5	2	1	5	5	4	5	3	5	3	5	3	5	5	4	1	5	3	5	3	5	1	5	2	5	3
zastara	I	7661	5	2	3	2	5	2	3	1	2	2	2	4	3	1	3	3	3	2	1	4	5	4	3	1	4	1	2	1	4	2	1	1	3	1	5	3	1	1	5	5	5	1	2	2	1	1	5	5	3	2	1	1	1	3	1	1	5	5	3	1	1	1	3	2	3	2	1	1	1	1
materinji	P	3540	2	1	3	3	2	1	3	2	2	2	1	4	5	3	2	2	4	2	1	4	1	3	2	2	4	3	4	2	5	4	3	3	5	2	0	4	1	3	5	3	1	1	2	3	1	2	1	5	5	4	2	2	1	4	1	2	1	3	2	2	3	3	4	4	3	2	2	1	2	3
otočki	P	6750	3	2	1	2	3	1	3	1	3	3	2	3	5	2	2	2	2	2	1	5	5	3	4	2	3	3	4	2	4	3	3	3	5	2	5	2	3	2	5	5	2	1	4	1	5	1	2	5	5	3	2	2	4	3	1	2	1	4	2	1	3	2	4	3	5	4	4	1	1	1
podsjetnik	I	8229	3	3	2	5	3	2	3	2	4	5	1	4	4	4	5	2	3	4	5	5	5	3	3	3	4	5	5	5	5	5	4	3	5	4	5	4	4	5	5	3	3	5	4	4	5	5	3	5	5	4	3	3	2	5	2	2	5	1	3	5	4	5	4	4	4	4	3	3	4	3
vladati	G	81712	4	3	5	3	4	5	3	3	2	4	1	4	1	3	3	4	2	3	1	5	5	5	3	3	4	3	2	4	5	3	3	3	5	4	3	3	2	3	5	4	4	1	4	3	1	3	3	5	3	4	2	3	2	3	5	3	1	5	3	2	2	3	3	4	5	4	4	2	1	4
odgovor	I	290931	4	4	3	5	4	5	2	4	2	5	1	5	4	5	5	3	3	4	5	5	3	4	3	4	4	4	5	5	3	5	4	4	5	5	2	5	4	5	5	3	3	5	2	4	1	5	5	5	3	5	2	4	3	5	5	4	5	2	3	4	5	5	4	5	3	3	3	4	4	4
kemija	I	22312	2	5	4	3	4	5	3	3	3	4	3	4	5	3	3	4	2	3	5	3	5	3	4	3	2	2	3	3	5	3	5	2	3	3	3	3	4	3	5	5	3	1	3	3	1	3	5	5	5	3	2	3	5	3	5	3	5	5	1	1	5	3	3	5	2	2	3	2	1	3
elementaran	P	18404	3	4	2	2	4	3	3	4	1	3	1	3	3	3	3	2	2	3	1	4	1	4	3	2	3	3	2	3	1	3	3	2	4	3	2	3	1	2	4	3	1	1	4	4	1	1	2	5	5	4	2	1	2	2	1	1	1	3	1	1	4	4	3	5	4	3	1	2	3	3
mjerljiv	P	3404	1	3	3	2	3	2	3	2	4	3	4	4	3	3	4	3	3	4	1	5	5	4	2	2	4	2	5	2	4	4	2	2	4	3	3	4	2	2	4	3	2	2	2	3	1	1	1	2	3	3	2	1	2	2	2	2	1	1	4	2	2	1	4	4	3	4	1	1	3	1
slijepac	I	3942	2	3	2	3	3	4	4	2	4	3	5	4	5	3	5	3	5	2	5	5	5	5	4	2	4	3	5	5	5	3	5	3	5	3	5	4	5	3	5	3	3	2	5	4	5	2	2	5	5	4	5	4	5	3	5	2	5	4	5	2	5	3	4	4	5	5	5	1	5	3
predbacivati	G	4185	5	2	5	4	5	1	3	3	1	2	2	4	1	3	4	3	2	3	1	5	5	4	3	3	3	3	2	3	5	3	1	3	4	4	1	3	1	3	4	4	4	2	2	2	1	3	5	5	3	3	3	3	2	3	2	2	3	2	5	3	2	3	3	4	3	5	1	2	3	1
čestitati	G	45432	1	2	3	4	2	4	3	3	3	3	2	4	3	4	5	3	3	3	1	3	1	3	3	4	3	4	5	5	3	4	4	3	5	5	3	4	4	4	5	4	2	4	4	3	1	5	5	5	5	5	3	5	4	4	5	3	4	3	5	4	3	4	5	4	3	1	2	2	4	4
etaža	I	10660	2	3	4	3	3	5	4	2	2	2	5	3	5	3	5	4	5	3	1	5	1	3	4	2	3	3	5	5	3	2	4	3	4	2	5	3	4	3	5	4	5	2	5	4	5	1	3	4	4	4	4	4	5	2	5	2	5	2	4	2	3	2	2	2	5	1	3	2	3	1
bavljenje	I	16185	5	2	4	3	4	3	3	3	1	3	3	4	2	4	3	3	1	2	1	0	5	3	2	3	4	4	4	4	4	3	3	3	3	4	4	4	1	5	4	5	4	1	3	4	1	4	3	5	3	3	2	3	3	2	2	3	1	2	5	4	4	2	3	4	4	1	1	5	4	4
