leksem	vr	frek	24a.01.k	24a.01.č	24a.02.k	24a.02.č	24a.03.k	24a.03.č	24a.04.k	24a.04.č	24a.05.k	24a.05.č	24a.06.k	24a.06.č	24a.07.k	24a.07.č	24a.08.k	24a.08.č	24a.09.k	24a.09.č	24a.10.k	24a.10.č	24a.11.k	24a.11.č	24a.12.k	24a.12.č	24a.13.k	24a.13.č	24a.14.k	24a.14.č	24a.15.k	24a.15.č	24b.01.k	24b.01.č	24b.02.k	24b.02.č	24b.03.k	24b.03.č	24b.04.k	24b.04.č	24b.05.k	24b.05.č	24b.06.k	24b.06.č	24b.07.k	24b.07.č	24b.08.k	24b.08.č	24b.09.k	24b.09.č	24b.10.k	24b.10.č	24b.11.k	24b.11.č	24b.12.k	24b.12.č	24b.13.k	24b.13.č	24b.14.k	24b.14.č	24b.15.k	24b.15.č	24b.16.k	24b.16.č	24b.17.k	24b.17.č	24b.18.k	24b.18.č	24b.19.k	24b.19.č	24b.20.k	24b.20.č
evoluirati	G	5693	4	4	3	4	1	3	2	5	1	3	2	3	4	4	2	3	4	3	1	4	3	4	3	2	3	3	5	2	2	4	3	2	5	2	4	4	4	3	5	3	3	3	2	3	1	5	3	3	2	1	1	2	2	3	4	3	5	3	2	1	3	0	3	4	3	4	1	3	3	3
zapovjedništvo	I	12417	3	1	4	2	3	2	4	1	2	3	1	4	5	3	3	2	4	2	1	3	5	1	4	1	4	4	4	1	4	2	3	2	5	4	1	1	3	3	5	3	2	1	4	2	5	5	1	1	5	2	3	2	5	3	4	3	2	1	5	1	3	4	4	4	5	1	2	1	3	1
prelomiti	G	3377	2	3	4	3	4	4	4	3	3	4	4	3	3	3	5	4	3	4	5	5	5	5	4	4	5	4	5	3	5	4	3	3	2	4	5	3	5	3	5	4	2	2	2	4	1	5	2	4	4	2	2	2	4	4	4	3	5	3	3	1	3	3	5	4	3	4	2	1	3	1
uzajaman	P	9278	4	3	2	3	1	2	2	2	2	3	2	2	4	3	2	4	3	2	1	5	5	5	3	4	4	4	5	5	3	3	3	3	3	3	2	1	2	5	5	4	3	3	1	4	1	5	3	1	2	1	1	2	3	4	3	3	3	3	3	4	4	4	5	3	3	3	2	1	2	2
visokoobrazovan	P	5421	4	3	2	4	1	3	3	2	3	4	3	4	5	4	5	4	5	4	3	5	5	4	4	4	5	4	5	5	4	4	4	4	4	2	5	3	3	1	5	4	2	2	2	5	1	5	4	3	4	2	1	0	5	4	3	4	2	3	5	3	3	3	4	3	3	3	1	3	3	2
obavijestiti	G	39652	3	4	2	4	2	5	3	4	3	3	3	1	3	5	4	4	5	4	3	5	3	3	4	5	4	4	5	5	4	4	3	3	1	5	3	5	3	3	4	5	2	4	3	5	1	1	5	3	3	5	2	5	3	4	4	3	5	1	3	5	5	4	5	4	4	1	2	4	4	4
odmazda	I	4214	3	2	3	1	3	1	2	2	1	2	4	4	4	2	4	2	4	1	1	3	1	1	3	1	3	1	5	1	2	1	2	2	3	1	1	2	1	5	5	3	2	1	4	2	1	5	4	3	1	1	1	3	2	1	2	3	5	1	2	1	2	4	4	5	2	4	1	1	1	1
odbacivanje	I	8015	4	3	3	4	4	3	4	4	1	3	4	5	2	4	4	4	2	4	5	5	5	4	4	3	4	4	2	4	5	3	3	3	5	4	3	4	2	4	5	4	2	2	2	5	1	5	3	2	4	2	2	3	2	3	3	4	4	3	3	4	2	2	5	2	4	4	1	1	2	3
čekati	G	321332	4	5	4	4	3	5	3	4	1	5	2	5	1	5	5	4	5	5	5	5	5	5	4	5	4	5	5	5	5	3	4	4	5	5	5	5	4	5	5	5	3	3	3	5	1	4	2	2	5	5	3	3	4	5	3	4	5	5	3	5	2	3	5	5	4	4	2	1	3	4
prisustvo	I	15431	1	3	3	4	3	4	3	3	2	4	2	5	3	4	3	5	4	4	1	5	5	5	5	4	3	3	5	5	5	3	2	3	5	5	3	4	2	2	5	5	5	2	4	4	1	5	1	2	5	5	2	4	3	4	4	4	5	5	3	5	5	3	5	5	3	4	1	1	2	2
