leksem	vr	frek	05a.01.k	05a.01.č	05a.02.k	05a.02.č	05a.03.k	05a.03.č	05a.04.k	05a.04.č	05a.05.k	05a.05.č	05a.06.k	05a.06.č	05a.07.k	05a.07.č	05a.08.k	05a.08.č	05a.09.k	05a.09.č	05a.10.k	05a.10.č	05a.11.k	05a.11.č	05a.12.k	05a.12.č	05a.13.k	05a.13.č	05a.14.k	05a.14.č	05a.15.k	05a.15.č	05b.01.k	05b.01.č	05b.02.k	05b.02.č	05b.03.k	05b.03.č	05b.04.k	05b.04.č	05b.05.k	05b.05.č	05b.06.k	05b.06.č	05b.07.k	05b.07.č	05b.08.k	05b.08.č	05b.09.k	05b.09.č	05b.10.k	05b.10.č	05b.11.k	05b.11.č	05b.12.k	05b.12.č	05b.13.k	05b.13.č	05b.14.k	05b.14.č	05b.15.k	05b.15.č
licemjeran	P	8469	2	4	2	4	1	4	3	2	1	3	1	4	1	4	2	2	1	4	2	4	1	3	2	4	1	3	1	3	1	2	3	2	1	3	2	1	1	3	5	4	1	3	1	3	5	4	1	3	1	4	5	2	1	0	1	4	5	3	2	4
šutnja	I	23136	2	5	3	5	4	4	5	4	2	4	4	4	4	4	4	2	4	5	4	5	4	5	4	5	5	4	3	4	3	4	3	3	2	4	4	4	5	4	5	4	4	4	5	5	5	4	5	5	2	5	5	4	1	0	5	3	5	3	3	5
glavni	P	514943	1	4	3	5	2	3	2	4	3	5	2	5	3	5	3	3	2	5	3	4	3	4	1	4	3	4	2	4	3	5	3	3	1	4	3	3	2	5	3	0	5	3	5	4	4	4	2	5	1	5	3	2	1	0	1	5	5	4	3	4
zaroniti	G	4718	5	3	4	4	5	3	5	2	3	3	5	3	5	2	3	1	5	3	5	3	4	3	5	3	5	3	5	3	5	3	4	2	5	3	4	4	5	2	5	3	3	4	5	3	5	2	5	3	4	2	4	3	5	0	5	4	5	3	3	4
raniti	G	5887	4	3	4	4	3	4	4	2	4	2	3	4	5	3	3	2	4	4	2	4	4	3	5	3	5	3	5	3	5	3	3	3	4	3	4	3	4	3	5	3	4	3	3	4	5	2	5	3	1	0	3	2	1	0	5	3	5	2	3	3
gostiti	G	7242	3	3	3	3	2	2	3	3	3	1	2	2	4	3	3	1	3	3	4	3	2	1	3	2	4	2	5	3	3	1	2	2	5	3	1	2	3	2	4	1	3	3	3	3	4	2	4	2	3	2	4	3	1	0	1	1	2	2	3	4
blagdanski	P	13662	2	2	3	3	2	2	4	3	1	2	2	3	5	2	3	2	3	3	4	3	2	3	2	2	3	3	4	3	3	2	3	2	2	3	1	2	2	2	3	3	2	2	4	3	3	2	3	2	1	2	5	4	1	0	5	1	3	3	4	4
surov	P	8225	1	2	2	3	1	1	2	1	1	1	1	2	2	1	3	3	2	3	1	2	1	3	1	3	1	2	2	2	1	1	2	3	2	3	1	2	1	1	5	3	5	4	2	2	5	3	2	2	1	1	3	3	1	0	1	1	5	2	3	4
nepovoljan	P	18572	2	4	2	4	2	4	3	1	1	3	1	2	2	3	3	4	1	3	2	3	2	3	4	4	2	3	3	3	2	3	3	4	2	4	2	3	2	3	1	3	5	4	2	3	4	4	1	4	1	5	4	3	1	0	1	3	5	4	2	5
ukrašen	P	3748	4	4	3	4	4	4	5	2	4	4	3	4	5	4	4	4	4	4	4	3	4	4	5	4	4	3	4	3	4	4	3	4	5	4	5	4	3	3	5	3	4	4	3	4	3	4	5	4	5	4	3	3	3	3	5	4	5	2	3	4
zapitati	G	34861	1	4	4	5	5	5	5	4	1	5	4	4	2	0	4	4	5	5	4	5	3	3	5	5	3	3	3	4	2	3	3	4	4	3	2	3	2	2	3	3	5	3	4	4	5	4	5	5	1	5	4	4	3	4	1	5	5	3	3	5
kostim	I	21830	4	3	5	4	5	4	5	3	5	3	5	4	5	4	5	2	5	4	5	3	5	3	5	3	5	3	4	2	5	4	4	3	5	3	5	4	5	2	5	5	5	4	5	3	5	2	3	2	5	2	5	3	5	2	5	5	5	2	5	4
rosa	I	8734	5	4	5	4	5	3	5	3	5	2	5	3	5	3	5	2	5	3	5	3	5	3	5	3	5	3	5	2	4	3	4	2	5	3	5	3	5	3	5	0	3	2	5	4	5	3	5	3	4	2	5	3	5	2	5	3	5	2	5	4
