leksem	vr	frek	12a.01.k	12a.01.č	12a.02.k	12a.02.č	12a.03.k	12a.03.č	12a.04.k	12a.04.č	12a.05.k	12a.05.č	12a.06.k	12a.06.č	12a.07.k	12a.07.č	12a.08.k	12a.08.č	12a.09.k	12a.09.č	12a.10.k	12a.10.č	12a.11.k	12a.11.č	12a.12.k	12a.12.č	12a.13.k	12a.13.č	12a.14.k	12a.14.č	12a.15.k	12a.15.č	12a.16.k	12a.16.č	12a.17.k	12a.17.č	12b.01.k	12b.01.č	12b.02.k	12b.02.č	12b.03.k	12b.03.č	12b.04.k	12b.04.č	12b.05.k	12b.05.č	12b.06.k	12b.06.č	12b.07.k	12b.07.č	12b.08.k	12b.08.č	12b.09.k	12b.09.č	12b.10.k	12b.10.č	12b.11.k	12b.11.č	12b.12.k	12b.12.č	12b.13.k	12b.13.č	12b.14.k	12b.14.č	12b.15.k	12b.15.č	12b.16.k	12b.16.č	12b.17.k	12b.17.č	12b.18.k	12b.18.č	12b.19.k	12b.19.č
uvredljiv	P	9043	1	4	3	4	1	5	1	5	5	4	1	3	3	4	2	3	2	3	1	5	3	4	2	4	2	3	4	3	3	4	5	4	4	5	2	3	2	3	3	4	3	4	1	4	2	4	3	4	1	3	4	4	2	2	2	4	2	3	2	4	1	3	2	4	1	4	1	4	2	4	4	5
šampon	I	10710	5	3	5	4	5	5	5	5	5	5	5	4	5	5	5	4	5	5	5	4	5	5	5	4	5	4	5	4	5	5	5	4	5	5	5	4	5	4	5	3	5	5	5	4	5	4	5	4	5	4	5	3	5	4	5	4	5	4	5	4	5	4	5	5	5	4	5	5	5	4	5	5
neslužben	P	17459	1	5	2	3	1	4	1	5	4	4	1	3	3	4	2	2	1	3	1	3	2	3	3	5	2	3	2	4	2	5	3	4	4	3	3	2	1	4	1	2	3	4	1	3	2	4	4	3	2	4	3	3	1	2	2	4	1	3	2	4	1	3	2	4	1	4	3	4	2	3	1	3
bivati	G	34632	1	3	1	2	5	1	1	1	1	1	1	3	1	2	1	1	2	1	1	2	1	2	2	4	1	3	1	2	1	3	2	1	3	3	1	1	1	4	4	3	3	3	1	1	1	1	3	1	1	2	2	2	1	2	5	2	1	1	1	2	1	2	1	4	1	5	1	4	1	3	2	3
ljubazan	P	15199	2	5	3	4	2	5	2	5	5	5	2	4	2	4	3	3	3	4	1	4	3	3	2	5	3	3	4	4	3	4	4	4	4	4	3	3	2	4	4	3	3	4	1	5	4	5	4	5	1	3	4	3	3	3	4	4	2	3	2	4	2	3	1	4	2	4	1	4	1	2	4	3
okušati	G	11426	2	1	2	3	3	4	1	3	4	2	1	2	2	4	2	1	1	2	1	3	2	3	4	4	3	4	3	3	2	4	4	4	4	4	3	3	3	3	4	2	2	2	2	2	2	2	3	3	2	2	4	3	2	2	2	4	1	3	2	3	2	2	1	3	4	3	2	3	2	2	3	2
lucidan	P	3787	1	1	1	3	3	5	1	2	3	2	1	1	1	4	1	1	1	1	1	3	1	1	2	4	2	2	4	1	1	4	4	4	5	2	1	1	1	3	1	1	3	3	1	2	1	3	2	1	1	2	3	3	2	2	2	2	1	1	1	2	1	2	1	3	1	4	2	3	1	2	3	4
hrabar	P	37565	1	4	3	4	3	5	1	5	4	4	1	4	2	4	1	3	4	5	1	4	2	4	2	4	3	3	5	3	3	5	5	4	4	3	2	3	1	5	3	2	2	4	3	4	1	4	3	5	1	4	4	3	3	3	2	4	1	4	1	4	2	3	3	5	2	3	1	4	1	3	4	4
liječiti	G	41981	5	5	4	4	4	4	3	5	5	5	3	4	4	4	3	4	3	2	2	4	2	3	3	5	4	4	5	3	3	5	5	5	5	3	3	3	3	4	5	4	3	4	4	3	4	5	5	4	4	3	5	4	4	4	4	4	3	3	3	4	3	4	3	5	4	3	3	4	2	3	3	4
uručiti	G	22163	4	2	2	3	5	4	5	5	5	3	4	1	4	4	3	2	2	3	1	3	2	2	4	5	3	3	5	3	3	3	4	5	5	4	3	1	5	3	4	2	3	3	3	3	5	4	4	2	3	2	3	2	4	2	4	4	2	1	4	3	4	3	3	3	3	3	4	4	4	2	5	2
beznačajan	P	6966	1	3	1	4	1	5	1	4	1	2	2	3	1	4	1	2	1	2	1	3	1	2	3	5	1	3	4	3	2	3	5	5	2	3	2	2	1	5	2	3	2	3	1	4	1	3	2	3	1	3	2	3	2	2	3	4	1	3	1	4	1	5	1	4	2	3	2	3	1	4	3	3
siliti	G	5428	2	2	1	2	5	4	4	5	3	2	2	2	1	4	3	2	3	4	1	3	2	3	4	4	2	2	5	4	2	3	3	4	3	4	2	1	2	3	3	3	2	3	2	4	4	2	3	4	1	3	2	3	3	2	5	4	2	3	3	4	2	3	1	5	3	3	2	4	1	3	4	3
registrirati	G	22598	5	4	3	2	4	4	3	4	5	3	3	2	1	4	3	2	4	3	1	4	2	3	3	4	2	3	5	3	1	2	4	4	4	4	1	1	3	4	2	2	3	3	1	4	3	2	3	3	2	2	4	3	2	3	5	5	2	2	3	4	2	3	1	4	2	3	4	3	2	3	1	1
usmrtiti	G	5767	4	2	3	2	5	5	5	4	5	3	4	1	5	2	4	2	5	2	4	2	4	3	4	4	4	3	5	4	3	2	2	2	5	2	3	2	5	3	5	1	4	3	4	3	4	3	5	4	4	2	4	4	5	3	5	3	4	1	3	3	5	4	2	3	4	3	5	3	3	2	5	2
neprimjetan	P	3399	4	2	2	4	5	4	3	4	2	2	2	2	1	3	3	2	2	3	1	2	2	2	4	4	2	3	4	3	2	3	3	4	4	3	2	1	4	4	3	2	3	3	2	4	3	4	3	3	1	3	2	3	2	2	4	5	2	4	2	3	1	3	3	4	2	3	3	3	3	3	3	4
dvorište	I	52223	5	3	5	5	5	5	3	4	5	4	5	5	4	5	5	5	5	3	5	4	5	4	5	5	5	3	5	3	4	5	5	5	5	2	5	3	4	4	5	2	5	4	3	4	5	5	5	5	5	4	5	4	5	3	5	5	5	4	5	4	5	4	5	5	5	4	5	4	5	4	5	4
zamjenjivati	G	12505	5	4	4	4	5	4	4	5	2	3	2	2	2	4	2	3	5	3	2	4	4	3	4	4	3	3	5	4	4	5	2	3	4	3	3	1	3	5	4	4	3	4	3	5	2	4	4	5	2	3	4	3	2	2	4	5	2	5	4	4	2	4	3	4	1	4	3	4	4	3	3	4
mekan	P	17414	5	3	5	5	5	5	3	5	5	4	5	4	4	4	4	3	5	4	5	4	5	5		4	5	4	5	4	3	5	5	4	5	5	4	3	4	4	3	3	4	4	5	4	5	5	5	5	5	4	5	2	5	4	5	5	4	4	5	4	5	4	4	5	5	4	5	4	5	3	5	5
nekadašnji	P	61184	1	3	1	3	1	2	2	5	2	1	2	2	2	4	2	2	2	2	1	3	3	3	3	4	2	3	1	2	2	2	3	4	4	3	2	1	2	3	2	2	2	3	1	3	1	2	3	2	1	2	2	4	1	2	1	4	1	3	1	3	1	3	1	4	1	3	1	3	1	2	1	2
nevažan	P	13205	1	3	2	3	2	5	1	5	2	3	2	4	2	4	2	3	1	4	1	4	2	4	3	5	2	3	2	5	2	4	2	3	3	4	2	1	2	5	2	4	3	4	1	5	1	4	2	5	1	3	2	3	2	3	1	4	1	5	1	4	1	3	2	5	2	4	1	4	1	3	2	4
predsjednički	P	42032	5	4	4	3	3	5	1	5	5	4	4	1	3	3	3	3	4	3	1	4	2	2	4	4	3	3	3	4	2	3	4	3	4	3	2	1	3	2	3	4	3	4	1	5	1	3	2	3	3	3	4	3	3	3	5	4	2	2	4	3	1	3	1	3	1	4	5	4	2	2	2	3
žalostan	P	13080	4	3	5	4	5	4	5	5	2	5	5	3	5	4	4	4	5	4	1	2	3	4	3	5	3	3	5	3	4	3	5	4	5	4	4	1	2	3	4	4	3	4	5	4	5	4	4	4	2	4	5	3	5	3	5	4	3	4	1	4	4	4	5	4	3	3	1	4	2	3	5	5
estetski	P	20143	1	4	4	3	1	5	1	2	2	2	1	2	3	2	2	2	2	3	1	3	1	2	2	4	1	2	2	3	1	4	4	4	4	3	1	1	1	3	2	3	3	4	1	5	1	3	1	2	1	3	4	3	1	2	4	3	1	2	2	3	1	3	1	2	1	4	1	5	1	2	1	3
kandidatura	I	22616	4	4	4	3	5	4	1	5	5	4	4	1	2	3	4	2	5	2	1	3	1	2	4	4	2	3	2	3	1	1	5	4	3	2	2	2	2	1	3	3	4	4	1	4	2	3	2	3	1	3	3	5	1	2	4	4	2	2	3	3	1	3	1	4	4	4	2	4	1	2	2	3
živcirati	G	12826	2	5	2	4	5	5	4	5	2	4	3	5	4	4	3	4	4	4	2	5	2	5	3	5	3	3	4	5	2	5	5	5	4	5	2	4	3	3	4	4	4	4	2	5	1	5	3	5	1	5	4	5	2	3	2	4	1	4	2	4	2	5	2	5	2	3	2	5	1	5	4	5
prenositi	G	112822	5	3	3	4	5	4	4	5	5	4	4	3	4	3	2	2	3	4	3	4	3	2	5	5	3	3	5	4	4	5	5	4	4	4	3	2	5	3	5	4	4	4	3	4	5	5	5	5	4	4	4	3	3	2	5	4	4	5	5	4	5	3	5	5	4	3	5	4	3	4	5	4
motati	G	7208	5	5	3	4	5	5	5	4	5	4	4	2	5	3	4	3	5	3	4	3	4	4	4	5	3	2	5	4	4	4	5	3	4	4	4	2	5	4	5	2	4	3	5	5	5	5	5	5	4	4	3	3	4	3	5	4	5	4	4	2	5	3	4	4	4	3	5	5	5	2	5	3
ultimativan	P	5546	1	3	1	1	1	4	1	2	1	1	1	1	2	3	1	1	1	2	1	2	2	2	3	4	2	2	4	2	2	3	3	3	3	3	2	1	2	3	1	1	2	4	1	3	1	3	3	3	1	3	2	3	4	4	1	3	1	3	2	2	1	3	1	3	2	3	1	2	1	2	1	3
sustići	G	4285	5	2	4	4	5	3	3	4	5	3	3	2	3	2	4	3	5	4	2	2	3	3	4	4	2	3	5	3	2	3	4	4	4	3	2	2	5	2	4	4	3	3	4	4	3	3	4	3	3	2	2	3	3	2	5	4	4	4	4	3	3	3	1	4	3	3	4	3	2	3	4	2
graditi	G	111247	5	4	4	4	5	5	5	4	5	4	5	3	5	3	5	4	5	4	4	4	4	3	5	5	5	3	5	3	3	5	5	5	4	3	3	2	5	3	5	5	4	4	5	4	5	5	5	4	4	3	4	4	4	3	5	4	4	4	4	4	5	4	5	4	3	3	5	4	4	3	4	4
unos	I	32398	4	4	2	4	4	4	4	4	5	2	4	1	2	4	3	3	2	2	1	3	2	2	4	4	2	3	5	3	3	4	4	3	4	4	1	1	4	2	4	4	3	3	3	4	4	4	4	3	3	3	2	3	3	3	4	2	3	4	4	3	1	3	2	3	3	3	5	3	2	2	2	4
gostovati	G	33409	4	3	3	4	4	3	1	4	5	4	3	2	1	3	2	3	4	3	1	2	2	4	5	4	3	3	3	3	3	4	5	4	4	2	2	2	4	2	4	3	2	3	1	3	4	3	3	3	2	3	4	3	3	3	5	5	2	4	3	4	2	4	2	3	2	3	5	4	1	2	3	4
gladovati	G	4352	4	3	3	4	5	5	3	5	5	3	4	2	2	4	3	3	5	3	1	3	2	2	4	4	4	3	3	3	3	3	5	3	5	3	2	4	5	4	5	5	3	3	4	4	5	2	3	5	3	4	5	4	2	3	5	5	3	4	3	4	1	5	4	3	3	3	3	4	2	4	3	4
obnavljanje	I	8894	5	3	2	4	5	4	1	3	1	2	3	1	1	3	2	3	4	3	1	2	3	3	3	4	2	3	5	3	1	2	5	3	4	3	2	2	3	3	2	2	3	3	3	3	3	3	4	4	3	4	3	3	2	3	1	3	3	4	2	4	2	4	2	3	3	3	3	3	2	3	2	4
