leksem	vr	frek	12a.01.k	12a.01.č	12a.02.k	12a.02.č	12a.03.k	12a.03.č	12a.04.k	12a.04.č	12a.05.k	12a.05.č	12a.06.k	12a.06.č	12a.07.k	12a.07.č	12a.08.k	12a.08.č	12a.09.k	12a.09.č	12a.10.k	12a.10.č	12a.11.k	12a.11.č	12a.12.k	12a.12.č	12a.13.k	12a.13.č	12a.14.k	12a.14.č	12a.15.k	12a.15.č	12a.16.k	12a.16.č	12a.17.k	12a.17.č	12b.01.k	12b.01.č	12b.02.k	12b.02.č	12b.03.k	12b.03.č	12b.04.k	12b.04.č	12b.05.k	12b.05.č	12b.06.k	12b.06.č	12b.07.k	12b.07.č	12b.08.k	12b.08.č	12b.09.k	12b.09.č	12b.10.k	12b.10.č	12b.11.k	12b.11.č	12b.12.k	12b.12.č	12b.13.k	12b.13.č	12b.14.k	12b.14.č	12b.15.k	12b.15.č	12b.16.k	12b.16.č	12b.17.k	12b.17.č	12b.18.k	12b.18.č	12b.19.k	12b.19.č
gomilati	G	5506	5	3	2	3	5	2	4	5	5	2	3	4	2	4	3	3	4	3	2	3	4	3	4	5	3	2	5	4	3	3	4	3	4	4	2	2	3	4	4	3	3	3	2	4	4	3	4	2	2	2	3	2	4	2	2	5	2	4	3	3	2	3	3	3	3	3	4	3	5	3	5	3
moguć	P	469369	1	5	1	5	1	4	1	5	1	5	1	5	1	5	2	3	1	4	1	5	2	5	1	5	1	3	3	5	1	5	3	4	4	5	2	3	1	5	3	4	2	4	1	5	1	5	1	3	1	4	4	3	1	4	1	5	1	5	2	3	1	4	1	5	2	3	2	4	2	4	3	3
potpisati	G	110113	5	4	4	5	5	5	5	5	5	3	5	5	5	3	4	4	5	4	4	5	5	4	4	5	5	3	5	4	4	5	5	5	5	5	4	3	3	5	5	4	3	3	4	4	5	5	4	3	4	4	4	3	4	4	4	4	4	4	5	3	5	4	4	4	4	3	5	4	4	5	5	5
književnik	I	23209	5	3	5	3	5	5	5	4	5	4	4	5	5	3	5	4	5	3	3	4	4	4	5	5	5	3	5	4	4	4	5	4	5	4	5	4	2	3	5	4	3	4	4	3	4	4	4	3	5	3	5	3	3	3	5	5	4	3	5	3	4	2	4	4	2	4	5	3	4	2	5	4
nastavnik	I	43130	5	4	5	5	5	5	5	5	5	5	4	5	5	4	5	5	5	3	5	5	4	5	5	5	5	4	5	5	4	4	4	3	5	5	5	5	2	3	5	5	4	4	5	4	5	5	3	5	5	4	5	4	4	3	5	5	5	4	5	3	4	4	5	4	5	3	5	4	5	1	5	5
tradicija	I	100880	1	4	1	3	1	5	2	4	1	3	3	4	4	4	2	3	1	2	1	4	2	2	1	4	1	3	4	3	2	3	3	4	4	5	3	3	1	2	4	4	3	3	1	3	2	4	3	4	2	3	3	3	1	3	1	5	1	3	2	3	1	2	2	4	2	0	1	3	1	3	4	4
povlašten	P	16724	2	5	1	2	1	5	1	4	1	2	1	3	3	3	1	2	2	3	1	3	1	2	1	4	2	2	2	3	1	3	3	4	4	4	3	3	1	3	2	2	3	3	1	3	1	3	2	4	1	2	2	2	2	2	2	4	1	3	1	3	1	1	1	4	2	3	1	3	1	3	1	1
poražavajući	P	3507	1	4	1	2	1	5	1	5	1	1	1	2	2	3	1	2	1	3	1	2	1	3	2	5	2	2	2	3	2	2	2	3	4	3	3	3	2	2	4	2	2	3	1	2	1	3	1	3	2	2	2	2	1	2	2	2	1	2	1	3	1	2	1	3	2	3	2	2	1	3	3	3
plašt	I	5901	5	2	5	2	5	1	5	3	5	2	5	2	5	2	5	2	5	1	5	3	5	3	4	4	5	2	5	3	5	3	5	3	5	2	5	3	5	1	5	1	5	2	5	2	5	4	5	3	5	3	5	2	5	2	5	2	5	3	5	2	5	1	5	4	5	3	5	3	5	2	5	4
trnje	I	7024	5	2	5	2	5	2	5	3	5	3	5	3	5	2	5	3	5	2	5	3	5	3	5	4	5	3	5	3	5	3	5	3	5	5	5	3	5	2	5	1	4	3	5	3	5	2	5	3	5	1	5	2	5	2	5	4	5	2	5	2	5	1	5	3	5	3	5	3	5	1	5	3
odaslati	G	3525	3	3	2	2	3	1	4	2	3	1	1	1	2	4	1	2	2	1	1	1	1	1	4	4	3	2	3	2	2	3	2	2	3	3	3	2	3	4	2	1	2	2	1	2	3	3	2	2	4	2	2	2	1	1	4	3	2	2	2	2	1	2	1	2	4	3	4	3	2	1	2	1
pripisivati	G	15875	1	4	2	3	1	5	1	5	2	2	2	4	2	4	2	2	2	4	1	3	2	3	4	4	2	4	2	3	2	2	2	2	3	4	2	2	1	4	2	2	3	3	1	2	1	3	2	2	1	2	2	2	1	2	1	4	1	4	2	2	1	3	1	3	2	3	1	4	2	2	2	3
usamljenost	I	3493	1	4	3	3	4	4	2	5	5	4	1	5	2	4	2	3	3	4	1	3	2	3	2	4	1	3	4	3	2	4	4	3	4	4	2	2	2	3	3	3	3	3	1	5	1	3	2	3	2	3	3	3	3	2	2	3	2	3	1	3	2	5	2	4	2	3	1	4	1	2	5	4
fin	P	57852	1	4	3	4	5	5	1	5	3	5	3	5	4	5	2	4	2	3	1	5	3	4	2	5	2	3	4	4	1	4	3	3	4	4	3	3	1	3	2	2	3	3	1	4	5	5	2	4	1	4	2	2	3	3	2	4	3	3	3	3	1	3	4	5	2	3	2	3	1	3	4	3
šarmantan	P	7876	1	4	3	4	2	4	1	5	2	3	1	4	2	4	1	3	3	4	2	5	4	4	2	5	2	3	3	3	2	4	4	4	4	4	3	3	1	4	3	3	4	3	1	3	2	4	2	3	1	3	2	2	2	2	1	5	3	3	1	3	1	2	1	4	2	3	2	3	1	2	4	3
čovječji	P	3207	4	3	2	5	1	4	2	4	5	5	3	3	3	2	1	2	5	4	3	3	2	2	4	4	4	3	4	2	1	1	3	2	3	3	4	2	1	3	2	1	4	3	2	3	3	1	2	2	3	2	3	3	2	2	5	2	1	2	1	2	1	1	1	3	2	3	5	2	4	2	3	1
glumiti	G	60476	4	3	5	5	5	4	3	5	3	5	4	5	4	3	2	4	5	4	4	5	4	4	4	5	3	3	5	4	3	5	5	4	4	4	4	3	1	3	4	4	4	4	1	5	4	5	3	3	3	3	2	2	4	3	5	5	1	4	2	3	2	2	4	5	2	3	3	4	3	3	5	5
pokušati	G	245328	2	5	3	5	2	5	1	5	3	5	2	5	2	5	2	4	4	5	1	5	2	4	3	5	2	4	3	4	2	5	5	5	3	5	2	4	2	5	5	5	3	4	1	5	3	5	3	5	2	5	3	4	3	3	5	5	2	4	2	4	2	4	2	5	2	3	2	4	2	5	3	5
kupiti	G	344519	5	5	5	5	5	5	5	5	5	5	4	5	4	5	4	5	5	5	2	5	4	5	4	5	4	4	5	5	3	5	5	5	4	5	4	4	2	4	5	5	4	5	4	5	5	5	4	5	4	5	5	4	5	4	5	5	4	5	3	4	4	4	4	5	4	4	5	5	4	5	5	5
sklizak	P	4365	5	3	4	3	5	4	5	4	5	4	4	3	4	3	3	3	3	2	4	3	5	3	4	4	5	3	5	3	4	4	5	4	4	4	3	2	5	3	5	2	4	3	4	4	4	3	4	2	4	2	4	2	4	3	3	4	4	3	3	3	2	1	4	4	3	3	4	3	4	3	5	3
čunj	I	5988	5	3	5	3	5	3	4	3	5	2	5	3	5	2	5	2	5	2	5	3	5	3	5	4	5	2	5	2	5	3	5	4	5	3	5	2	5	2	5	1	5	3	5	2	5	3	5	2	5	1	5	1	5	2	5	1	5	3	5	2	5	1	5	4	4	3	5	2	5	2	5	3
ulaz	I	85305	5	4	5	5	5	5	4	5	5	4	4	5	5	5	5	5	5	4	4	5	5	5	4	5	4	4	5	4	5	5	5	5	5	5	5	4	3	4	5	4	3	4	5	5	5	5	5	5	5	4	5	4	5	4	5	5	5	4	4	4	5	2	5	5	4	3	5	4	4	5	5	5
bočni	P	17452	5	4	3	3	5	4	3	5	5	2	4	4	4	4	4	4	5	3	4	4	4	4	5	4	4	4	5	4	4	4	5	5	5	5	5	2	5	3	5	2	3	3	3	3	5	4	4	3	4	3	4	2	4	3	3	4	4	3	3	3	5	1	5	5	4	3	5	3	4	2	5	3
voljan	P	13974	1	3	2	4	1	5	1	4	3	3	2	4	2	4	3	3	1	4	1	4	1	2	3	5	1	3	4	4	2	5	3	4	4	4	3	2	1	5	3	3	3	4	1	4	2	4	2	4	1	2	3	3	3	2	2	4	1	4	1	3	1	4	2	3	2	3	1	4	1	4	3	3
doktrina	I	8914	2	1	1	1	1	4	1	3	2	2	1	1	1	4	2	1	1	3	1	2	1	1	3	3	1	2	2	1	1	2	3	3	3	2	3	1	1	3	2	2	3	4	1	3	1	3	1	1	1	2	2	2	1	2	4	2	1	1	2	2	1	1	1	2	1	3	2	2	2	1	1	1
prodavačica	I	8023	5	5	5	4	5	5	4	5	5	5	5	5	5	5	5	4	5	5	5	5	5	4	5	5	5	3	5	4	4	5	5	5	5	4	5	4	4	4	5	4	4	4	5	4	5	5	5	5	5	4	5	4	5	4	5	5	5	4	5	4	5	3	5	5	5	3	5	4	5	4	5	5
