leksem	vr	frek	27a.01.k	27a.01.č	27a.02.k	27a.02.č	27a.03.k	27a.03.č	27a.04.k	27a.04.č	27a.05.k	27a.05.č	27a.06.k	27a.06.č	27a.07.k	27a.07.č	27a.08.k	27a.08.č	27a.09.k	27a.09.č	27a.10.k	27a.10.č	27a.11.k	27a.11.č	27a.12.k	27a.12.č	27a.13.k	27a.13.č	27a.14.k	27a.14.č	27a.15.k	27a.15.č	27b.01.k	27b.01.č	27b.02.k	27b.02.č	27b.03.k	27b.03.č	27b.04.k	27b.04.č	27b.05.k	27b.05.č	27b.06.k	27b.06.č	27b.07.k	27b.07.č	27b.08.k	27b.08.č	27b.09.k	27b.09.č	27b.10.k	27b.10.č	27b.11.k	27b.11.č	27b.12.k	27b.12.č	27b.13.k	27b.13.č	27b.14.k	27b.14.č	27b.15.k	27b.15.č
pokaz	I	7182	2	4	5	5	5	5	4	4	5	4	5	5	5	5	5	5	5	4	5	5	5	5	5	4	5	5	5	4	5	4	5	5	5	5	5	5	5	4	5	4	5	3	4	5	5	5	5	2	5	1	5	4	4	2	5	5	5	5	5	5
zapamtiti	G	23423	2	3	3	5	1	5	1	4	2	5	2	5	4	4	3	5	2	5	1	5	3	5	3	5	4	5	3	4	4	4	5	5	3	5	5	5	3	4	3	4	3	4	4	5	4	4	2	5	1	4	4	5	3	3	3	5	2	4	2	4
hoditi	G	3346	4	1	1	1	3	4	3	1	4	2	4	5	5	5	4	5	3	1	2	1	1	2	5	5	3	5	4	3	5	4	5	4	1	3	2	1	4	3	5	1	3	3	2	2	3	2	2	2	2	1	2	3	3	2	2	1	3	2	4	3
stan	I	273375	5	5	4	5	5	4	3	3	5	4	5	4	5	4	5	4	5	3	4	4	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	3	5	4	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5
pouzdati	G	3566	1	2	1	4	1	4	1	3	1	4	2	3	3	3	2	4	2	5	1	4	1	4	2	3	3	5	3	3	4	2	1	5	2	4	3	5	2	4	2	2	2	3	3	4	1	4	1	4	1	3	3	4	1	2	2	3	2	2	2	3
nebrojen	P	5846	1	1	2	3	1	3	1	2	1	4	2	3	3	2	1	1	1	4	2	2	1	3	2	3	2	5	3	3	4	2	3	5	1	3	2	1	2	2	1	2	3	3	3	3	1	1	2	3	1	1	4	3	2	2	2	1	3	3	1	4
privatan	P	176913	2	3	1	4	2	3	2	4	3	4	2	4	4	3	3	5	2	4	1	5	2	3	3	5	2	5	4	4	4	2	4	5	4	5	4	4	2	3	3	3	2	4	3	5	1	4	1	5	1	3	5	3	4	3	3	3	3	1	2	3
farsa	I	5645	1	2	2	2	3	3	2	2	1	1	4	2	3	1	1	2	1	3	5	1	1	2	3	2	2	4	3	2	3	2	1	1	3	3	2	2	1	2	2	2	2	2	2	2	2	1	1	3	1	1	4	2	1	2	4	1	0	1	1	1
povjerenik	I	26703	3	2	5	3	3	2	2	1	4	3	5	1	3	1	4	1	2	3	2	2	2	3	4	2	2	3	4	2	4	1	3	1	5	3	2	2	2	2	2	1	4	2	2	2	4	1	2	3	3	1	4	2	2	2	5	2	3	1	3	3
kvota	I	15636	2	4	3	4	2	3	2	2	2	3	5	2	5	2	2	3	2	2	3	3	3	3	2	2	2	4	4	3	5	2	1	3	5	3	2	2	2	3	1	2	0	3	2	4	4	2	2	3	1	1	3	3	2	2	4	3	5	1	4	4
odstajati	G	3808	2	4	4	4	3	4	2	3	3	3	4	3	4	1	2	4	4	3	4	4	3	5	2	3	5	5	4	4	5	3	5	5	2	3	4	4	3	3	2	1	3	3	2	4	4	3	3	3	1	2	4	2	4	3	1	1	2	1	2	3
centralan	P	42231	3	3	3	3	3	3	2	4	4	3	3	2	5	2	3	1	3	3	5	4	2	4	2	3	5	4	4	4	5	1	5	4	5	4	3	4	3	4	5	2	3	3	4	5	3	1	5	4	2	1	4	3	3	2	3	3	4	2	2	3
samostojeći	P	4019	2	2	3	2	4	2	3	2	4	2	3	2	5	3	3	3	4	3	5	5	2	3	4	3	5	5	4	3	4	1	5	5	5	3	3	4	3	3	5	2	3	0	3	5	3	1	3	3	3	1	3	3	2	2	1	2	4	2	4	4
javan	P	407994	3	5	2	4	3	4	2	4	3	4	4	4	5	4	4	5	2	5	3	5	3	5	3	4	5	5	4	4	4	3	4	5	2	4	4	4	2	4	3	3	2	3	2	5	2	3	1	2	2	1	4	5	3	2	3	4	3	2	2	3
