leksem	vr	frek	21a.01.k	21a.01.č	21a.02.k	21a.02.č	21a.03.k	21a.03.č	21a.04.k	21a.04.č	21a.05.k	21a.05.č	21a.06.k	21a.06.č	21a.07.k	21a.07.č	21a.08.k	21a.08.č	21a.09.k	21a.09.č	21a.10.k	21a.10.č	21a.11.k	21a.11.č	21a.12.k	21a.12.č	21a.13.k	21a.13.č	21a.14.k	21a.14.č	21a.15.k	21a.15.č	21b.01.k	21b.01.č	21b.02.k	21b.02.č	21b.03.k	21b.03.č	21b.04.k	21b.04.č	21b.05.k	21b.05.č	21b.06.k	21b.06.č	21b.07.k	21b.07.č	21b.08.k	21b.08.č	21b.09.k	21b.09.č	21b.10.k	21b.10.č	21b.11.k	21b.11.č	21b.12.k	21b.12.č	21b.13.k	21b.13.č	21b.14.k	21b.14.č	21b.15.k	21b.15.č	21b.16.k	21b.16.č	21b.17.k	21b.17.č	21b.18.k	21b.18.č	21b.19.k	21b.19.č	21b.20.k	21b.20.č
shvatiti	G	271900	2	4	3	5	1	5	2	5	3	4	5	4	2	5	3	5	2	5	1	5	1	4	1	2	2	4	0	0	2	5	3	3	3	0	4	3	4	2	1	5	3	4	2	5	3	5	5	3	4	5	3	4	2	5	4	4	3	4	2	4	1	5	3	3	3	5	2	3	1	4
sunčanje	I	7771	4	4	4	3	5	5	5	3	5	1	5	2	4	2	5	4	3	3	5	3	5	4	4	3	3	3	0	0	4	3	3	3	2	0	5	1	5	3	4	5	5	4	3	3	5	4	1	4	5	5	5	2	4	2	5	5	5	4	5	2	4	3	3	3	4	5	4	2	5	3
pominjati	G	3928	3	1	3	2	1	1	2	2	1	1	2	1	2	2	3	3	2	3	1	1	5	3	1	1	2	1	0	0	2	1	3	3	4	0	4	3	3	3	1	1	3	4	1	1	3	2	2	1	2	2	1	1	1	1	4	4	1	1	1	2	1	2	3	3	4	4	3	4	1	2
prakticirati	G	16219	3	3	5	4	2	3	3	3	3	3	3	3	3	3	2	4	2	4	3	3	5	5	3	2	3	3	0	0	3	3	3	3	4	0	4	2	4	5	3	4	3	4	2	1	4	2	3	3	4	4	1	3	4	3	3	3	3	1	2	4	1	4	3	3	4	5	2	3	2	3
sabrati	G	5334	3	1	3	4	2	1	3	3	2	1	3	2	3	2	4	4	3	3	3	2	3	5	2	0	4	3	0	0	3	2	3	3	5	0	4	3	3	4	4	4	3	2	3	3	3	2	4	1	2	3	2	1	4	1	4	4	2	1	1	2	1	4	3	3	4	5	2	2	1	3
biografski	P	3881	4	2	3	4	3	2	3	4	4	1	5	3	4	3	3	4	1	3	3	2	5	4	2	1	2	2	0	0	3	2	2	3	4	0	5	1	5	5	4	4	3	4	1	1	3	3	5	2	2	2	2	1	1	2	3	3	2	2	1	3	2	4	3	3	5	4	4	2	1	3
šteta	I	174460	5	4	2	3	3	4	4	5	5	3	2	3	3	5	4	4	4	4	1	4	5	5	2	4	1	5	0	0	3	4	4	3	3	0	5	1	4	4	2	5	5	4	1	3	3	3	4	3	3	3	5	2	2	3	4	4	4	4	3	3	4	4	3	3	4	5	2	4	1	3
drek	I	5174	5	1	3	2	5	5	5	4	5	1	1	1	4	1	5	4	5	5	5	3	5	4	5	5	5	4	0	0	5	2	5	3	4	1	5	2	5	3	5	5	5	4	2	1	5	5	5	4	5	3	5	5	5	1	4	4	5	3	5	5	5	3	3	3	5	3	5	4	3	1
letjeti	G	43359	5	4	5	3	4	3	5	4	5	1	5	3	4	5	5	5	5	4	5	2	5	4	2	3	3	3	0	0	4	3	3	3	3	0	5	2	5	3	3	4	5	4	5	4	5	5	4	2	5	5	4	2	5	3	4	4	5	3	5	3	4	3	4	4	5	5	4	3	5	3
zaletjeti	G	6563	4	4	5	4	4	3	5	4	4	1	2	3	4	5	4	4	4	2	2	4	5	3	2	0	2	3	0	0	3	3	3	3	3	0	4	3	5	4	3	3	5	4	2	2	5	5	3	3	2	2	2	1	5	3	3	3	5	4	3	2	3	1	4	4	5	5	3	2	3	3
tvornički	P	9954	4	3	5	3	3	2	4	3	3	1	2	3	3	2	4	4	2	3	3	2	4	3	3	4	3	3	0	0	2	4	3	2	5	0	5	1	5	3	4	4	5	4	1	1	5	3	2	3	2	2	2	1	1	3	5	5	4	3	1	2	3	3	4	4	5	4	4	2	1	3
dopuštenje	I	10053	4	3	3	4	2	4	3	4	4	2	1	4	3	4	3	5	2	4	3	3	3	4	2	3	2	3	0	0	3	2	3	3	4	0	5	2	3	4	2	3	1	4	3	3	2	3	2	1	5	5	3	3	1	3	4	3	1	2	2	3	1	5	3	3	5	5	3	3	1	3
utvrditi	G	91831	3	2	4	4	3	2	2	4	3	3	1	3	3	4	3	4	3	4	1	4	3	4	2	2	2	3	0	0	2	3	3	3	3	0	4	3	4	3	3	5	1	4	1	3	2	3	3	2	2	5	3	2	1	3	4	3	2	3	1	3	1	5	3	3	4	5	2	2	1	2
izliti	G	5442	4	3	3	3	3	2	5	4	4	2	2	3	4	3	4	5	4	4	5	3	5	5	4	4	4	2	0	0	4	2	3	3	3	0	4	2	5	4	4	5	1	4	5	3	5	3	3	2	4	3	2	2	5	3	3	4	5	3	5	4	3	3	3	3	4	5	2	3	5	2
posmrtni	P	5943	4	2	2	3	2	3	4	3	5	1	5	2	2	3	2	3	2	3	2	2	4	3	3	0	4	2	0	0	2	3	2	2	5	0	5	1	2	5	1	3	1	4	1	1	4	3	3	1	1	1	1	1	1	2	4	0	3	3	1	1	2	3	3	3	5	4	2	2	1	1
kriti	G	49909	4	3	4	3	4	3	5	3	4	1	5	5	3	3	3	3	3	3	2	2	3	5	3	4	2	3	0	0	3	2	3	3	4	0	4	2	4	3	2	4	1	4	1	3	3	3	2	2	4	2	2	1	5	3	3	3	4	3	3	4	2	3	3	3	3	5	1	2	3	2
odsutan	P	6124	4	2	5	4	4	4	5	4	4	3	5	4	4	4	4	4	2	4	1	3	2	3	0	0	2	4	0	0	1	3	3	3	3	0	5	2	4	4	2	4	1	3	2	2	3	3	0	0	2	3	3	2	1	2	4	4	3	3	2	3	4	4	3	3	4	5	2	2	1	2
nalagati	G	12502	3	1	3	4	3	2	3	3	2	2	2	2	4	3	3	3	3	3	3	2	5	4	2	1	4	2	0	0	1	1	2	3	2	0	3	1	4	4	2	1	1	3	3	2	3	2	3	1	1	3	2	1	1	2	3	4	2	2	1	2	1	2	2	2	4	4	1	1	1	1
riblji	P	11442	5	4	4	1	4	2	5	3	2	1	5	5	3	2	5	4	4	3	5	3	5	3	4	2	5	4	0	0	4	3	2	3	3	0	5	2	5	2	5	3	1	3	5	1	5	3	3	3	4	1	5	3	2	2	2	3	5	4	2	3	5	2	2	2	5	4	5	3	2	1
klupski	P	30002	3	2	2	2	3	3	4	2	2	1	5	2	3	2	4	3	3	2	5	2	5	3	3	3	3	2	0	0	3	3	3	4	5	0	4	3	4	3	4	5	1	3	1	1	5	3	2	1	2	2	3	1	1	3	4	5	2	2	2	2	2	1	2	2	5	4	2	2	1	2
atelje	I	3715	5	3	5	3	5	1	5	2	4	1	5	2	3	2	4	3	3	2	5	2	5	3	2	0	2	1	0	0	2	1	3	3	5	0	1	1	5	2	4	4	5	3	3	2	5	2	5	1	4	3	4	2	5	2	3	3	1	1	4	3	5	3	3	4	5	3	5	2	2	3
samouvjeren	P	4298	5	3	5	3	1	4	2	4	3	1	5	5	4	4	3	4	2	3	2	3	5	5	2	2	1	3	0	0	5	3	3	4	5	0	4	2	4	3	2	3	1	5	3	3	3	4	4	2	4	3	3	2	1	2	2	2	1	1	1	2	2	5	3	3	4	5	1	2	3	2
telekom	I	13757	4	3	5	3	5	1	4	3	3	1	3	2	3	3	3	3	2	2	5	2	5	5	4	1	2	4	0	0	2	3	2	2	2	0	5	2	2	1	4	3	3	3	1	1	5	3	3	0	1	1	2	1	1	3	5	5	2	2	4	2	3	4	3	3	5	1	3	2	2	1
vrijedan	P	157776	5	2	3	3	2	4	1	5	3	2	4	3	4	4	4	4	2	3	5	4	4	5	2	3	1	4	0	0	4	3	3	4	4	0	4	2	5	3	2	3	1	3	2	3	2	4	4	2	3	5	3	4	3	4	4	4	1	2	2	3	3	5	4	4	3	5	2	2	1	2
uhapsiti	G	3943	5	1	5	4	3	2	5	3	4	1	1	1	4	3	4	4	2	2	5	2	5	5	5	1	3	3	0	0	3	5	3	3	3	0	5	1	5	4	5	4	5	3	2	1	5	2	5	3	4	1	4	1	5	1	3	3	4	1	5	3	3	4	3	2	5	3	5	2	5	2
svidjeti	G	47041	5	3	3	3	1	4	3	5	4	3	4	5	2	3	4	5	2	4	4	5	4	5	2	2	2	4	0	0	1	4	4	4	3	0	4	3	2	4	1	5	1	3	1	3	5	5	4	3	5	5	3	4	1	5	2	4	2	4	2	3	1	5	3	3	3	5	2	4	1	4
prisutan	P	114228	5	2	4	4	4	5	5	5	4	4	5	5	2	5	4	4	3	3	2	3	4	5	3	4	2	5	0	0	1	3	4	3	2	4	4	4	4	4	1	4	3	3	3	3	5	3	2	2	5	5	4	3	3	4	3	4	2	2	2	3	4	5	3	3	4	5	2	3	1	3
geografski	P	12984	4	4	3	3	3	3	2	3	3	2	4	2	3	2	4	4	1	3	5	2	5	5	4	2	2	3	0	0	2	2	2	2	3	0	5	2	2	3	5	3	1	3	3	3	5	3	2	1	4	4	3	2	1	3	2	2	3	2	1	3	4	3	3	3	5	4	3	2	1	3
