leksem	vr	frek	22a.01.k	22a.01.č	22a.02.k	22a.02.č	22a.03.k	22a.03.č	22a.04.k	22a.04.č	22a.05.k	22a.05.č	22a.06.k	22a.06.č	22a.07.k	22a.07.č	22a.08.k	22a.08.č	22a.09.k	22a.09.č	22a.10.k	22a.10.č	22a.11.k	22a.11.č	22a.12.k	22a.12.č	22a.13.k	22a.13.č	22a.14.k	22a.14.č	22a.15.k	22a.15.č	22b.01.k	22b.01.č	22b.02.k	22b.02.č	22b.03.k	22b.03.č	22b.04.k	22b.04.č	22b.05.k	22b.05.č	22b.06.k	22b.06.č	22b.07.k	22b.07.č	22b.08.k	22b.08.č	22b.09.k	22b.09.č	22b.10.k	22b.10.č	22b.11.k	22b.11.č	22b.12.k	22b.12.č	22b.13.k	22b.13.č	22b.14.k	22b.14.č	22b.15.k	22b.15.č
višemjesečni	P	4791	3	4	3	3	2	2	3	3	5	3	3	3	5	4	5	1	3	2	2	3	2	4	1	4	2	2	5	5	2	2	2	4	2	2	3	2	3	3	5	4	4	3	4	3	5	3	0	4	3	3	2	3	2	3	3	4	5	5	2	1
trzati	G	3431	5	4	4	3	5	2	5	4	5	4	4	2	4	4	4	4	3	3	4	4	5	3	5	4	4	4	3	4	3	2	3	4	4	4	4	3	4	4	5	3	4	3	3	3	3	3	5	2	4	4	3	1	3	3	3	4	4	5	1	1
jednogodišnji	P	9600	3	4	5	3	1	2	3	3	5	3	5	4	4	4	5	3	3	2	2	4	2	3	1	4	3	1	4	5	2	2	4	3	5	3	3	3	3	3	5	4	4	2	4	3	5	3	5	4	3	3	2	3	3	3	4	5	5	5	2	1
odustajati	G	21442	2	5	4	4	3	3	3	4	3	5	3	5	4	3	1	4	3	4	3	5	5	4	1	4	3	5	5	5	2	4	3	4	4	5	2	4	3	4	5	3	4	4	2	4	2	4	5	4	2	4	2	1	2	4	5	4	4	5	1	2
častiti	G	6585	5	5	5	4	2	3	4	4	5	4	2	3	4	5	1	5	3	4	4	5	5	4	1	4	2	4	3	5	3	3	2	2	2	5	2	3	4	4	4	3	4	3	3	4	5	5	4	4	4	4	2	2	2	3	3	2	4	5	1	3
nekorektan	P	3289	2	3	2	0	1	2	1	3	4	5	4	2	3	4	5	3	2	5	1	3	1	3	1	4	3	4	5	4	1	4	2	4	4	3	2	4	3	4	4	2	2	3	2	3	2	4	5	3	1	4	2	3	2	2	3	4	3	5	1	3
sportski	P	189350	3	3	4	4	2	1	4	4	5	4	3	3	3	5	1	4	3	4	4	5	1	3	1	4	4	4	5	4	4	4	3	3	2	3	3	3	4	5	4	4	3	2	4	3	4	4	4	4	2	5	3	2	3	3	3	4	5	5	3	4
opasti	G	5339	2	3	2	4	5	3	3	3	3	3	4	4	5	3	4	4	3	2	5	5	5	4	5	5	4	4	3	5	1	1	4	5	4	1	4	4	4	3	5	4	4	2	4	2	3	2	5	3	1	1	3	3	3	4	4	2	5	5	1	2
pogoršati	G	10683	1	2	3	3	2	1	3	4	5	5	3	5	5	4	1	1	4	4	2	5	3	3	1	4	4	4	4	5	2	3	3	4	3	4	3	4	3	4	4	3	3	3	3	4	3	2	5	2	1	4	2	3	1	4	5	4	5	5	1	2
promil	I	10160	5	3	5	3	1	1	2	3	5	4	5	3	4	4	5	2	3	2	3	4	5	3	4	3	4	1	5	5	5	2	4	5	1	4	2	2	4	4	4	2	4	2	3	2	4	3	5	2	4	4	3	4	1	4	3	3	5	5	2	2
vjenčanica	I	6488	5	2	5	3	3	2	5	2	5	4	5	3	5	4	5	3	5	1	5	4	5	3	5	3	5	3	5	5	5	2	3	2	1	3	4	2	5	3	3	3	5	3	5	2	5	2	5	1	5	3	5	3	5	3	3	1	5	5	5	3
