leksem	vr	frek	29a.01.k	29a.01.č	29a.02.k	29a.02.č	29a.03.k	29a.03.č	29a.04.k	29a.04.č	29a.05.k	29a.05.č	29a.06.k	29a.06.č	29a.07.k	29a.07.č	29a.08.k	29a.08.č	29a.09.k	29a.09.č	29a.10.k	29a.10.č	29a.11.k	29a.11.č	29a.12.k	29a.12.č	29a.13.k	29a.13.č	29a.14.k	29a.14.č	29a.15.k	29a.15.č	29b.01.k	29b.01.č	29b.02.k	29b.02.č	29b.03.k	29b.03.č	29b.04.k	29b.04.č	29b.05.k	29b.05.č	29b.06.k	29b.06.č	29b.07.k	29b.07.č	29b.08.k	29b.08.č	29b.09.k	29b.09.č	29b.10.k	29b.10.č	29b.11.k	29b.11.č	29b.12.k	29b.12.č	29b.13.k	29b.13.č	29b.14.k	29b.14.č	29b.15.k	29b.15.č
ogorčen	P	8204	2	5	2	4	2	4	3	2	2	3	3	4	2	4	2	4	3	4	1	3	1	3	4	3	4	4	4	3	1	3	3	5	3	3	3	2	2	3	2	2	5	2	2	3	1	3	2	3	4	2	5	3	1	4	5	2	3	3	2	1
usporedan	P	4691	2	4	3	2	3	5	4	4	3	4	5	4	1	4	4	4	1	3	1	3	1	5	3	2	3	4	3	4	1	1	2	5	5	0	4	2	1	3	1	3	5	2	3	2	3	4	3	3	2	3	5	2	5	4	3	3	3	3	5	4
zaskočiti	G	3059	4	3	4	3	5	4	3	3	2	2	4	4	5	4	5	4	4	3	4	4	3	4	4	4	4	4	4	3	3	2	2	4	4	3	4	4	3	3	2	2	5	1	2	3	2	3	3	2	5	2	4	3	4	2	5	5	4	3	5	1
ozbiljnost	I	11636	4	3	1	5	4	5	4	4	2	5	2	3	3	5	5	5	1	4	1	5	2	5	2	5	5	5	4	5	1	4	2	5	5	4	3	2	1	5	3	2	2	1	2	2	1	4	4	4	1	4	4	5	1	4	5	5	3	4	5	5
obalni	P	12822	5	3	5	3	5	4	0	0	5	3	5	3	5	2	1	2	5	2	5	3	3	4	5	5	5	4	5	1	2	1	2	5	5	4	4	3	4	3	2	3	5	4	3	3	2	3	4	2	4	1	4	2	5	3	5	2	4	3	4	2
izgledan	P	13271	4	3	2	3	2	2	1	1	1	1	2	3	1	3	1	2	1	2	1	3	4	5	1	2	4	3	3	2	1	1	5	3	4	4	4	3	2	3	2	2	5	4	4	2	2	3	3	2	2	2	1	1	2	1	1	2	3	3	2	1
isprati	G	10137	3	3	4	4	5	3	0	0	5	4	2	3	5	4	3	4	5	2	4	4	3	5	3	3	5	5	4	5	4	4	2	4	5	5	3	3	2	4	3	3	5	1	5	2	2	3	4	3	4	3	3	3	5	4	5	5	4	4	5	5
pobrati	G	7251	3	4	3	3	5	5	4	4	3	2	3	4	5	3	5	5	5	3	3	4	5	5	4	3	5	3	4	5	3	2	5	3	5	5	4	2	2	3	4	2	5	2	1	0	2	3	3	2	5	5	4	3	4	3	3	3	3	2	5	4
sićušan	P	3661	3	2	5	4	5	3	4	3	5	4	5	4	5	3	4	4	5	3	4	3	5	5	3	4	4	2	4	3	1	5	5	3	5	5	5	4	4	3	5	2	5	3	2	3	4	4	3	3	4	1	5	5	5	3	5	5	4	4	5	2
krv	I	149641	4	4	5	5	5	4	5	4	5	4	5	4	5	3	4	4	5	4	5	4	5	5	5	4	4	4	5	3	5	5	5	5	5	5	4	3	5	4	1	3	5	3	3	2	5	3	5	3	5	4	5	2	5	3	5	5	4	4	5	4
vlakno	I	14123	3	3	4	4	3	3	3	3	5	1	4	4	4	2	2	3	5	2	3	4	1	3	5	3	4	3	5	2	5	1	5	4	5	5	2	4	5	3	2	4	5	5	2	0	4	4	5	2	4	1	5	3	3	2	5	5	4	3	4	1
partnerski	P	12431	5	4	4	4	2	2	2	4	3	3	3	4	4	3	1	2	3	3	2	4	5	5	5	4	3	4	4	3	3	1	5	2	5	4	3	3	3	4	4	4	5	5	2	3	2	4	5	4	4	2	4	3	3	3	4	2	3	3	4	3
