leksem	vr	frek	18a.01.k	18a.01.č	18a.02.k	18a.02.č	18a.03.k	18a.03.č	18a.04.k	18a.04.č	18a.05.k	18a.05.č	18a.06.k	18a.06.č	18a.07.k	18a.07.č	18a.08.k	18a.08.č	18a.09.k	18a.09.č	18a.10.k	18a.10.č	18a.11.k	18a.11.č	18a.12.k	18a.12.č	18a.13.k	18a.13.č	18a.14.k	18a.14.č	18a.15.k	18a.15.č	18b.01.k	18b.01.č	18b.02.k	18b.02.č	18b.03.k	18b.03.č	18b.04.k	18b.04.č	18b.05.k	18b.05.č	18b.06.k	18b.06.č	18b.07.k	18b.07.č	18b.08.k	18b.08.č	18b.09.k	18b.09.č	18b.10.k	18b.10.č	18b.11.k	18b.11.č	18b.12.k	18b.12.č	18b.13.k	18b.13.č	18b.14.k	18b.14.č	18b.15.k	18b.15.č	18b.16.k	18b.16.č
zagrijan	P	5005	5	4	5	3	4	3	4	5	3	4	1	5	5	4	4	2	5	5	3	3	3	3	5	4	4	2	3	3	2	2	4	4	3	4	4	4	2	4	4	4	4	3	4	3	5	3	3	3	4	3	2	3	3	3	2	0	4	3	4	3	3	3
studentski	P	49032	4	5	4	5	0	3	3	4	4	5	1	4	4	5	5	4	1	5	4	5	2	5	3	4	5	4	4	5	2	5	3	5	4	5	5	5	4	5	2	4	4	2	3	4	5	5	5	5	4	5	4	4	2	3	2	0	5	5	3	5	4	5
davan	P	33077	3	1	3	3	3	3	3	4	2	3	1	4	1	4	3	4	1	3	2	2	4	2	1	2	3	5	1	1	1	1	2	3	3	3	4	5	2	2	1	3	3	2	3	3	4	3	3	4	2	2	3	4	1	2	2	0	3	1	1	4	1	4
proračunski	P	25153	1	1	2	4	3	3	3	3	2	1	1	2	1	2	3	1	1	2	1	1	4	1	1	2	2	3	2	2	1	1	3	3	2	3	3	2	3	3	1	3	3	2	2	3	2	2	3	3	3	2	2	2	1	1	2	2	1	1	1	1	4	2
stablo	I	34117	5	4	5	3	5	3	5	5	5	4	5	5	5	2	2	5	5	5	5	2	5	2	5	3	4	2	4	4	4	4	5	5	5	4	5	3	4	2	5	3	5	3	5	4	5	4	5	5	5	5	4	4	5	3	5	3	5	5	5	4	5	4
menadžer	I	47691	3	5	4	3	5	3	5	4	4	2	3	5	5	2	4	5	2	4	5	3	1	2	1	2	3	4	2	1	5	2	4	3	5	4	5	3	3	4	5	3	4	3	2	2	5	2	4	3	4	3	4	3	5	4	5	2	5	2	3	3	5	3
kratak	P	232969	5	5	3	5	5	3	4	5	2	4	5	5	5	3	2	5	5	5	5	5	5	4	5	4	5	2	3	3	3	3	4	5	3	4	5	5	2	3	1	3	3	3	3	3	5	4	5	5	4	4	4	4	4	4	2	3	5	3	4	3	1	4
puding	I	3597	5	3	4	2	3	3	5	5	5	4	5	5	5	4	5	5	5	5	5	5	1	2	5	4	4	5	4	4	4	4	5	3	5	4	5	4	5	5	5	3	5	3	5	5	5	4	5	4	5	5	5	4	5	3	5	3	5	1	4	3	5	3
dobaciti	G	5037	3	4	4	3	1	3	4	5	3	3	5	4	3	2	2	1	2	5	3	3	5	3	5	3	4	4	2	2	2	3	3	4	4	4	4	3	3	5	4	3	3	2	4	3	5	5	4	4	3	3	2	4	3	3	3	3	3	3	3	2	4	4
tragati	G	12261	3	2	3	2	3	3	3	4	2	2	5	4	1	1	1	5	3	5	2	2	4	2	4	3	3	4	1	1	3	2	2	4	2	4	3	4	2	5	3	4	3	3	4	3	4	3	4	4	3	1	4	3	2	1	3	2	3	2	3	2	4	4
krokodil	I	3858	5	2	5	2	5	4	5	4	5	3	5	4	5	2	5	5	5	4	5	1	2	4	5	3	3	3	4	2	2	1	5	2	5	4	5	1	5	2	5	5	5	2	5	3	5	3	4	4	5	2	4	3	5	1	3	0	5	1	5	2	5	2
višenamjenski	P	5207	1	3	5	2	3	2	3	5	1	2	1	3	1	1	3	5	3	4	3	2	5	3	2	4	2	2	3	3	1	2	2	3	3	3	5	5	3	4	2	4	3	2	4	4	4	4	4	4	2	2	4	3	1	1	3	3	5	1	2	2	3	3
ocjenjivati	G	28373	3	5	5	5	3	5	4	5	2	4	5	5	5	4	4	5	3	5	5	5	5	4	2	4	3	3	4	3	3	4	3	5	4	5	5	3	4	5	2	3	4	3	3	5	5	5	4	4	3	3	2	2	2	3	4	4	5	3	3	3	3	4
psovati	G	10329	4	4	1	4	2	5	4	5	5	2	5	5	5	2	4	5	3	5	5	5	5	5	5	5	4	4	2	4	4	4	4	5	4	5	5	2	3	5	1	4	4	3	1	5	5	5	4	4	3	3	4	3	3	5	4	4	3	4	4	4	5	4
nemjerljiv	P	3540	1	3	5	3	2	3	2	4	2	2	2	3	1	1	3	5	2	3	3	3	4	3	2	2	3	2	1	1	2	2	2	3	3	3	3	1	2	2	1	5	4	3	2	3	3	3	4	4	2	1	2	3	1	1	3	2	4	1	1	1	1	3
otpad	I	81281	4	3	5	3	3	5	5	5	4	4	5	4	5	2	2	5	2	3	4	4	3	2	5	5	3	2	4	2	3	3	5	4	3	4	5	3	5	5	4	4	5	3	3	4	5	3	4	5	5	4	4	4	2	3	5	2	5	3	5	3	3	3
ludost	I	7763	2	4	3	3	3	5	3	5	1	3	4	4	2	3	2	5	2	4	3	4	2	3	5	5	4	4	1	3	3	2	4	4	1	4	2	5	5	5	1	4	3	2	1	5	5	5	4	4	4	3	2	4	1	3	1	2	2	2	4	3	1	4
radnički	P	30615	3	3	4	2	3	3	4	4	2	2	2	3	2	1	2	1	3	2	2	3	4	2	4	4	3	3	1	2	2	2	4	2	3	3	5	1	3	4	2	4	3	3	2	4	5	5	4	4	4	3	4	3	1	2	2	2	4	2	2	2	2	3
razvojan	P	47212	2	2	2	3	4	3	2	3	3	2	2	3	1	2	3	1	3	2	2	3	3	1	1	4	3	2	1	1	2	1	2	4	2	4	4	5	2	3	1	4	2	1	3	3	3	2	4	4	4	1	2	1	3	2	2	1	3	1	1	2	3	2
silovanje	I	20311	2	3	3	3	4	3	5	4	5	2	5	2	5	1	4	1	4	2	4	2	2	1	5	4	3	2	2	1	2	1	4	4	2	4	4	2	5	3	5	3	4	2	2	3	5	3	3	3	5	2	5	3	5	5	5	2	5	5	4	3	4	2
sprint	I	4819	3	1	5	3	2	3	5	4	4	2	5	4	5	1	2	2	5	3	2	1	1	1	5	3	2	2	1	1	3	1	3	1	4	4	5	2	2	1	3	4	4	3	4	2	5	3	4	4	3	2	4	2	5	2	0	0	5	1	4	3	5	2
srdela	I	5096	5	2	5	2	3	3	5	5	5	2	5	3	5	1	3	2	5	2	4	1	5	1	5	3	3	1	3	1	3	1	5	4	5	4	5	1	5	2	5	4	5	2	5	3	5	5	4	4	5	4	5	3	5	2	5	2	5	1	5	3	5	3
ustrajan	P	5241	4	4	3	0	3	3	3	5	2	2	1	2	2	3	4	3	3	4	3	1	3	2	1	4	4	2	2	2	3	3	2	4	2	3	2	5	1	1	1	4	3	2	2	4	5	5	3	3	4	2	2	3	1	1	2	0	1	2	1	2	2	3
kontrakcija	I	4315	2	2	5	3	4	3	1	3	4	1	1	2	1	1	2	4	3	2	2	1	5	2	2	3	3	1	3	1	2	1	2	4	4	3	5	4	1	1	3	4	3	3	4	3	1	1	2	2	1	1	4	2	1	1	0	2	5	2	2	1	5	2
moći	G	5663487	3	5	2	4	4	3	2	4	2	5	2	4	1	4	5	1	2	4	5	5	3	4	1	5	4	4	2	4	2	4	1	5	1	5	2	4	3	5	1	4	3	2	3	5	2	5	4	4	2	4	2	5	1	3	1	5	5	5	1	5	3	5
trpjeti	G	36736	3	4	3	3	2	3	4	5	1	4	2	4	3	5	5	4	2	4	5	4	4	4	2	4	2	2	2	4	3	3	2	5	2	4	4	2	2	5	3	5	3	2	3	4	3	3	3	3	2	2	2	3	1	3	0	0	1	3	1	3	4	5
sirot	P	4762	3	3	2	3	2	3	3	4	2	3	1	3	2	1	3	2	4	4	3	1	4	3	2	5	2	1	4	2	2	1	4	2	3	3	2	4	2	2	3	3	2	1	3	2	2	1	4	3	3	1	4	2	1	2	3	5	2	3	2	2	1	3
pastor	I	4539	4	2	3	2	1	3	5	3	5	1	5	3	5	1	3	1	4	2	2	1	2	2	1	2	5	1	1	1	3	1	4	1	5	0	5	5	1	1	5	4	5	1	5	3	1	1	3	2	5	1	2	2	5	1	5	1	5	4	4	2	4	2
spustiti	G	53746	3	5	5	2	2	3	4	5	4	5	5	5	4	4	2	3	5	5	5	4	3	4	5	5	3	1	2	4	2	5	4	4	4	0	5	3	3	5	1	4	4	3	3	4	5	4	4	3	4	5	4	4	3	3	4	4	1	3	3	3	4	5
protein	I	26393	2	1	4	2	2	3	5	4	5	2	1	4	5	4	2	4	1	3	5	1	5	1	5	4	3	2	4	2	4	2	5	4	4	4	5	2	3	1	5	4	4	2	1	3	5	2	4	3	4	4	4	2	5	2	5	2	3	1	4	3	5	2
odlučan	P	21162	3	4	1	3	2	3	4	5	2	3	2	4	2	3	3	0	3	5	5	2	5	3	3	5	3	3	2	2	4	5	2	5	2	5	2	2	3	5	1	4	2	2	3	4	5	5	4	4	4	3	2	2	2	1	2	3	3	3	2	3	2	3
ranjiv	P	7793	3	3	1	2	2	3	4	5	2	3	5	4	3	3	4	0	2	4	5	3	2	0	5	4	2	3	2	3	3	1	4	4	2	5	2	3	4	3	1	4	2	2	2	3	5	5	4	4	4	3	2	2	2	1	2	2	5	3	1	3	2	3
nepravedan	P	9935	4	4	1	3	2	3	3	5	3	5	1	4	1	4	4	4	2	5	5	5	3	3	3	4	5	3	1	4	3	4	2	4	1	5	1	2	2	4	1	4	3	3	2	4	5	5	3	4	4	3	2	3	1	3	2	4	5	5	2	2	1	3
dokumentarac	I	22431	3	4	5	4	1	3	5	4	5	4	1	5	5	1	2	2	5	4	5	4	5	2	1	3	5	3	3	1	2	3	5	3	4	4	5	3	4	2	5	4	5	3	3	3	5	4	3	4	5	3	4	4	5	3	5	2	4	5	4	3	4	3
oblikovanje	I	23992	4	3	5	3	1	3	3	5	3	3	5	5	2	3	3	3	3	3	4	3	1	0	5	3	5	2	2	3	4	4	2	4	3	4	3	2	2	3	1	3	2	2	3	3	2	4	4	4	2	3	4	3	3	2	2	3	5	1	3	2	4	3
pustolovan	P	3065	3	2	3	3	1	3	3	5	4	3	2	4	5	5	4	4	4	4	4	2	4	3	1	3	5	3	1	1	2	2	3	4	3	4	2	3	3	2	1	3	3	3	2	3	4	4	3	3	2	2	2	2	1	1	2	3	4	3	2	3	2	2
podmukao	P	3641	3	2	4	3	4	3	2	5	2	2	1	4	1	3	3	2	2	4	3	1	5	2	4	4	5	4	2	1	4	1	3	3	1	3	3	4	2	2	1	3	2	2	2	4	4	3	3	3	2	2	2	2	1	1	2	2	5	1	2	2	2	2
suvenir	I	16057	3	0	5	3	4	3	5	3	5	4	5	4	5	2	4	4	4	5	5	1	5	2	3	3	5	4	4	2	2	1	5	4	3	3	5	4	5	2	5	5	5	4	4	2	5	4	4	3	5	5	2	2	5	1	5	2	5	2	3	2	3	2
šljiva	I	8358	4	2	5	3	4	3	5	5	5	3	5	4	5	4	5	5	5	3	5	1	3	1	5	3	5	2	3	1	4	2	5	4	5	4	5	2	5	2	5	4	5	3	5	3	5	4	5	4	5	5	4	3	5	4	5	3	4	2	5	3	5	2
svadba	I	13087	4	3	4	3	0	3	5	4	5	3	5	4	5	3	3	3	5	4	5	2	4	3	4	3	5	2	2	1	4	4	4	3	4	3	5	3	4	3	5	3	5	2	5	2	5	3	5	4	5	5	3	2	4	2	5	2	2	3	4	3	4	2
uravnotežen	P	6508	3	4	4	4	1	3	3	5	3	3	1	4	1	3	4	2	3	2	3	2	3	4	5	4	4	2	3	3	4	3	2	4	2	4	2	4	2	3	1	3	2	2	3	4	1	4	3	3	3	2	2	2	4	3	3	2	2	2	3	2	2	2
iskren	P	56027	3	4	4	4	2	3	2	5	3	4	1	4	1	5	5	3	2	5	5	4	4	3	1	4	5	1	2	4	3	3	2	5	1	5	2	3	3	5	1	4	3	2	2	4	5	5	4	4	4	4	1	4	1	4	2	3	2	5	2	3	2	3
namještanje	I	8513	3	3	5	3	3	3	3	4	2	3	1	5	2	4	2	4	1	2	4	3	3	0	4	4	5	4	2	3	3	2	3	4	3	4	5	4	2	2	3	4	3	2	3	5	4	4	3	4	2	3	4	4	2	2	2	4	5	3	2	3	4	3
običan	P	145957	3	2	3	2	4	3	1	5	1	5	1	5	1	5	4	2	1	4	3	5	4	2	1	5	5	3	1	5	2	4	2	5	1	5	4	4	1	4	1	4	4	3	4	5	3	3	3	5	4	4	2	5	1	5	2	4	3	5	2	4	2	4
okoristiti	G	3407	3	3	2	4	5	3	3	4	2	2	1	4	1	1	5	4	1	3	1	1	2	3	1	3	3	2	1	1	3	1	2	4	1	3	3	2	2	1	2	3	2	2	2	2	1	2	3	2	3	2	2	2	1	2	2	1	5	1	1	1	4	2
romantičan	P	26132	3	3	3	3	1	3	1	4	1	4	1	4	5	5	4	5	4	5	5	4	3	0	5	4	5	3	2	1	1	4	2	5	2	5	2	3	3	4	1	4	4	2	2	3	3	5	3	4	5	5	2	2	2	2	2	2	5	3	3	2	2	2
razmak	I	23350	3	3	3	2	3	3	4	5	3	4	3	5	3	5	3	3	4	5	4	1	2	2	5	4	5	2	1	1	3	4	2	4	3	4	4	4	3	3	1	4	3	2	2	3	1	3	4	3	4	5	3	4	4	3	3	2	4	5	3	2	4	2
ponosan	P	53771	3	3	3	3	5	3	3	5	2	5	3	4	1	4	4	5	3	5	5	4	4	4	5	4	5	2	2	3	4	3	3	5	1	4	1	3	2	4	1	3	3	4	2	4	5	4	4	4	5	4	2	4	1	3	2	2	2	3	2	3	2	3
zub	I	78821	4	3	5	3	4	3	5	5	5	4	5	4	5	5	5	3	5	5	5	5	0	2	5	4	5	5	4	2	2	2	5	5	5	4	5	4	5	5	5	5	5	3	5	3	5	4	4	4	3	5	4	3	5	4	5	3	3	5	5	4	5	2
popunjavanje	I	5204	0	3	4	3	2	3	4	4	4	3	1	4	5	3	5	5	3	5	4	3	2	1	5	2	5	3	1	3	5	3	3	4	3	5	5	4	2	3	3	4	4	4	4	4	4	5	4	4	0	2	3	4	2	3	2	3	5	5	4	3	4	3
računati	G	80524	3	3	3	5	1	3	4	5	4	4	3	5	5	4	4	2	3	5	4	1	5	0	4	2	5	3	3	3	2	4	4	5	2	5	5	5	3	4	1	5	4	3	3	4	5	5	4	5	2	3	2	3	2	1	3	4	5	4	2	3	4	3
usrećiti	G	5453	4	3	3	4	4	3	2	5	2	3	3	5	1	5	3	3	2	5	4	3	4	0	4	3	5	3	1	4	3	2	4	5	1	5	1	4	4	5	1	4	4	3	3	4	2	5	4	4	2	4	1	2	1	3	2	1	4	4	2	3	2	4
vol	I	5788	5	3	5	1	5	2	5	3	5	2	5	4	5	2	4	4	5	3	5	1	3	1	4	2	3	1	4	1	2	1	5	2	5	3	5	2	3	2	5	4	5	2	5	2	5	2	2	1	5	2	4	4	5	1	5	1	3	1	5	1	5	2
umiješati	G	10721	3	3	5	2	3	3	3	4	3	2	5	4	2	3	1	1	5	5	3	2	3	5	4	2	3	2	3	3	4	2	4	4	4	4	5	4	3	4	4	4	3	3	3	4	5	5	4	3	2	4	4	3	2	2	5	3	5	2	2	3	4	4
grozd	I	3678	5	3	5	1	5	1	5	4	5	2	5	4	5	5	5	3	5	3	5	1	4	3	5	5	5	5	4	1	2	2	5	3	5	3	5	2	5	3	4	3	5	3	5	2	5	3	4	4	5	5	4	1	5	4	5	2	3	3	3	3	4	2
štitnjača	I	9772	3	3	5	2	3	3	5	4	5	2	1	3	5	3	5	5	4	4	5	1	5	0	5	5	3	3	4	1	4	3	5	4	5	4	5	3	5	3	5	2	5	3	2	3	4	1	4	3	5	5	3	2	5	1	5	2	0	3	4	2	5	1
zakon	I	561213	3	3	5	5	3	4	1	5	4	3	1	5	1	4	1	3	3	3	5	1	5	4	2	4	5	4	2	2	4	4	4	4	4	5	5	3	3	2	1	5	5	4	3	4	3	4	4	4	5	5	2	3	3	3	1	3	4	5	2	3	3	3
dubinski	P	8339	2	3	4	2	3	2	3	5	2	2	3	3	1	2	1	4	2	3	3	1	4	1	2	3	3	2	1	1	4	2	4	4	4	3	4	3	2	2	3	3	3	2	2	0	3	3	5	3	4	2	2	4	3	3	3	3	3	2	3	2	3	2
krvariti	G	6217	4	3	5	3	3	5	5	5	4	3	5	3	5	5	5	2	5	3	5	3	3	5	5	2	5	2	4	3	3	2	5	3	5	4	5	4	5	4	5	4	5	3	3	3	5	4	5	4	1	2	4	3	5	1	4	3	4	2	4	3	5	2
