leksem	vr	frek	04a.01.k	04a.01.č	04a.02.k	04a.02.č	04a.03.k	04a.03.č	04a.04.k	04a.04.č	04a.05.k	04a.05.č	04a.06.k	04a.06.č	04a.07.k	04a.07.č	04a.08.k	04a.08.č	04a.09.k	04a.09.č	04a.10.k	04a.10.č	04a.11.k	04a.11.č	04a.12.k	04a.12.č	04a.13.k	04a.13.č	04a.14.k	04a.14.č	04a.15.k	04a.15.č	04b.01.k	04b.01.č	04b.02.k	04b.02.č	04b.03.k	04b.03.č	04b.04.k	04b.04.č	04b.05.k	04b.05.č	04b.06.k	04b.06.č	04b.07.k	04b.07.č	04b.08.k	04b.08.č	04b.09.k	04b.09.č	04b.10.k	04b.10.č	04b.11.k	04b.11.č	04b.12.k	04b.12.č	04b.13.k	04b.13.č	04b.14.k	04b.14.č	04b.15.k	04b.15.č
trajanje	I	73238	1	5	1	4	3	5	1	5	1	5	3	5	1	5	2	4	1	3	2	4	2	5	2	3	1	5	1	3	3	5	1	4	2	4	1	4	3	4	2	3	2	3	4	4	1	5	2	4	1	4	2	4	3	5	3	4	1	2	4	4
ilegalan	P	21294	2	5	2	2	3	5	2	3	1	3	4	4	1	5	3	5	2	4	1	4	2	3	2	2	4	4	3	2	2	4	1	4	2	4	2	3	4	3	1	3	4	4	3	5	5	4	5	3	1	4	5	4	2	5	5	3	2	2	5	4
blamaža	I	3410	1	4	4	1	3	3	1	1	1	1	2	4	2	4	2	3	4	2	1	3	1	1	2	1	5	4	1	1	2	3	2	3	3	3	4	3	3	2	1	3	3	4	2	5	3	2	5	3	4	3	4	4	3	1	2	2	1	2	4	3
horizontalan	P	7891	3	5	3	2	4	4	5	3	4	4	5	3	2	3	4	4	5	3	3	5	3	2	4	4	5	5	4	1	4	4	5	4	2	3	4	3	2	1	4	4	3	1	3	4	4	2	5	4	2	3	4	4	4	4	5	2	2	2	5	4
služenje	I	13383	1	5	1	1	3	4	3	2	2	5	4	5	3	5	4	3	2	2	1	5	1	1	2	3	1	4	1	1	5	3	3	3	2	3	2	3	3	2	1	2	1	2	3	3	2	1	2	2	3	3	3	2	4	5	4	2	1	2	3	3
naslanjati	G	3290	4	4	4	4	3	4	5	4	4	4	5	4	3	5	5	5	5	4	5	4	2	1	4	2	4	3	3	3	5	5	4	4	3	2	3	3	3	2	2	2	1	1	4	3	5	2	3	3	2	3	3	3	5	5	3	3	1	2	3	4
proletjeti	G	3558	4	4	5	4	5	4	5	4	4	4	4	4	3	5	4	5	5	3	5	4	5	3	4	2	3	3	2	2	5	4	4	4	3	3	3	3	3	2	2	2	3	1	4	2	4	3	1	3	4	4	3	3	4	5	4	2	1	2	3	4
kustos	I	5284	5	4	5	3	5	4	4	2	2	1	5	2	5	3	4	2	2	2	5	1	1	1	3	1	5	2	1	1	5	4	5	3	2	2	4	2	4	2	1	2	5	1	1	1	2	1	5	2	1	3	5	2	4	4	5	1	5	2	5	2
ohrabrivati	G	6424	1	4	2	3	3	4	1	5	1	4	3	3	2	5	2	4	4	4	5	5	2	5	3	4	3	2	1	1	5	5	1	4	2	4	2	3	2	3	1	2	2	3	3	5	3	4	3	3	4	1	4	4	4	4	3	3	1	2	3	4
otpisati	G	5527	1	3	3	3	1	4	1	1	1	3	3	4	3	3	2	3	2	3	5	4	1	1	2	3	2	3	1	1	3	4	1	3	4	3	2	3	1	3	2	2	1	2	4	2	1	1	3	2	2	4	3	3	3	3	4	1	1	2	2	3
