leksem	vr	frek	16a.01.k	16a.01.č	16a.02.k	16a.02.č	16a.03.k	16a.03.č	16a.04.k	16a.04.č	16a.05.k	16a.05.č	16a.06.k	16a.06.č	16a.07.k	16a.07.č	16a.08.k	16a.08.č	16a.09.k	16a.09.č	16a.10.k	16a.10.č	16a.11.k	16a.11.č	16a.12.k	16a.12.č	16a.13.k	16a.13.č	16a.14.k	16a.14.č	16a.15.k	16a.15.č	16b.01.k	16b.01.č	16b.02.k	16b.02.č	16b.03.k	16b.03.č	16b.04.k	16b.04.č	16b.05.k	16b.05.č	16b.06.k	16b.06.č	16b.07.k	16b.07.č	16b.08.k	16b.08.č	16b.09.k	16b.09.č	16b.10.k	16b.10.č	16b.11.k	16b.11.č	16b.12.k	16b.12.č	16b.13.k	16b.13.č	16b.14.k	16b.14.č	16b.15.k	16b.15.č
borbenost	I	4548	4	1	3	3	3	2	3	3	2	3	4	1	3	4	4	4	1	3	2	3	3	2	3	4	3	4	3	4	3	2	1	2	1	3	3	2	2	3	2	2	3	4	2	2	3	3	2	3	3	2	3	3	3	1	3	2	2	3	5	5
klik	I	20148	5	4	4	4	4	4	4	4	3	4	4	1	5	4	5	5	4	2	4	4	2	2	4	5	5	5	4	4	4	4	5	4	3	3	4	4	3	3	5	3	5	4	4	4	5	4	4	4	5	3	5	4	3	3	5	3	5	3	4	0
poglavarstvo	I	40466	4	1	4	2	1	2	3	3	3	2	3	2	3	3	3	3	3	2	4	2	3	3	4	1	4	4	3	3	1	2	4	1	1	1	1	3	2	1	5	2	5	3	1	2	4	2	4	2	2	1	4	1	3	1	3	2	4	3	2	2
ophođenje	I	3089	5	2	4	1	1	2	2	3	1	2	3	1	2	3	2	4	2	2	4	2	2	3	2	4	2	5	0	3	2	3	3	2	2	3	1	2	2	3	3	2	4	4	1	2	2	3	2	3	1	2	3	1	3	2	3	2	3	3	1	1
hladiti	G	9214	4	5	5	3	5	4	4	5	5	5	5	5	5	5	5	5	1	5	5	4	3	3	3	4	4	5	4	4	3	4	4	4	3	3	3	3	3	3	4	4	5	5	4	3	5	3	4	4	3	3	5	4	4	3	5	3	4	4	4	3
krasti	G	29704	5	3	5	4	5	3	4	4	5	5	5	5	5	5	4	5	1	5	5	3	2	3	3	4	5	5	4	4	2	4	3	4	4	3	4	3	4	3	4	3	5	5	4	3	5	4	3	3	3	2	5	3	4	2	5	3	4	4	4	2
kino	I	68094	5	4	5	4	5	4	5	4	3	5	5	4	5	5	5	4	5	4	5	4	5	4	5	3	5	5	5	4	5	4	5	4	4	3	5	3	5	4	5	4	5	5	5	3	5	5	5	3	5	4	5	3	5	2	5	3	5	4	5	5
ticati	G	251778	3	5	2	1	2	3	3	4	4	3	2	5	5	4	1	4	1	5	2	2	2	3	1	3	2	5	2	4	1	4	1	3	1	4	2	2	2	2	1	3	2	5	1	3	3	3	2	3	1	1	2	1	4	2	4	2	1	3	3	3
statičan	P	4351	3	3	3	2	5	3	3	3	4	4	5	4	4	4	4	3	2	2	4	2	2	3	3	4	2	4	3	4	2	4	4	3	3	3	4	2	2	2	2	2	3	4	3	3	5	4	4	4	2	2	4	3	4	2	4	2	3	3	1	1
predmetni	P	10751	3	2	2	1	3	2	2	2	4	4	4	3	2	3	2	2	1	2	3	2	2	2	1	3	3	5	3	4	1	2	3	2	2	3	2	2	2	2	2	3	2	4	1	3	4	3	1	2	1	2	3	2	3	1	3	2	2	2	3	3
instaliranje	I	4333	3	4	2	4	5	4	2	3	2	5	5	5	3	4	3	3	1	4	2	4	3	4	2	4	3	5	4	4	2	4	5	4	1	4	3	3	3	3	3	2	5	5	1	3	5	3	2	4	2	4	4	4	3	3	4	2	4	3	4	4
ubrzati	G	19707	3	4	2	3	4	4	4	4	4	5	5	4	4	5	5	5	5	5	4	3	3	5	4	4	3	4	4	4	2	5	3	4	2	4	3	3	4	4	4	3	4	5	2	3	5	4	3	4	3	3	4	4	4	4	4	3	3	4	3	3
prolaznost	I	5088	2	3	1	2	3	3	2	3	2	4	1	4	3	5	2	3	1	4	2	3	3	4	3	4	1	3	3	3	1	4	2	4	1	4	1	2	1	2	1	3	2	5	1	2	4	4	1	3	1	2	2	2	3	2	4	3	1	2	2	3
opovrgnuti	G	7182	2	3	3	1	2	2	2	3	1	4	4	2	3	4	1	3	1	5	2	2	3	3	2	3	2	4	3	5	2	3	3	3	1	3	2	3	1	4	4	3	2	4	1	1	3	4	1	2	1	3	2	1	4	2	4	2	3	3	1	1
premašivati	G	5914	2	3	2	1	3	2	3	3	2	4	3	1	3	4	1	3	1	4	3	1	4	3	2	4	3	4	3	4	1	1	4	4	2	3	2	2	1	3	2	3	4	3	2	2	2	3	2	2	1	2	2	2	3	2	4	3	2	3	1	3
neslaganje	I	9151	3	3	1	2	3	4	4	3	2	5	4	4	2	4	4	4	2	5	2	2	3	3	2	5	4	5	2	4	2	4	2	3	2	4	1	3	4	4	2	4	3	4	1	3	3	3	2	3	1	3	4	3	4	3	4	3	2	4	3	3
unošenje	I	6328	3	2	2	1	3	3	4	4	2	4	5	4	2	3	4	3	3	4	4	2	3	2	4	3	4	5	2	3	3	3	3	1	2	3	2	2	3	2	4	3	5	4	1	2	2	3	3	3	2	3	3	3	4	3	4	3	3	4	3	3
priključivati	G	4744	4	4	3	2	4	4	2	3	2	4	5	3	3	4	5	4	5	5	4	2	4	4	5	5	5	4	2	4	3	4	3	1	2	3	2	3	4	2	3	3	4	4	2	3	3	4	2	3	2	3	4	2	3	2	4	2	3	3	3	3
pripravak	I	14680	3	1	4	1	4	3	3	2	3	3	5	2	5	5	3	3	4	3	3	2	4	3	3	3	4	3	3	3	4	2	2	2	3	2	4	2	3	2	5	2	5	3	1	2	2	3	3	2	1	2	3	2	3	1	4	2	4	3	3	3
