leksem	vr	frek	07a.01.k	07a.01.č	07a.02.k	07a.02.č	07a.03.k	07a.03.č	07a.04.k	07a.04.č	07a.05.k	07a.05.č	07a.06.k	07a.06.č	07a.07.k	07a.07.č	07a.08.k	07a.08.č	07a.09.k	07a.09.č	07a.10.k	07a.10.č	07a.11.k	07a.11.č	07a.12.k	07a.12.č	07a.13.k	07a.13.č	07a.14.k	07a.14.č	07a.15.k	07a.15.č	07b.01.k	07b.01.č	07b.02.k	07b.02.č	07b.03.k	07b.03.č	07b.04.k	07b.04.č	07b.05.k	07b.05.č	07b.06.k	07b.06.č	07b.07.k	07b.07.č	07b.08.k	07b.08.č	07b.09.k	07b.09.č	07b.10.k	07b.10.č	07b.11.k	07b.11.č	07b.12.k	07b.12.č	07b.13.k	07b.13.č	07b.14.k	07b.14.č	07b.15.k	07b.15.č
užurban	P	3129	5	5	1	3	4	4	3	4	3	3	3	3	4	3	4	4	4	4	3	4	3	4	4	4	4	4	2	4	4	4	2	3	2	1	3	3	3	3	2	2	2	4	4	2	2	1	2	3	3	2	2	3	3	5	3	4	2	4	2	4
mobitel	I	118930	1	2	5	5	5	5	5	5	5	5	4	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
iskazivati	G	18091	5	3	1	2	2	2	1	2	3	0	4	2	3	1	3	2	3	2	1	4	1	4	3	3	4	3	3	5	2	4	3	4	1	1	3	2	3	3	1	2	1	2	3	3	2	2	2	3	2	2	3	3	2	2	3	4	4	2	1	3
vinogradar	I	7051	2	3	5	1	5	2	5	4	5	2	4	2	5	2	5	1	4	2	5	2	5	1	5	1	0	1	4	3	5	3	4	2	5	1	5	1	4	3	5	1	4	2	5	3	5	1	5	3	5	1	5	2	5	3	5	3	5	3	5	3
procjenjivati	G	40709	1	3	2	3	1	3	1	3	1	1	3	4	2	4	3	3	1	3	1	4	1	4	4	3	3	3	3	4	3	4	3	3	2	2	4	3	3	3	2	2	1	4	3	3	1	1	2	2	2	2	2	4	1	4	4	4	4	4	2	4
iznevjeriti	G	6152	1	2	1	3	2	2	1	3	1	2	1	3	1	4	4	3	1	3	1	4	1	3	4	2	3	2	3	4	2	3	1	4	1	1	4	4	4	3	2	3	1	3	3	3	1	3	2	2	3	2	3	4	1	4	1	4	2	2	1	4
prividan	P	5306	3	3	1	2	1	2	1	2	1	1	2	3	1	4	2	2	1	2	2	4	1	3	3	2	2	2	3	3	2	3	1	3	1	1	3	3	3	3	1	1	2	2	2	3	1	1	2	1	1	2	2	4	1	3	2	3	1	3	1	3
nadzirati	G	17502	1	4	1	4	3	2	1	4	1	2	3	3	4	4	4	3	2	3	2	3	3	3	4	2	2	2	3	2	2	4	3	3	3	1	3	3	4	3	2	1	2	3	4	4	2	2	3	2	4	2	3	4	4	3	4	4	4	5	2	3
pedagoški	P	11095	5	5	1	4	1	3	1	4	1	4	1	3	1	4	3	2	1	2	1	3	1	1	4	3	3	3	4	4	2	3	1	4	3	1	5	4	4	4	1	3	3	2	4	3	1	3	4	5	3	2	4	3	1	4	2	5	2	3	2	3
predavač	I	26978	1	3	5	5	0	2	5	5	5	4	3	4	4	4	4	3	4	4	4	4	5	2	5	5	3	3	1	5	5	4	4	5	5	2	5	4	5	4	4	3	4	5	5	4	3	5	5	5	5	3	5	4	5	5	5	5	5	4	5	4
sloviti	G	8691	1	3	1	2	1	1	1	2	1	1	1	2	1	2	2	1	1	1	1	3	1	1	3	3	2	3	2	2	1	3	1	2	1	1	2	2	3	2	1	1	1	1	4	1	1	1	1	1	1	1	1	2	2	3	1	2	1	2	2	2
legalizirati	G	6925	5	3	1	3	1	1	1	3	1	3	1	3	1	2	4	3	1	3	2	3	1	3	4	1	3	2	2	4	1	4	1	2	3	4	4	2	4	4	1	3	2	4	5	4	1	1	2	1	3	2	2	3	1	5	3	3	1	4	3	3
napajanje	I	17305	4	4	3	2	2	1	4	3	5	5	2	2	3	3	4	3	2	2	4	2	3	3	5	4	3	4	4	3	3	3	3	3	5	1	4	3	4	3	2	2	3	3	5	3	1	1	3	3	3	2	3	2	5	2	3	4	3	1	2	3
smanjiti	G	132276	5	4	3	5	3	2	4	4	2	4	3	5	4	4	3	4	2	4	1	5	3	3	5	5	3	4	5	5	4	5	4	4	4	2	3	3	3	3	4	4	2	3	4	3	3	4	4	3	2	3	2	4	3	5	3	5	5	5	2	5
vikati	G	32790	5	4	5	5	5	4	5	4	5	4	4	4	4	4	5	3	5	4	2	4	3	4	5	5	3	2	4	5	5	4	5	4	5	4	4	4	3	4	5	4	4	3	5	3	5	4	4	3	4	4	4	4	5	5	5	5	5	3	2	4
dubok	P	88674	4	4	5	5	4	2	5	4	5	3	4	4	4	4	4	4	4	4	4	4	3	4	4	5	4	2	4	4	5	4	5	3	4	1	3	3	3	4	3	4	4	4	4	4	5	2	5	3	2	3	4	4	3	4	4	5	2	3	2	4
objaviti	G	228099	5	3	3	5	3	1	3	4	3	3	2	5	4	4	3	4	2	5	2	5	3	4	4	5	4	3	5	5	3	5	2	4	3	5	4	4	3	4	3	2	2	2	4	4	1	4	4	5	3	4	3	4	3	4	4	5	5	4	2	4
brava	I	17708	2	3	5	4	5	2	5	4	5	3	5	5	5	4	5	3	5	4	5	4	5	3	5	2	5	3	3	3	5	4	5	2	5	3	5	3	5	3	5	2	5	3	5	3	5	3	5	4	5	3	5	3	5	5	5	5	5	2	5	4
slabiti	G	4824	3	3	2	3	3	1	2	3	2	2	2	4	4	3	4	3	2	4	1	4	3	2	3	2	3	2	3	3	3	3	3	3	2	1	3	4	3	3	1	2	1	3	3	3	1	1	3	2	3	2	2	3	0	0	2	4	2	2	1	4
blizak	P	132319	5	4	3	4	5	2	1	4	4	4	3	4	3	3	3	3	1	4	1	4	3	3	3	3	3	2	4	4	2	5	2	4	4	3	4	4	3	3	2	2	2	2	3	3	4	3	4	3	4	3	3	4	1	5	4	5	3	3	2	5
zbrojiti	G	10880	5	3	5	5	2	2	4	4	4	4	3	4	3	3	4	3	2	3	3	3	2	3	4	4	4	2	4	4	4	3	3	4	5	3	3	3	4	3	3	2	3	3	5	3	2	2	4	2	3	3	4	4	5	4	4	4	5	3	2	5
uploviti	G	4054	5	4	5	3	3	1	4	2	5	2	4	3	3	3	4	2	3	2	2	3	3	2	4	2	3	2	3	3	4	3	3	2	1	1	3	3	4	3	4	1	3	2	5	2	4	1	3	3	4	2	4	3	4	3	4	2	5	3	2	4
pozitivan	P	160810	2	3	1	5	3	2	1	4	4	4	2	5	2	4	4	4	2	3	1	4	2	3	4	4	4	4	3	5	3	3	1	5	4	4	4	4	3	4	1	4	3	3	3	3	3	4	3	2	3	3	3	5	2	5	2	5	1	4	2	4
stanovanje	I	15147	5	4	3	3	3	2	1	2	3	3	3	4	3	3	3	4	2	3	4	3	4	3	4	4	3	5	5	4	3	3	4	4	2	3	4	3	4	4	2	4	1	3	5	3	1	2	4	5	4	3	3	3	4	4	3	4	4	3	3	5
trg	I	109860	3	4	5	5	5	4	5	4	5	4	3	5	5	4	4	4	5	4	4	5	5	3	5	4	5	3	2	5	5	5	5	4	5	5	5	4	4	4	4	4	5	4	5	3	5	2	5	4	5	4	5	5	5	5	5	5	5	5	5	4
koncentrirati	G	13037	3	4	1	5	2	3	2	4	2	4	2	5	3	3	2	3	1	5	1	5	1	4	4	4	4	4	3	4	1	4	1	5	1	4	3	4	3	4	1	4	1	3	3	5	1	5	3	5	3	2	2	5	4	4	2	5	2	5	1	4
čuvati	G	99743	5	3	2	5	3	3	3	4	4	3	2	5	4	4	3	4	1	3	2	5	3	4	4	4	2	3	5	5	4	5	3	5	3	4	4	4	3	3	1	4	3	4	4	4	3	3	4	3	5	3	3	4	4	5	4	4	4	5	2	4
žarulja	I	11652	1	4	5	5	5	3	5	4	5	3	4	4	5	4	5	3	5	4	5	5	5	3	5	1	5	2	2	5	5	5	5	3	5	2	5	3	5	3	5	3	5	4	5	4	5	2	5	5	5	3	5	3	5	5	5	4	5	4	5	4
usmen	P	18178	1	3	3	5	3	2	1	2	2	1	3	3	3	4	4	4	1	3	1	4	1	2	4	3	3	5	3	2	3	5	4	5	3	3	4	4	4	3	2	3	3	3	5	2	1	5	5	4	4	3	3	4	3	5	4	5	4	5	3	4
kratkotrajan	P	9734	1	2	3	5	1	2	1	2	2	3	3	3	2	3	3	4	1	3	2	4	1	2	4	3	3	3	1	4	3	5	3	4	2	4	3	3	4	3	2	4	3	4	3	3	2	4	3	3	3	3	4	4	4	4	3	3	3	5	1	5
