leksem	vr	frek	06a.01.k	06a.01.č	06a.02.k	06a.02.č	06a.03.k	06a.03.č	06a.04.k	06a.04.č	06a.05.k	06a.05.č	06a.06.k	06a.06.č	06a.07.k	06a.07.č	06a.08.k	06a.08.č	06a.09.k	06a.09.č	06a.10.k	06a.10.č	06a.11.k	06a.11.č	06a.12.k	06a.12.č	06a.13.k	06a.13.č	06a.14.k	06a.14.č	06a.15.k	06a.15.č	06b.01.k	06b.01.č	06b.02.k	06b.02.č	06b.03.k	06b.03.č	06b.04.k	06b.04.č	06b.05.k	06b.05.č	06b.06.k	06b.06.č	06b.07.k	06b.07.č	06b.08.k	06b.08.č	06b.09.k	06b.09.č	06b.10.k	06b.10.č	06b.11.k	06b.11.č	06b.12.k	06b.12.č	06b.13.k	06b.13.č	06b.14.k	06b.14.č	06b.15.k	06b.15.č
suradnica	I	7272	2	4	5	3	4	3	2	4	4	3	5	2	5	3	5	3	5	3	5	3	5	4	3	3	5	3	4	4	3	2	5	5	5	4	4	2	5	5	5	4	4	4	3	3	3	3	5	2	3	1	5	1	3	2	4	2	3	3	5	3
motorički	P	4195	1	4	4	1	2	2	3	3	2	2	3	1	3	1	3	3	3	2	2	2	1	3	3	3	3	2	3	3	2	2	3	4	5	4	4	2	5	5	5	3	2	5	3	3	2	2	1	1	1	1	1	1	1	1	1	1	2	4	4	3
doseliti	G	8901	2	5	5	2	5	3	3	3	3	4	4	3	5	4	5	4	5	3	3	2	4	4	5	3	5	4	4	5	2	2	5	4	5	4	5	2	5	5	5	3	2	4	2	3	4	4	5	2	1	2	1	1	3	1	5	2	4	4	4	4
društven	P	192871	3	5	5	4	4	4	3	4	1	4	5	5	2	5	4	4	2	4	3	4	4	4	5	5	3	5	4	5	3	3	1	5	5	4	4	2	5	5	4	3	3	3	3	4	4	4	4	4	2	4	1	4	2	3	3	2	2	3	4	4
razvlačiti	G	4020	3	5	4	3	4	3	5	3	3	3	5	4	5	4	4	5	5	4	4	2	4	3	4	4	4	3	3	4	2	2	4	5	5	4	4	4	5	5	4	3	2	2	5	4	0	0	5	3	3	2	4	2	4	2	5	2	4	3	3	4
proputovati	G	3294	4	5	5	3	4	2	3	3	4	4	4	4	5	4	4	3	4	3	4	3	2	3	5	4	3	5	4	4	3	4	5	5	5	4	4	3	5	5	5	4	3	1	3	4	5	5	5	2	2	2	2	1	2	1	5	3	3	3	5	3
izjasniti	G	20816	1	4	3	1	4	2	2	2	2	3	1	4	1	5	3	2	3	3	2	4	1	3	4	4	2	3	4	3	2	2	2	4	5	4	3	3	5	5	3	3	2	2	3	3	4	4	4	3	1	3	3	2	1	1	5	4	2	4	4	3
vikend	I	113161	4	5	5	5	5	5	2	4	1	5	3	5	1	4	5	3	4	5	4	5	3	4	5	0	5	5	5	5	4	4	5	5	5	4	5	5	5	5	4	4	4	3	2	5	5	5	5	5	1	5	5	5	5	5	5	5	5	5	4	0
lirski	P	4632	1	4	3	1	3	3	1	3	1	2	1	1	1	3	4	4	1	1	2	3	1	3	5	0	2	2	4	4	2	2	1	4	5	5	4	2	5	5	3	3	3	4	1	1	3	3	2	1	2	2	1	2	5	3	2	2	2	3	4	3
maštati	G	9100	4	5	5	2	3	2	2	3	3	3	1	4	1	5	3	4	1	3	1	4	4	4	5	5	3	4	4	5	3	3	1	5	5	4	5	5	5	5	5	4	4	5	2	4	4	4	1	4	2	3	1	3	3	5	5	3	3	4	3	4
izdašan	P	5327	2	3	2	1	2	2	2	2	1	2	1	2	1	1	2	1	2	1	1	2	2	3	4	1	1	1	3	3	1	1	1	3	5	4	3	1	5	5	4	3	3	4	1	2	1	1	3	1	1	1	1	1	2	1	2	1	2	3	4	2
neposredan	P	40916	1	4	3	3	3	2	1	2	1	2	1	3	2	5	3	3	2	2	2	3	1	3	3	2	3	3	4	3	2	2	1	3	5	4	3	1	5	5	3	3	2	3	2	2	2	4	1	2	1	2	1	1	1	1	3	1	2	3	3	2
raznorazni	P	20793	1	4	4	3	2	1	1	2	1	3	2	4	4	4	2	2	2	3	2	4	1	3	4	4	4	3	5	3	2	3	1	3	5	4	4	1	5	5	3	4	4	2	1	4	5	5	1	2	1	3	1	3	1	3	5	2	4	4	3	4
kokos	I	3061	5	5	5	2	5	3	5	2	5	3	5	3	5	2	5	3	5	3	5	2	5	4	4	5	5	5	5	3	5	2	5	5	5	3	5	2	5	5	5	4	2	3	5	4	5	5	5	2	5	4	5	1	5	1	5	1	5	3	3	3
gramatički	P	3573	2	5	5	3	4	4	2	4	3	3	2	4	4	5	4	4	3	3	3	4	1	4	3	4	4	4	4	5	2	4	3	5	5	5	4	2	5	5	3	5	3	4	1	5	3	3	1	4	1	4	1	3	1	4	3	3	4	5	0	4
posjećivati	G	23652	3	5	5	4	5	4	2	4	2	2	2	4	5	4	4	3	5	4	3	3	3	4	4	4	4	5	4	3	2	3	4	5	5	4	5	3	5	5	4	4	3	5	2	5	4	4	5	5	2	5	5	2	1	1	5	3	3	4	2	5
financirati	G	57689	3	5	5	4	3	3	3	3	2	3	2	4	5	4	4	2	4	3	3	5	1	3	4	4	5	3	4	3	2	3	5	5	5	4	5	3	5	5	4	4	4	4	2	5	2	3	5	3	3	5	4	1	4	2	5	1	3	4	3	3
dovoditi	G	74580	2	5	4	3	4	3	3	3	3	3	3	3	3	4	5	5	5	4	3	4	1	4	5	5	5	5	5	4	2	2	3	5	5	4	4	3	5	5	4	4	2	3	1	4	4	4	5	5	2	3	3	3	3	3	5	3	3	4	2	2
snaći	G	29407	1	5	3	3	3	3	2	2	2	3	1	4	1	4	3	4	2	2	2	4	1	4	2	5	2	3	4	3	2	2	1	4	5	4	4	4	5	5	4	4	2	2	1	4	2	3	3	2	1	5	1	1	1	4	5	4	3	5	4	5
namazati	G	7925	4	5	5	4	5	4	4	2	4	3	5	5	5	5	5	4	5	4	4	4	4	4	4	5	5	5	3	5	3	3	5	4	5	3	5	4	5	5	5	4	3	3	5	5	4	4	5	5	5	4	5	5	5	3	3	1	4	5	3	0
razlikovanje	I	4920	1	5	3	2	3	3	3	2	2	3	2	4	2	3	4	3	3	3	4	4	2	4	4	4	4	3	3	2	2	2	4	5	5	3	4	3	5	5	5	4	3	4	2	5	5	4	4	2	1	2	1	1	1	1	3	1	3	4	0	5
štrajkati	G	7506	5	4	5	2	4	2	4	3	4	3	2	3	3	1	5	3	3	4	4	3	2	3	5	3	5	4	4	3	3	2	4	5	5	4	5	2	5	5	5	3	2	5	3	4	4	3	5	2	2	3	5	1	3	3	5	1	3	3	0	3
zavoditi	G	4512	5	5	5	3	4	3	3	3	2	2	3	3	4	3	5	2	3	3	2	2	3	3	5	4	5	4	3	3	2	2	1	5	5	4	4	2	5	5	5	3	2	4	3	4	2	5	2	2	3	4	5	2	5	5	5	2	3	3	3	0
pušiti	G	38869	5	5	5	2	5	4	5	4	5	5	5	3	5	4	5	3	5	5	4	4	5	3	5	5	5	5	4	3	3	3	5	5	5	4	5	2	5	5	5	3	0	3	5	3	5	5	5	4	5	4	5	3	5	4	5	4	5	5	0	3
prazan	P	72292	4	5	5	5	5	5	5	4	5	4	4	4	4	5	5	4	5	5	5	5	5	4	5	5	3	4	4	5	2	3	5	5	5	0	5	4	5	5	5	3	5	2	5	5	5	5	5	4	1	5	5	5	4	3	5	3	5	5	3	4
simptom	I	59334	2	5	5	4	2	2	2	3	1	3	0	3	3	2	4	4	4	3	2	3	3	3	5	3	4	2	4	4	2	3	5	4	5	4	4	2	5	5	5	3	3	3	3	4	4	4	4	2	1	2	5	3	4	3	5	1	4	3	0	2
parlament	I	66290	4	4	5	3	5	3	2	3	4	3	0	3	5	3	5	5	5	3	5	3	4	2	5	2	5	2	5	3	4	2	5	5	5	4	5	1	5	5	4	3	4	4	4	4	4	3	5	1	2	2	4	1	1	4	5	1	4	4	4	3
minuti	G	7387	3	5	3	1	2	2	1	1	1	2	2	2	1	1	4	5	4	4	1	1	1	1	3	1	2	2	4	4	4	3	3	1	4	4	2	1	5	5	3	3	3	5	2	3	1	1	5	1	1	5	1	1	1	1	3	3	2	1	3	3
sanacija	I	29991	1	4	5	1	2	1	2	1	3	2	3	2	2	1	3	5	2	1	2	2	2	2	3	1	4	1	4	2	2	1	5	3	5	0	3	1	5	5	4	3	4	4	1	3	3	3	3	1	1	1	3	1	1	1	1	1	3	3	2	2
nedostajati	G	87327	1	5	5	4	4	3	2	2	2	4	1	4	1	4	3	4	2	4	2	3	1	4	4	4	4	4	5	4	2	3	1	4	5	2	3	4	5	5	4	4	2	3	1	3	1	4	1	2	1	3	1	3	3	5	5	3	3	4	0	2
provozati	G	4457	5	5	5	2	4	3	3	2	4	3	5	4	5	4	2	3	4	4	3	4	2	3	4	4	5	5	0	0	2	3	5	5	5	5	4	3	5	5	4	4	4	2	4	5	4	3	5	2	2	3	5	3	3	3	5	1	3	4	0	4
prijetiti	G	66158	3	4	5	2	5	4	2	2	4	3	5	2	2	2	3	3	4	3	2	4	3	3	5	4	4	3	4	3	2	3	1	5	4	4	4	2	5	5	5	3	3	3	3	4	4	4	5	2	2	4	3	4	5	4	5	2	4	3	0	2
retrospektiva	I	4259	2	4	5	1	2	1	1	2	1	2	2	2	1	1	3	4	2	3	1	1	1	2	3	3	3	1	4	3	4	2	3	4	4	5	3	1	5	5	5	3	4	4	1	2	2	2	3	2	1	1	1	1	3	3	2	1	1	3	4	0
kolati	G	6231	1	2	2	1	3	2	1	1	2	1	3	2	3	1	4	1	4	3	3	1	2	2	1	1	2	1	3	2	3	3	3	3	1	1	2	1	5	5	5	3	2	0	1	1	2	2	3	1	2	2	1	1	4	1	5	1	3	2	3	3
lokalan	P	249521	4	5	5	3	5	3	3	2	2	2	2	3	1	3	5	3	3	3	3	3	1	3	4	3	3	4	4	3	3	2	3	5	5	3	3	1	5	5	4	4	3	5	2	3	3	3	4	2	2	4	1	2	1	2	4	2	3	4	0	0
strašan	P	60315	3	5	5	4	5	3	4	3	2	4	3	3	1	3	2	2	2	5	4	4	3	3	5	5	3	4	3	4	3	3	3	5	5	4	4	2	5	5	5	4	2	4	4	4	5	5	1	3	2	4	1	5	5	5	4	3	3	5	4	2
izravan	P	52576	2	5	5	4	3	2	2	2	3	3	1	4	1	3	4	2	3	3	3	3	1	3	5	4	2	2	4	3	2	2	1	3	4	3	3	3	5	5	4	4	4	3	2	3	2	3	4	3	1	1	1	2	1	3	3	2	2	4	3	5
