leksem	vr	frek	20a.01.k	20a.01.č	20a.02.k	20a.02.č	20a.03.k	20a.03.č	20a.04.k	20a.04.č	20a.05.k	20a.05.č	20a.06.k	20a.06.č	20a.07.k	20a.07.č	20a.08.k	20a.08.č	20a.09.k	20a.09.č	20a.10.k	20a.10.č	20a.11.k	20a.11.č	20a.12.k	20a.12.č	20a.13.k	20a.13.č	20a.14.k	20a.14.č	20a.15.k	20a.15.č	20b.01.k	20b.01.č	20b.02.k	20b.02.č	20b.03.k	20b.03.č	20b.04.k	20b.04.č	20b.05.k	20b.05.č	20b.06.k	20b.06.č	20b.07.k	20b.07.č	20b.08.k	20b.08.č	20b.09.k	20b.09.č	20b.10.k	20b.10.č	20b.11.k	20b.11.č	20b.12.k	20b.12.č	20b.13.k	20b.13.č	20b.14.k	20b.14.č	20b.15.k	20b.15.č
recepcija	I	7914	1	3	1	3	2	2	1	3	5	2	5	2	3	3	3	1	4	3	3	2	5	3	4	2	2	2	3	2	5	4	5	2	5	1	1	2	5	4	4	3	5	5	2	3	4	2	4	2	3	1	5	1	3	4	3	3	5	3	4	3
suvisao	P	7382	1	2	1	1	1	1	1	3	2	3	1	2	2	2	4	3	2	2	2	3	1	4	1	2	1	3	1	2	3	3	2	4	3	2	1	2	2	4	1	5	1	5	1	3	1	2	3	2	2	4	1	1	3	5	2	2	2	3	1	3
papati	G	13534	3	2	5	4	4	4	5	5	4	4	5	1	5	4	5	1	5	4	5	5	5	5	3	2	5	2	5	4	5	2	5	3	5	4	5	5	3	4	4	1	3	2	3	4	5	5	2	1	5	2	5	2	5	3	3	1	3	3	3	5
tuđ	P	67246	2	1	1	3	3	3	3	3	3	4	3	2	1	1	1	2	1	1	2	5	1	4	2	1	2	4	2	3	4	5	1	1	2	2	2	2	1	3	2	2	1	5	1	2	3	1	0	0	4	3	2	4	4	4	2	2	2	2	2	4
posumnjati	G	8078	4	4	1	4	2	3	3	3	1	4	1	3	4	5	1	3	2	4	2	4	1	3	1	3	1	4	1	3	4	5	2	2	3	3	1	3	2	4	1	3	1	5	1	4	2	2	2	2	3	2	1	3	4	4	2	3	3	4	1	3
organizirati	G	188163	3	5	2	4	4	3	4	4	2	5	3	3	4	5	3	3	2	4	3	5	2	4	1	4	2	4	4	4	4	4	2	4	3	4	2	4	2	5	3	4	5	5	1	4	4	4	3	2	3	4	2	3	3	5	2	4	3	4	1	5
nasjesti	G	4522	4	4	2	3	2	3	1	3	4	5	5	2	3	3	2	1	1	3	2	3	1	2	3	5	1	3	1	3	3	3	3	2	3	2	1	2	2	3	2	2	1	4	1	2	1	3	2	2	1	2	1	2	3	4	2	4	2	4	1	2
znanstven	P	128984	4	4	1	3	3	4	3	3	4	4	2	4	4	4	3	3	3	4	3	5	3	4	2	3	2	4	2	4	5	5	1	5	4	3	1	4	4	4	3	4	1	3	1	3	2	4	2	2	1	4	1	3	3	5	3	3	2	4	1	4
poraziti	G	8828	4	3	3	3	4	2	4	3	4	3	3	2	3	2	4	1	2	3	2	4	3	3	1	2	2	3	4	2	3	3	3	2	3	2	3	2	3	4	4	3	1	2	3	3	5	3	5	3	3	1	2	2	3	4	2	2	3	5	1	3
zemljovid	I	3203	5	4	4	3	5	2	5	3	5	2	5	3	5	3	5	2	5	1	5	2	5	3	2	1	4	1	5	1	5	2	5	3	5	3	5	2	5	3	4	3	5	1	3	1	5	1	5	5	4	1	5	1	5	2	4	3	5	4	5	2
internetski	P	58795	4	4	3	5	3	4	5	5	4	5	4	3	4	4	5	5	2	5	3	5	3	5	2	4	2	5	5	4	5	5	1	2	4	4	2	5	3	5	3	5	5	2	2	5	5	3	4	5	1	5	3	2	4	5	3	3	2	5	3	4
kratkoročan	P	11267	3	4	2	3	2	2	1	3	2	4	4	3	3	3	3	2	1	4	4	5	1	2	2	2	2	2	2	4	3	5	1	2	2	3	2	2	3	3	3	3	2	5	3	2	4	2	3	2	3	2	2	2	3	4	2	2	3	4	1	4
