leksem	vr	frek	09a.01.k	09a.01.č	09a.02.k	09a.02.č	09a.03.k	09a.03.č	09a.04.k	09a.04.č	09a.05.k	09a.05.č	09a.06.k	09a.06.č	09a.07.k	09a.07.č	09a.08.k	09a.08.č	09a.09.k	09a.09.č	09a.10.k	09a.10.č	09a.11.k	09a.11.č	09a.12.k	09a.12.č	09a.13.k	09a.13.č	09a.14.k	09a.14.č	09a.15.k	09a.15.č	09b.01.k	09b.01.č	09b.02.k	09b.02.č	09b.03.k	09b.03.č	09b.04.k	09b.04.č	09b.05.k	09b.05.č	09b.06.k	09b.06.č	09b.07.k	09b.07.č	09b.08.k	09b.08.č	09b.09.k	09b.09.č	09b.10.k	09b.10.č	09b.11.k	09b.11.č	09b.12.k	09b.12.č	09b.13.k	09b.13.č	09b.14.k	09b.14.č	09b.15.k	09b.15.č
protuzakonit	P	5689	3	2	2	2	4	5	1	4	4	4	1	3	2	3	2	5	2	3	5	5	4	2	5	4	3	3	2	2	2	3	4	2	1	3	2	3	4	4	4	5	5	4	3	3	4	3	1	2	5	3	3	3	4	4	5	4	3	3	4	4
zahvaćati	G	6229	1	5	3	2	2	3	3	2	3	4	1	1	4	2	1	3	2	2	3	3	4	2	4	3	5	4	3	2	2	4	3	2	3	2	3	3	2	5	3	2	4	4	3	3	2	3	1	3	3	3	3	2	3	5	5	3	2	4	5	3
autogram	I	3757	5	3	4	3	2	4	5	3	5	5	5	2	5	2	5	4	5	3	5	5	4	2	5	3	4	4	4	3	5	4	5	2	5	3	4	2	5	3	5	2	5	3	5	2	5	4	5	3	5	4	5	3	5	4	5	3	5	3	4	2
smiriti	G	32787	4	5	2	4	2	4	4	3	5	5	4	3	0	5	1	5	4	4	5	5	3	4	5	4	1	4	3	4	2	5	4	4	2	5	2	4	2	5	4	5	5	4	4	4	3	3	5	4	4	3	3	5	3	5	5	4	4	4	3	1
epski	P	5432	3	3	1	2	2	4	1	1	4	4	5	1	0	3	1	5	2	4	5	5	1	3	4	3	4	3	2	1	3	1	2	2	3	3	1	2	2	3	1	1	3	3	5	5	1	3	1	3	4	3	4	4	2	3	5	1	2	3	2	2
dvorski	P	4568	5	1	4	2	2	3	1	1	5	3	5	1	5	3	5	2	2	3	5	2	3	1	4	3	3	3	1	1	3	3	4	1	2	1	2	1	2	3	2	1	5	2	5	2	4	3	2	2	4	3	4	3	4	2	5	1	4	2	1	3
nezaustavljiv	P	3917	5	3	2	3	3	4	3	2	4	4	4	1	3	4	2	3	2	3	4	3	2	2	4	3	2	4	3	2	2	3	4	2	2	2	3	2	3	5	3	3	4	4	4	2	2	3	3	3	4	3	4	3	3	3	5	3	3	3	2	4
privući	G	51706	3	5	2	4	1	5	3	3	5	5	5	1	0	5	4	4	3	3	5	2	3	3	4	3	1	3	2	2	2	4	4	2	3	5	3	4	3	5	3	2	4	4	3	3	5	5	2	3	3	3	3	4	3	2	5	4	3	4	3	5
etabliran	P	3343	2	1	1	1	4	5	1	1	2	3	1	1	1	2	2	1	2	1	1	1	1	1	5	2	5	2	1	1	1	5	3	1	1	1	1	1	3	4	1	1	3	3	3	3	1	2	1	1	3	2	2	1	3	1	4	3	2	2	4	4
nebo	I	99611	5	5	5	5	1	5	4	4	4	5	5	3	5	5	5	5	5	4	4	2	5	4	5	4	3	5	3	3	5	5	4	3	5	5	5	4	5	5	5	5	5	4	5	2	5	5	5	5	5	4	3	5	4	4	5	5	5	4	5	3
ugurati	G	10574	5	5	4	4	2	4	3	5	5	5	5	2	5	5	5	3	2	3	5	2	4	3	5	4	3	4	3	3	3	4	4	2	3	4	4	3	3	5	3	3	5	4	4	3	5	5	2	2	4	3	3	2	3	3	5	5	4	4	4	2
odvojiti	G	31375	5	5	3	4	2	4	2	4	5	5	5	4	5	5	5	4	2	3	4	3	4	3	5	4	5	4	3	3	3	4	4	2	3	5	4	3	4	5	4	2	5	4	4	3	3	3	3	3	4	3	4	4	3	4	5	5	3	3	3	1
breza	I	3385	5	3	5	3	5	3	3	2	5	4	5	1	5	3	5	2	5	4	5	4	5	2	5	3	2	4	4	2	5	4	5	2	5	2	5	2	5	5	5	2	5	3	5	2	5	5	5	3	5	4	5	2	5	2	5	3	5	2	2	5
genocidan	P	4267	5	2	2	2	5	5	2	3	3	3	5	2	1	2	2	1	2	2	5	1	2	1	4	3	3	3	2	1	1	5	4	2	1	1	1	1	3	4	2	2	3	4	2	2	1	2	1	2	4	3	2	1	4	2	5	3	4	2	1	4
rasistički	P	5778	5	4	2	3	4	5	4	4	5	5	4	2	5	3	2	3	2	3	3	4	0	4	4	3	4	3	2	2	2	2	4	3	2	2	2	3	0	5	4	3	4	4	2	3	2	4	2	2	5	4	3	3	4	3	5	3	3	2	1	0
pješačenje	I	3273	5	5	4	4	4	5	5	2	5	4	4	3	5	4	5	5	2	4	5	2	5	5	5	4	5	5	3	4	4	4	5	4	5	4	5	4	5	5	4	5	5	4	5	4	5	5	4	4	5	4	5	5	2	4	5	5	5	4	1	3
