leksem	vr	frek	08a.01.k	08a.01.č	08a.02.k	08a.02.č	08a.03.k	08a.03.č	08a.04.k	08a.04.č	08a.05.k	08a.05.č	08a.06.k	08a.06.č	08a.07.k	08a.07.č	08a.08.k	08a.08.č	08a.09.k	08a.09.č	08a.10.k	08a.10.č	08a.11.k	08a.11.č	08a.12.k	08a.12.č	08a.13.k	08a.13.č	08a.14.k	08a.14.č	08a.15.k	08a.15.č	08b.01.k	08b.01.č	08b.02.k	08b.02.č	08b.03.k	08b.03.č	08b.04.k	08b.04.č	08b.05.k	08b.05.č	08b.06.k	08b.06.č	08b.07.k	08b.07.č	08b.08.k	08b.08.č	08b.09.k	08b.09.č	08b.10.k	08b.10.č	08b.11.k	08b.11.č	08b.12.k	08b.12.č	08b.13.k	08b.13.č	08b.14.k	08b.14.č	08b.15.k	08b.15.č
otkrivati	G	69144	3	4	3	4	3	3	3	4	5	3	2	3	2	4	4	3	4	4	4	5	3	5	2	4	2	4	3	5	4	4	3	4	1	4	5	5	2	2	4	4	4	4	4	4	3	4	4	4	3	5	1	5	1	4	4	5	5	3	4	3
rigorozan	P	5405	1	2	2	3	1	2	2	0	1	3	3	2	1	4	2	2	4	3	4	4	1	3	1	3	1	3	2	4	4	4	4	4	1	3	5	3	4	5	1	1	4	3	2	4	3	3	3	3	4	1	1	4	1	4	3	3	5	3	3	4
priopćiti	G	26697	1	3	3	3	4	4	0	3	3	3	3	1	1	4	4	2	3	0	3	5	2	2	3	4	2	0	4	2	4	4	5	5	1	5	5	3	2	2	2	2	5	4	3	4	2	3	4	2	3	3	1	4	1	4	3	3	5	3	4	4
kriterij	I	91996	1	4	2	4	5	5	4	5	3	3	3	2	2	4	3	4	3	4	1	5	2	4	1	5	3	0	2	3	4	4	5	5	1	4	1	5	3	5	1	4	4	4	3	5	3	4	4	2	2	3	2	5	2	4	4	5	5	4	2	3
obvezan	P	38664	1	4	2	4	4	3	4	5	3	4	4	4	3	4	4	4	4	4	3	5	2	5	2	4	3	4	4	3	5	4	3	4	3	5	5	5	4	4	2	3	5	4	5	3	3	4	4	2	4	4	1	5	2	2	5	5	4	4	2	3
nagađati	G	17352	1	4	1	3	3	3	3	5	3	4	3	2	2	4	4	4	4	4	2	5	2	4	3	4	2	3	3	2	5	2	3	3	1	4	5	5	3	4	4	4	4	4	4	3	2	4	4	2	4	3	1	4	1	3	4	5	5	4	2	3
hijerarhija	I	10051	3	4	2	2	1	1	3	4	4	3	4	3	3	3	5	3	5	3	1	5	4	3	2	3	5	3	3	3	2	3	5	5	2	2	2	3	3	5	1	2	5	4	4	4	3	2	4	2	3	1	1	4	3	2	5	4	5	4	3	3
pivovara	I	9417	5	4	4	3	5	4	0	0	5	4	5	3	5	3	5	1	5	3	5	4	5	4	4	4	5	3	5	3	3	4	5	5	5	3	5	5	5	4	5	2	5	4	5	3	4	2	5	2	4	2	5	4	4	2	5	4	5	3	3	3
doprijeti	G	6789	3	3	2	2	3	3	3	4	3	3	2	2	2	4	2	2	4	3	3	4	2	4	1	3	1	1	3	3	3	4	2	3	3	4	5	3	2	4	4	2	3	4	3	5	2	3	4	3	2	3	1	2	1	2	4	3	4	3	3	4
kulturalan	P	4250	1	3	1	2	1	1	3	4	4	3	2	1	2	3	2	2	5	4	2	4	3	4	2	4	4	3	2	3	4	5	2	2	4	3	5	4	2	3	1	2	5	4	4	4	3	3	5	4	3	2	1	2	2	3	3	4	4	3	4	4
